record_type,path_id,path_group,stage,state_id,global_hour,origin_site,destination_site,flow_kg,ex_post_origin_target_kg,ex_post_destination_target_kg,proxy_origin_target_kg,proxy_destination_target_kg,ex_post_aligned_kg,information_proxy_aligned_kg,ex_post_non_aligned_kg,conservative_expost_nonaligned_but_information_aligned_kg,strict_flow_row_reversal,alignment_scope,group,path_count_with_HTT,flow_row_count,total_HTT_kg,ex_post_aligned_HTT_kg,ex_post_alignment_fraction,information_proxy_aligned_HTT_kg,information_proxy_alignment_fraction,strict_reversal_path_count,strict_reversal_flow_row_count,proxy_limit
FLOW,255,other,3,70,24,2,3,1.96754596073,0,0,1.41225587555,1.06259642812,0,0,1.96754596073,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,255,other,3,70,24,2,4,3.99677502255,0,0,1.41225587555,2.42495756641,0,0,3.99677502255,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,256,other,5,78,40,2,4,4.42868915254,0,0,1.08012962388,2.21088938196,0,0,4.42868915254,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,257,other,5,86,33,2,3,0.938713143256,0,0,0.695844108908,0.670291948209,0,0,0.938713143256,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,257,other,5,86,40,2,4,4.29681366012,0,0,0.695844108908,1.68498672003,0,0,4.29681366012,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,262,positive_target_adequate,5,133,33,2,4,17.6571387928,47.7705448833,39.2766549653,27.2650128823,40.4594292369,0,0,17.6571387928,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,262,positive_target_adequate,5,133,33,3,4,7.14391994459,22.9113388566,39.2766549653,15.1733220937,40.4594292369,0,0,7.14391994459,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,264,other,4,164,25,2,1,1.29187367339,0,0,21.0146469957,51.8245769879,0,0,1.29187367339,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,264,other,4,164,30,3,1,30.3958760958,0,0,11.5339566434,51.8245769879,0,0,30.3958760958,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,264,other,5,166,33,2,1,6.04913467002,0,0,11.8907958849,27.9766941233,0,0,6.04913467002,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,264,other,5,166,33,2,3,15.4130820022,0,0,11.8907958849,6.71895337245,0,0.741919502628,15.4130820022,0.741919502628,True,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,264,other,5,166,33,2,4,5.54465883905,0,0,11.8907958849,15.674043145,0,0,5.54465883905,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,266,other,3,85,17,2,3,1.03349081966,0,0,1.59362567105,1.07547910667,0,0,1.03349081966,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,272,mixed,5,221,33,3,1,21.6271025568,49.0958186212,223.653538862,21.0605005573,100.998207276,3.65709134447,0,17.9700112123,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
