cut_id,T1,T2,T3,T4,nominal_risk,extreme_risk,nominal_g1,nominal_g2,nominal_g3,nominal_g4,extreme_g1,extreme_g2,extreme_g3,extreme_g4,active_path_ids,active_replica_rows,case_id,eta,design,risk_type,top_k,kappa,beta_ext
23,296.070664508985,137.689991832681,93.1387407951749,150,10091.1042195198,872171.138280415,-1.99059988525029,-2.01333942787586,-2.01132081672466,-4.70549942492422,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
24,294.506412362045,138.916264068572,92.9155030619308,150,10092.2238594656,872171.138280415,-2.12339820807779,-2.01216628287253,-2.14224533536521,-4.83653139897133,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
25,294.603026045728,138.819603374688,93.0132373251155,150,10092.0060724904,872171.138280415,-1.99240909587796,-2.01235468612241,-2.01124974470079,-4.70555120280992,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
1,300,143.468740452331,100,150,13916.46372892,899141.407567379,-2.04097911933706,-2.01100672250252,-2.25546847003217,-5.93813147605984,0,0,0,0,617,95,16,0.01,R1_MAX,R1_MAX,1,0,0
2,0,0,0,0,296144.179141948,1215939.77579576,-1221.89437314324,-1225.81512215143,-1225.90834698916,-1224.16656113715,-2000,-2000,-2000,-2000,599,11,16,0.01,R1_MAX,R1_MAX,1,0,0
3,150,100,50,75,35955.2391281399,899141.407567379,-266.173239307623,-244.840620389699,-226.164642428491,-258.925553889794,0,0,0,0,617,95,16,0.01,R1_MAX,R1_MAX,1,0,0
4,300,200,100,150,13845.8439395689,899141.407567379,-2.04107386470285,-0.268571207207407,-1.68387598319892,-5.63986182343892,0,0,0,0,617,95,16,0.01,R1_MAX,R1_MAX,1,0,0
5,300,175.284621294289,100,150,13866.876785804,899141.407567379,-2.04037835693919,-1.12401991411218,-2.02890188056853,-5.78241623346234,0,0,0,0,617,95,16,0.01,R1_MAX,R1_MAX,1,0,0
6,300,159.055510552813,100,150,13889.8813811428,899141.407567379,-2.04117613293878,-1.56730040950652,-2.22150764259277,-5.79342159690881,0,0,0,0,617,95,16,0.01,R1_MAX,R1_MAX,1,0,0
7,300,148.321492267499,100,150,13907.7989196006,899141.407567379,-2.04107840265849,-1.76802611139974,-2.24569975873991,-5.93130028469711,0,0,0,0,617,95,16,0.01,R1_MAX,R1_MAX,1,0,0
8,300,143.818634205578,100,150,13915.8332079459,899141.407567379,-2.04101104871445,-1.80086474441016,-2.25470204701896,-5.93775234412716,0,0,0,0,617,95,16,0.01,R1_MAX,R1_MAX,1,0,0
1,300,143.468740452331,100,150,13916.46372892,899141.407567379,-2.04097911933706,-2.01100672250252,-2.25546847003217,-5.93813147605984,0,0,0,0,617,95,17,0.01,R1_MAX,R1_MAX,1,0.001,1.70200160742543e-05
2,0,0,0,0,296144.179141948,1215939.77579576,-1221.89437314324,-1225.81512215143,-1225.90834698916,-1224.16656113715,-2000,-2000,-2000,-2000,599,11,17,0.01,R1_MAX,R1_MAX,1,0.001,1.70200160742543e-05
3,150,100,50,75,35955.2391281399,899141.407567379,-266.173239307623,-244.840620389699,-226.164642428491,-258.925553889794,0,0,0,0,617,95,17,0.01,R1_MAX,R1_MAX,1,0.001,1.70200160742543e-05
4,300,200,100,150,13845.8439395689,899141.407567379,-2.04107386470285,-0.268571207207407,-1.68387598319892,-5.63986182343892,0,0,0,0,617,95,17,0.01,R1_MAX,R1_MAX,1,0.001,1.70200160742543e-05
5,300,175.284621294289,100,150,13866.876785804,899141.407567379,-2.04037835693919,-1.12401991411218,-2.02890188056853,-5.78241623346234,0,0,0,0,617,95,17,0.01,R1_MAX,R1_MAX,1,0.001,1.70200160742543e-05
6,300,159.055510552813,100,150,13889.8813811428,899141.407567379,-2.04117613293878,-1.56730040950652,-2.22150764259277,-5.79342159690881,0,0,0,0,617,95,17,0.01,R1_MAX,R1_MAX,1,0.001,1.70200160742543e-05
7,300,148.321492267499,100,150,13907.7989196006,899141.407567379,-2.04107840265849,-1.76802611139974,-2.24569975873991,-5.93130028469711,0,0,0,0,617,95,17,0.01,R1_MAX,R1_MAX,1,0.001,1.70200160742543e-05
8,300,143.818634205578,100,150,13915.8332079459,899141.407567379,-2.04101104871445,-1.80086474441016,-2.25470204701896,-5.93775234412716,0,0,0,0,617,95,17,0.01,R1_MAX,R1_MAX,1,0.001,1.70200160742543e-05
1,300,143.468740452331,100,150,13916.46372892,899141.407567379,-2.04097911933706,-2.01100672250252,-2.25546847003217,-5.93813147605984,0,0,0,0,617,95,18,0.01,R1_MAX,R1_MAX,1,0.005,8.51000803712716e-05
2,0,0,0,0,296144.179141948,1215939.77579576,-1221.89437314324,-1225.81512215143,-1225.90834698916,-1224.16656113715,-2000,-2000,-2000,-2000,599,11,18,0.01,R1_MAX,R1_MAX,1,0.005,8.51000803712716e-05
3,150,100,50,75,35955.2391281399,899141.407567379,-266.173239307623,-244.840620389699,-226.164642428491,-258.925553889794,0,0,0,0,617,95,18,0.01,R1_MAX,R1_MAX,1,0.005,8.51000803712716e-05
4,300,200,100,150,13845.8439395689,899141.407567379,-2.04107386470285,-0.268571207207407,-1.68387598319892,-5.63986182343892,0,0,0,0,617,95,18,0.01,R1_MAX,R1_MAX,1,0.005,8.51000803712716e-05
5,300,175.284621294289,100,150,13866.876785804,899141.407567379,-2.04037835693919,-1.12401991411218,-2.02890188056853,-5.78241623346234,0,0,0,0,617,95,18,0.01,R1_MAX,R1_MAX,1,0.005,8.51000803712716e-05
6,300,159.055510552813,100,150,13889.8813811428,899141.407567379,-2.04117613293878,-1.56730040950652,-2.22150764259277,-5.79342159690881,0,0,0,0,617,95,18,0.01,R1_MAX,R1_MAX,1,0.005,8.51000803712716e-05
7,300,148.321492267499,100,150,13907.7989196006,899141.407567379,-2.04107840265849,-1.76802611139974,-2.24569975873991,-5.93130028469711,0,0,0,0,617,95,18,0.01,R1_MAX,R1_MAX,1,0.005,8.51000803712716e-05
8,300,143.818634205578,100,150,13915.8332079459,899141.407567379,-2.04101104871445,-1.80086474441016,-2.25470204701896,-5.93775234412716,0,0,0,0,617,95,18,0.01,R1_MAX,R1_MAX,1,0.005,8.51000803712716e-05
1,300,143.468740452331,100,150,13916.46372892,899141.407567379,-2.04097911933706,-2.01100672250252,-2.25546847003217,-5.93813147605984,0,0,0,0,617,95,19,0.01,R1_MAX,R1_MAX,1,0.01,0.000170200160742543
2,0,0,0,0,296144.179141948,1215939.77579576,-1221.89437314324,-1225.81512215143,-1225.90834698916,-1224.16656113715,-2000,-2000,-2000,-2000,599,11,19,0.01,R1_MAX,R1_MAX,1,0.01,0.000170200160742543
3,150,100,50,75,35955.2391281399,899141.407567379,-266.173239307623,-244.840620389699,-226.164642428491,-258.925553889794,0,0,0,0,617,95,19,0.01,R1_MAX,R1_MAX,1,0.01,0.000170200160742543
4,300,200,100,150,13845.8439395689,899141.407567379,-2.04107386470285,-0.268571207207407,-1.68387598319892,-5.63986182343892,0,0,0,0,617,95,19,0.01,R1_MAX,R1_MAX,1,0.01,0.000170200160742543
5,300,175.284621294289,100,150,13866.876785804,899141.407567379,-2.04037835693919,-1.12401991411218,-2.02890188056853,-5.78241623346234,0,0,0,0,617,95,19,0.01,R1_MAX,R1_MAX,1,0.01,0.000170200160742543
6,300,159.055510552813,100,150,13889.8813811428,899141.407567379,-2.04117613293878,-1.56730040950652,-2.22150764259277,-5.79342159690881,0,0,0,0,617,95,19,0.01,R1_MAX,R1_MAX,1,0.01,0.000170200160742543
7,300,148.321492267499,100,150,13907.7989196006,899141.407567379,-2.04107840265849,-1.76802611139974,-2.24569975873991,-5.93130028469711,0,0,0,0,617,95,19,0.01,R1_MAX,R1_MAX,1,0.01,0.000170200160742543
