path_id,terminal_state,terminal_state_k,a,loc,lf,saa_terminal_loh_target,dro_terminal_loh_target,delta_terminal_loh_target,saa_final_inventory,dro_final_inventory,delta_final_inventory,saa_terminal_gap,dro_terminal_gap,delta_terminal_gap,delta_production,delta_htt,delta_ordinary_shortage,delta_operating_cost,input_output_difference_compression_kg
92,5.0,95.0,2.0,5.0,7.0,0.0,30.2757519474911,30.2757519474911,367.795542977764,410.800749622663,43.005206644898976,0.0,0.0,0.0,43.0052066449,10.137269192053399,0.0,1248.6193677907995,-12.729454697407878
94,21.0,223.0,4.0,7.0,7.0,405.313258598587,434.497947905568,29.184689306981,511.598280672679,511.598280672679,0.0,0.0,0.0,0.0,0.0,3.4557717489480098,0.0,-227.79795691710024,29.184689306981
97,1.0,63.0,2.0,1.0,7.0,0.0,112.166696626405,112.166696626405,376.401276491299,420.575613346017,44.174336854718035,0.0,0.0,0.0,44.174336854718035,10.2359753760458,0.0,1777.5503946784993,67.99235977168696
99,2.0,71.0,2.0,2.0,7.0,0.0,110.465721330482,110.465721330482,354.580912636595,382.998409272046,28.417496635451016,0.0,0.0,0.0,28.417496635451016,30.088436034223804,0.0,1897.2706638290983,82.04822469503098
101,5.0,95.0,2.0,5.0,7.0,0.0,30.2757519474911,30.2757519474911,392.719734946726,434.513362485245,41.79362753851899,0.0,0.0,0.0,41.79362753852001,10.789343693607996,0.0,1621.4761973597997,-11.517875591027892
102,6.0,103.0,2.0,6.0,7.0,0.0,0.71367875842609,0.71367875842609,377.204218514672,415.846005996146,38.64178748147401,0.0,0.0,0.0,38.64178748147401,22.217167075059905,0.0,1437.6666499596995,-37.92810872304792
104,3.0,79.0,2.0,3.0,7.0,0.0,79.4853371037635,79.4853371037635,353.604777358103,382.998409272046,29.39363191394301,0.0,0.0,0.0,29.39363191394301,30.001415963976,0.0,1955.4372517419997,50.09170518982049
105,5.0,95.0,2.0,5.0,7.0,0.0,30.2757519474911,30.2757519474911,366.309358208529,382.998409272046,16.689051063517013,0.0,0.0,0.0,16.689051063517013,6.050790949229302,0.0,773.6093792443007,13.586700883974085
108,4.0,87.0,2.0,4.0,7.0,0.0,67.6431305846633,67.6431305846633,354.687377170944,382.998409272046,28.311032101102,0.0,0.0,0.0,28.311032101102,20.91360974766711,0.0,1645.2288529240013,39.332098483561296
109,3.0,79.0,2.0,3.0,7.0,0.0,79.4853371037635,79.4853371037635,354.580912636506,382.998409272046,28.417496635539976,0.0,0.0,0.0,28.417496635540033,20.762050290790505,0.0,1667.984843401,51.06784046822352
110,5.0,95.0,2.0,5.0,7.0,0.0,30.2757519474911,30.2757519474911,361.399776341286,382.998409272046,21.598632930760004,0.0,0.0,0.0,21.598632930761028,9.274028543672998,0.0,1040.0943034069987,8.677119016731094
111,6.0,103.0,2.0,6.0,7.0,0.0,0.71367875842609,0.71367875842609,399.239596804063,406.089071451709,6.849474647645991,0.0,0.0,0.0,6.849474647645991,-3.756797624783104,0.0,206.3456247271024,-6.135795889219901
112,7.0,111.0,2.0,7.0,7.0,0.0,0.0,0.0,345.558409272046,367.680926205093,22.122516933046995,0.0,0.0,0.0,22.122516933045972,20.330677106509903,0.0,1444.6141495020984,-22.122516933046995
116,3.0,79.0,2.0,3.0,7.0,0.0,79.4853371037635,79.4853371037635,291.552362461391,315.177093140662,23.62473067927101,0.0,0.0,0.0,23.624730679270982,46.506413284504404,0.0,2266.7071708754693,55.86060642449249
117,7.0,111.0,2.0,7.0,7.0,0.0,0.0,0.0,315.177093140662,315.177093140662,0.0,0.0,0.0,0.0,0.0,-2.190379365893101,0.0,-52.69143175136014,0.0
118,16.0,183.0,4.0,2.0,7.0,571.966287537845,585.059146032685,13.092858494840016,405.267093140662,405.267093140662,0.0,166.699194397182,179.792052892023,13.09285849484101,0.0,-7.7497321553424,0.0,-207.11883854960251,13.092858494840016
120,3.0,79.0,2.0,3.0,7.0,0.0,79.4853371037635,79.4853371037635,315.177093140662,315.177093140662,0.0,0.0,0.0,0.0,0.0,-2.190379365893101,0.0,-52.69143175136014,79.4853371037635
121,18.0,199.0,4.0,4.0,7.0,546.327360008728,571.966287503776,25.63892749504805,551.895101509697,551.895101509697,0.0,1.38657274857724,20.0711859940792,18.68461324550196,0.0,-27.52895683016861,0.0,-721.4787963359995,25.63892749504805
122,23.0,239.0,5.0,2.0,7.0,615.046504650465,629.790794569232,14.744289918767095,511.598280672679,511.598280672679,0.0,103.448223977786,118.192513896554,14.744289918768004,0.0,-29.20344539139529,0.0,-1141.2911511986022,14.744289918767095
123,5.0,95.0,2.0,5.0,7.0,0.0,30.2757519474911,30.2757519474911,369.751380487408,410.917375553466,41.165995066057974,0.0,0.0,0.0,41.165995066057974,12.573048925717103,0.0,1413.0317883197004,-10.890243118566875
124,4.0,87.0,2.0,4.0,7.0,0.0,67.6431305846633,67.6431305846633,315.177093140662,315.177093140662,0.0,0.0,0.0,0.0,0.0,23.8569507890694,0.0,669.8905261516902,67.6431305846633
125,4.0,87.0,2.0,4.0,7.0,0.0,67.6431305846633,67.6431305846633,355.492858116078,382.998409272046,27.505551155967964,0.0,0.0,0.0,27.505551155968988,23.740927945451595,0.0,1668.2306588674,40.13757942869533
129,2.0,71.0,2.0,2.0,7.0,0.0,110.465721330482,110.465721330482,366.582112754067,382.998409272046,16.416296517978992,0.0,0.0,0.0,16.416296517980015,3.3240219020835013,0.0,688.2359616919002,94.049424812503
131,3.0,79.0,2.0,3.0,7.0,0.0,79.4853371037635,79.4853371037635,354.687377170944,382.998409272046,28.311032101102,0.0,0.0,0.0,28.311032101102,20.91360974766711,0.0,1645.2288529240013,51.1743050026615
132,4.0,87.0,2.0,4.0,7.0,0.0,67.6431305846633,67.6431305846633,315.177093140662,315.177093140662,0.0,0.0,0.0,0.0,0.0,6.142503049732699,0.0,162.67809946234047,67.6431305846633
134,4.0,87.0,2.0,4.0,7.0,0.0,67.6431305846633,67.6431305846633,391.784030041249,421.959019437305,30.17498939605599,0.0,0.0,0.0,30.17498939605599,15.5789616847735,0.0,1154.5031347314998,37.468141188607305
135,24.0,247.0,5.0,3.0,7.0,613.424978861523,626.532860250673,13.107881389150066,616.062679582985,624.145220195663,8.08254061267803,2.5919036115869,6.40105988497621,3.8091562733893096,0.34049721755195606,-2.5256472792281954,7.742043395126004,1242.1137212995018,5.025340776472035
136,5.0,95.0,2.0,5.0,7.0,0.0,30.2757519474911,30.2757519474911,315.177093140662,315.177093140662,0.0,0.0,0.0,0.0,0.0,23.856950789069302,0.0,680.4156408556901,30.2757519474911
138,6.0,103.0,2.0,6.0,7.0,0.0,0.71367875842609,0.71367875842609,479.956964541294,493.458478459857,13.501513918563035,0.0,0.0,0.0,0.0,1.0799163145400001,13.501513918563003,2892.515666667601,-12.787835160136945
139,9.0,127.0,3.0,2.0,7.0,382.129122003109,405.313274925785,23.18415292267599,315.177093140662,315.177093140662,0.0,66.9648622658375,90.1361817851224,23.171319519284907,0.0,-13.638305247949397,0.0,-364.35751871674984,23.18415292267599
141,1.0,63.0,2.0,1.0,7.0,0.0,112.166696626405,112.166696626405,315.177093140662,315.177093140662,0.0,0.0,0.0,0.0,0.0,-2.2066283637823005,0.0,-51.38725642515965,112.166696626405
142,3.0,79.0,2.0,3.0,7.0,0.0,79.4853371037635,79.4853371037635,389.438111782465,427.205875546484,37.76776376401898,0.0,0.0,0.0,37.76776376401904,5.352660386112504,0.0,1102.2292663751996,41.71757333974452
143,8.0,119.0,3.0,1.0,7.0,371.491694624008,405.313265587416,33.82157096340802,383.085602134803,426.309741321227,43.224139186424,1.27897692436818e-13,0.0,-1.27897692436818e-13,43.224139186424,17.566931208358504,0.0,1659.3441120944008,-9.402568223015976
144,21.0,223.0,4.0,7.0,7.0,405.313258598587,434.497947905568,29.184689306981,479.956964541294,493.458478459857,13.501513918563035,0.0,0.0,0.0,0.0,-8.70216065962991,13.501513918562903,2453.6442738273,15.683175388417965
145,3.0,79.0,2.0,3.0,7.0,0.0,79.4853371037635,79.4853371037635,382.401876551291,416.496695970788,34.09481941949696,0.0,0.0,0.0,34.09481941949696,12.391559311748498,0.0,1328.6324896780006,45.39051768426654
147,7.0,111.0,2.0,7.0,7.0,0.0,0.0,0.0,354.580912636711,382.998409272046,28.417496635335,0.0,0.0,0.0,28.417496635336022,14.506958377899998,0.0,1481.8721065132995,-28.417496635335
148,7.0,111.0,2.0,7.0,7.0,0.0,0.0,0.0,358.645354010113,418.041798690995,59.396444680881984,0.0,0.0,0.0,59.39644468088102,26.106422253066295,0.0,2018.5277676552996,-59.396444680881984
149,2.0,71.0,2.0,2.0,7.0,0.0,110.465721330482,110.465721330482,345.644798627689,361.141762614739,15.49696398704998,0.0,0.0,0.0,15.496963987051004,-2.2066283637823005,0.0,561.5838956045009,94.96875734343202
150,22.0,231.0,5.0,1.0,7.0,607.96988789788,610.156830237183,2.186942339303073,511.598280672679,511.598280672679,0.0,96.371607225202,98.5585495645042,2.186942339302206,0.0,-6.6025132085487925,0.0,-407.77691968609724,2.186942339303073
151,6.0,103.0,2.0,6.0,7.0,0.0,0.71367875842609,0.71367875842609,345.724687141616,361.161540695846,15.43685355422997,0.0,0.0,0.0,15.436853554230993,-4.1571611744752985,0.0,519.7975050455007,-14.72317479580388
152,2.0,71.0,2.0,2.0,7.0,0.0,110.465721330482,110.465721330482,366.582112753994,382.998409272046,16.41629651805198,0.0,0.0,0.0,16.416296518052036,5.830626088207303,0.0,703.6700364438002,94.04942481243002
153,5.0,95.0,2.0,5.0,7.0,0.0,30.2757519474911,30.2757519474911,382.541181510007,425.632121646858,43.09094013685103,0.0,0.0,0.0,43.09094013685103,20.4080473685312,0.0,2047.2825099520996,-12.815188189359933
155,7.0,111.0,2.0,7.0,7.0,0.0,0.0,0.0,366.582112753679,409.404479791124,42.82236703744502,0.0,0.0,0.0,42.82236703744496,13.797463376421899,0.0,1622.6339479255003,-42.82236703744502
156,21.0,223.0,4.0,7.0,7.0,405.313258598587,434.497947905568,29.184689306981,371.715101509697,371.715101509697,0.0,33.5981570888899,62.7828463958713,29.184689306981404,0.0,20.780603441234092,0.0,557.851412759599,29.184689306981
160,3.0,79.0,2.0,3.0,7.0,0.0,79.4853371037635,79.4853371037635,363.66856781876,409.890859200335,46.22229138157502,0.0,0.0,0.0,46.22229138157502,14.077642014840102,0.0,1590.0228228469005,33.26304572218848
161,14.0,167.0,3.0,7.0,7.0,185.745847312004,299.484469224306,113.738621912302,371.715101509697,371.715101509697,0.0,0.0,0.984456804822798,0.984456804822798,0.0,20.780603441234092,0.0,557.851412759599,113.738621912302
162,3.0,79.0,2.0,3.0,7.0,0.0,79.4853371037635,79.4853371037635,396.858447945576,432.315715432517,35.457267486940964,0.0,0.0,0.0,35.457267486940964,28.0263179999056,0.0,1908.3135786033,44.028069616822535
163,2.0,71.0,2.0,2.0,7.0,0.0,110.465721330482,110.465721330482,366.309358208549,382.998409272046,16.689051063497004,0.0,0.0,0.0,16.689051063497004,6.0507909492095,0.0,768.621096932,93.776670266985
164,4.0,87.0,2.0,4.0,7.0,0.0,67.6431305846633,67.6431305846633,366.309358208542,382.998409272046,16.689051063503996,0.0,0.0,0.0,16.68905106350502,6.049747921372699,0.0,792.4228088212985,50.9540795211593
