record_type,terminal_a,terminal_loc,early_arrival_after_stage,late_arrival_after_stage,early_path_count,late_path_count,descriptive_only,early_mean_cumulative_production_kg,early_CI95_low_cumulative_production_kg,early_CI95_high_cumulative_production_kg,early_mean_ending_inventory_kg,early_CI95_low_ending_inventory_kg,early_CI95_high_ending_inventory_kg,early_mean_htt_kg,early_CI95_low_htt_kg,early_CI95_high_htt_kg,early_mean_ordinary_shortage_kg,early_CI95_low_ordinary_shortage_kg,early_CI95_high_ordinary_shortage_kg,early_mean_terminal_gap_kg,early_CI95_low_terminal_gap_kg,early_CI95_high_terminal_gap_kg,late_mean_cumulative_production_kg,late_minus_early_mean_cumulative_production_kg,late_mean_ending_inventory_kg,late_minus_early_mean_ending_inventory_kg,late_mean_htt_kg,late_minus_early_mean_htt_kg,late_mean_ordinary_shortage_kg,late_minus_early_mean_ordinary_shortage_kg,late_mean_terminal_gap_kg,late_minus_early_mean_terminal_gap_kg
ARRIVAL_GROUP,3,4,6,,10,,YES,327.582042194,275.818680358,379.345404031,215.371987278,160.531785188,270.212189369,41.201183832,22.6984640899,59.7039035741,9.15153581193,0.0607298774403,18.2423417464,40.4298076943,31.3644519991,49.4951633895,,,,,,,,,,
ARRIVAL_GROUP,3,5,3,,21,,YES,211.136654792,174.640887152,247.632422432,234.159221096,197.6106651,270.707777091,43.6932416631,26.8496114113,60.5368719149,0.384157031334,-0.36879075008,1.13710481275,5.5329970993,3.17513198978,7.89086220881,,,,,,,,,,
ARRIVAL_GROUP,3,5,4,,54,,NO,247.299571602,222.142442019,272.456701184,233.782540845,208.283421487,259.281660204,55.8278640961,42.6323247869,69.0234034052,2.85548810914,0.599981381012,5.11099483726,4.21140104955,2.62568005093,5.79712204816,,,,,,,,,,
ARRIVAL_GROUP,3,5,5,,42,,NO,316.700098998,289.408389137,343.991808858,246.181663686,217.644961954,274.718365418,61.6040991805,48.1357465216,75.0724518394,5.34708948489,2.00780783943,8.68637113036,3.194621729,1.9062417645,4.4830016935,,,,,,,,,,
ARRIVAL_GROUP,3,5,6,,8,,YES,338.393517107,267.956306666,408.830727548,221.54688667,150.625806151,292.467967189,43.0885826444,19.6199959123,66.5571693765,4.51496029079,-4.33436187916,13.3642824608,2.37145738799,0.0141826430884,4.7287321329,,,,,,,,,,
ARRIVAL_GROUP,3,6,3,,17,,YES,210.770680926,172.43330552,249.108056331,236.382381851,197.476169102,275.2885946,45.6801806489,33.3084029185,58.0519583793,2.97329165336,-1.09606027546,7.04264358218,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,3,6,4,,45,,NO,262.379331172,232.320708656,292.437953688,249.560428354,218.800802747,280.320053962,60.1736294261,43.9973477631,76.3499110892,3.55361604758,0.692507658404,6.41472443676,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,3,6,5,,30,,NO,319.178001548,283.841390625,354.51461247,247.562871249,211.468051965,283.657690532,72.8560715139,49.7032251029,96.008917925,4.25039449742,-0.407536330493,8.90832532534,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,3,6,6,,3,,YES,328.518282821,318.537382491,338.499183151,210.769352967,200.238794914,221.29991102,40.1016538017,16.7792533507,63.4240542526,3.61266087434,-3.46815443937,10.693476188,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,3,7,2,,5,,YES,109.98,109.98,109.98,178.114475204,178.114475204,178.114475204,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,3,7,3,,41,,NO,204.392290059,179.61548863,229.169091489,227.030699331,202.253897902,251.807500761,43.1416932916,32.9243608279,53.3590257553,0,0,0,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,3,7,4,,79,,NO,259.607527235,236.487785581,282.727268888,243.350853267,220.210946045,266.490760489,49.4471880967,38.3588738611,60.5355023324,0.115844897654,-0.111211101748,0.342900897055,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,3,7,5,,75,,NO,293.240820926,269.996334398,316.485307454,218.550378505,195.09635815,242.00439886,48.3869163679,37.1111104068,59.6627223291,1.17508237557,-0.00746639392092,2.35763114505,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,3,7,6,,19,,YES,404.608445612,351.583478071,457.633413154,287.775166809,233.108088447,342.442245171,92.7977188324,52.8340281724,132.761409492,4.52831192472,0.605627428816,8.45099642063,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,4,1,3,,4,,YES,310.91492263,255.818282525,366.011562734,343.684100302,286.177721482,401.190479123,100.978610293,68.2396255345,133.717595052,10.1307684006,-1.38338378137,21.6449205825,87.0775502474,37.3555996857,136.799500809,,,,,,,,,,
ARRIVAL_GROUP,4,1,4,,12,,YES,371.845463148,322.998379865,420.692546431,367.920121733,323.181985535,412.65825793,127.70606124,90.0143105574,165.397811922,12.4471774498,4.90928386352,19.9850710361,108.588160997,87.5280526304,129.648269363,,,,,,,,,,
ARRIVAL_GROUP,4,1,5,,12,,YES,431.646637441,395.999625312,467.293649571,375.34640151,339.832536374,410.860266646,167.981952117,121.029669497,214.934234737,19.5652888653,5.89912984435,33.2314478862,109.174331942,86.2985280129,132.050135871,,,,,,,,,,
ARRIVAL_GROUP,4,1,6,,7,,YES,511.542458154,476.975454216,546.109462093,412.778689573,386.775561126,438.781818019,164.08932359,131.03340992,197.145237259,22.597822146,4.47208493266,40.7235593594,96.5689567363,55.6338139321,137.50409954,,,,,,,,,,
ARRIVAL_GROUP,4,2,3,,6,,YES,285.682934353,233.885597501,337.480271204,326.286117614,267.027338632,385.544896596,117.249059534,76.0203531072,158.47776596,17.9647739894,3.42189379212,32.5076541867,133.03066341,114.715627663,151.345699157,,,,,,,,,,
ARRIVAL_GROUP,4,2,4,,24,,YES,342.597446616,314.532641541,370.662251691,342.662728068,316.407916437,368.917539698,133.534747388,103.349423357,163.720071419,16.4378003174,9.8416707339,23.033929901,119.292766243,103.535815403,135.049717083,,,,,,,,,,
ARRIVAL_GROUP,4,2,5,,28,,YES,452.65569275,429.674869007,475.636516493,400.978808544,378.854998329,423.10261876,195.282997372,157.556573091,233.009421653,24.1886405904,14.7900600593,33.5872211216,107.635093354,93.2410153564,122.029171351,,,,,,,,,,
ARRIVAL_GROUP,4,2,6,,5,,YES,470.326818948,391.486546617,549.167091279,374.025877325,302.720151806,445.331602843,131.771536455,74.0470415753,189.496031334,25.0606491048,4.82323522525,45.2980629844,101.56116569,55.9007563141,147.221575065,,,,,,,,,,
