interval_type,section,group,metric,denominator,N,mean,std,SE,CI_low,CI_high,events,probability
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage1_Site3,production_kg,ACTIVE_PATHS,10000,18.72,0,0,18.72,18.72,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage1_Site4,production_kg,ACTIVE_PATHS,10000,23.4,3.55289132781e-15,3.55289132781e-17,23.4,23.4,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage1,beginning_inventory_kg,ACTIVE_PATHS,10000,166.638409272,2.84231306225e-14,2.84231306225e-16,166.638409272,166.638409272,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage1,ending_inventory_kg,ACTIVE_PATHS,10000,247.747481134,1.1369252249e-13,1.1369252249e-15,247.747481134,247.747481134,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage1_Site1,ending_inventory_kg,ACTIVE_PATHS,10000,90.0053559616,0,0,90.0053559616,90.0053559616,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage1_Site2,ending_inventory_kg,ACTIVE_PATHS,10000,68.8621752057,0,0,68.8621752057,68.8621752057,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage1_Site3,ending_inventory_kg,ACTIVE_PATHS,10000,40.0176415006,0,0,40.0176415006,40.0176415006,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage1_Site4,ending_inventory_kg,ACTIVE_PATHS,10000,48.8623084666,7.10578265562e-15,7.10578265562e-17,48.8623084666,48.8623084666,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage2,production_kg,ACTIVE_PATHS,8922,102.795976683,14.2380101905,0.150736417726,102.500533304,103.091420061,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage2,cumulative_production_kg,ACTIVE_PATHS,8922,222.915976683,14.2380101905,0.150736417726,222.620533304,223.211420061,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage2,electrolyzer_utilization,ACTIVE_PATHS,8922,0.85577736166,0.118531553367,0.00125488193245,0.853317793072,0.858236930247,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage2_Site1,production_kg,ACTIVE_PATHS,8922,46.5482178884,2.08707212243,0.0220956279046,46.5049104577,46.5915253191,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage2_Site2,production_kg,ACTIVE_PATHS,8922,22.4481076633,7.8133651758,0.0827193309477,22.2859777746,22.6102375519,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage2_Site3,production_kg,ACTIVE_PATHS,8922,10.7255253744,6.05084281958,0.0640596795931,10.5999684024,10.8510823464,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage2_Site4,production_kg,ACTIVE_PATHS,8922,23.0741257566,1.90833308615,0.0202033352544,23.0345272195,23.1137242937,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage2,beginning_inventory_kg,ACTIVE_PATHS,8922,247.747481134,1.13693209409e-13,1.20365885941e-15,247.747481134,247.747481134,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage2,ending_inventory_kg,ACTIVE_PATHS,8922,293.177422301,19.1106831032,0.202322928045,292.780869362,293.57397524,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage2_Site1,ending_inventory_kg,ACTIVE_PATHS,8922,116.159153196,10.2489144535,0.108504252324,115.946484862,116.371821531,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage2_Site2,ending_inventory_kg,ACTIVE_PATHS,8922,76.700442998,10.9233393435,0.115644322501,76.4737801259,76.9271058701,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage2_Site3,ending_inventory_kg,ACTIVE_PATHS,8922,41.3233080425,9.22833058528,0.0976994309882,41.1318171577,41.5147989272,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage2_Site4,ending_inventory_kg,ACTIVE_PATHS,8922,58.9945180639,3.67053588943,0.0388596035334,58.918353241,59.0706828868,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage3,production_kg,ACTIVE_PATHS,7905,56.762269988,26.4225029737,0.297182353906,56.1797925744,57.3447474017,,
