terminal_a,terminal_loc,terminal_state_id,path_count,path_share,metric,Stage89H_mean,Stage89N_mean,paired_difference_mean,paired_difference_ci95_low,paired_difference_ci95_high,descriptive_only
2.0,5.0,95.0,645,0.0645,operating_cost_yuan,71344.39079137357,64878.669222556884,-6465.72156881669,-6596.046077343378,-6335.397060290002,NO
2.0,5.0,95.0,645,0.0645,total_objective_yuan,71344.39079137357,64878.669222556884,-6465.72156881669,-6596.046077343378,-6335.397060290002,NO
2.0,5.0,95.0,645,0.0645,terminal_inventory_site1_kg,144.18073854594027,60.65567331085024,-83.52506523508998,-85.51014475552475,-81.53998571465522,NO
2.0,5.0,95.0,645,0.0645,terminal_target_site1_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,5.0,95.0,645,0.0645,terminal_gap_site1_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,5.0,95.0,645,0.0645,terminal_surplus_site1_kg,144.18073854594027,60.65567331085024,-83.52506523508998,-85.51014475552475,-81.53998571465522,NO
2.0,5.0,95.0,645,0.0645,site1_cumulative_production_kg,157.42171703949117,75.59656166983837,-81.82515536965286,-83.56976328799344,-80.08054745131228,NO
2.0,5.0,95.0,645,0.0645,site1_last_active_production_kg,26.285267773110146,10.031138339595618,-16.254129433514574,-17.37460232682735,-15.133656540201798,NO
2.0,5.0,95.0,645,0.0645,terminal_inventory_site2_kg,71.8119582221796,24.131331328716026,-47.68062689346354,-49.321398520679644,-46.039855266247436,NO
2.0,5.0,95.0,645,0.0645,terminal_target_site2_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,5.0,95.0,645,0.0645,terminal_gap_site2_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,5.0,95.0,645,0.0645,terminal_surplus_site2_kg,71.8119582221796,24.131331328716026,-47.68062689346354,-49.321398520679644,-46.039855266247436,NO
2.0,5.0,95.0,645,0.0645,site2_cumulative_production_kg,73.87532893359915,32.73297923049745,-41.142349703101644,-42.20241116204161,-40.08228824416168,NO
2.0,5.0,95.0,645,0.0645,site2_last_active_production_kg,7.411341880918632,2.2147129567516104,-5.196628924167024,-5.872624932064239,-4.520632916269809,NO
2.0,5.0,95.0,645,0.0645,terminal_inventory_site3_kg,24.41035623863683,23.081015063153657,-1.329341175483154,-2.704398380999649,0.045716030033341015,NO
2.0,5.0,95.0,645,0.0645,terminal_target_site3_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,5.0,95.0,645,0.0645,terminal_gap_site3_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,5.0,95.0,645,0.0645,terminal_surplus_site3_kg,24.41035623863683,23.081015063153657,-1.329341175483154,-2.704398380999649,0.045716030033341015,NO
2.0,5.0,95.0,645,0.0645,site3_cumulative_production_kg,37.84556369630793,26.00362761441742,-11.841936081890452,-12.696608060462898,-10.987264103318006,NO
2.0,5.0,95.0,645,0.0645,site3_last_active_production_kg,2.888180195147084,3.1078392127926087,0.21965901764552573,-0.22046516561743282,0.6597832009084843,NO
2.0,5.0,95.0,645,0.0645,terminal_inventory_site4_kg,75.05775399380954,37.936667921339634,-37.121086072469744,-38.89340988381651,-35.34876226112298,NO
2.0,5.0,95.0,645,0.0645,terminal_target_site4_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,5.0,95.0,645,0.0645,terminal_gap_site4_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,5.0,95.0,645,0.0645,terminal_surplus_site4_kg,75.05775399380954,37.936667921339634,-37.121086072469744,-38.89340988381651,-35.34876226112298,NO
