a,loc,lfw,x_coord,y_coord,Vmax_mps,grid_max_wind_mps,grid_excess_sum_mps,road_max_wind_mps,road_excess_sum_mps,Rmax_ref,wind_decay_B
4,7,3,50,30.0000296114,37.05,29.0474711013738,48.296208592758,29.0474711013738,0,40,0.6
5,7,3,50,30.0000296114,46.2,36.221138053535,244.802768196566,36.221138053535,116.372252114906,40,0.6
6,7,3,50,30.0000296114,55.5,43.5124061032725,455.120208547823,43.5124061032725,383.873261225072,40,0.6
1,8,3,67,30.0000296114,0,0,0,0,0,40,0.6
2,8,3,67,30.0000296114,20.8,14.0407283298235,0,14.0407283298235,0,40,0.6
3,8,3,67,30.0000296114,28.55,19.2722497027145,0,19.2722497027145,0,40,0.6
4,8,3,67,30.0000296114,37.05,25.0100473374982,0.0100473374981718,25.0100473374982,0,40,0.6
5,8,3,67,30.0000296114,46.2,31.1866177325888,119.025783290383,31.1866177325888,7.26837990054838,40,0.6
6,8,3,67,30.0000296114,55.5,37.464443380058,304.024479926759,37.464443380058,188.586007295287,40,0.6
1,9,3,84,30.0000296114,0,0,0,0,0,40,0.6
2,9,3,84,30.0000296114,20.8,12.4569688665548,0,12.4569688665548,0,40,0.6
3,9,3,84,30.0000296114,28.55,17.0983875548144,0,17.0983875548144,0,40,0.6
4,9,3,84,30.0000296114,37.05,22.1889757935507,0,22.1889757935507,0,40,0.6
5,9,3,84,30.0000296114,46.2,27.6688443093669,33.7089890122545,27.6688443093669,0,40,0.6
6,9,3,84,30.0000296114,55.5,33.2385467352784,193.360494073304,33.2385467352784,55.1396874702364,40,0.6
1,10,3,101,30.0000296114,0,0,0,0,0,40,0.6
2,10,3,101,30.0000296114,20.8,11.2745235948268,0,11.2745235948268,0,40,0.6
3,10,3,101,30.0000296114,28.55,15.475367722707,0,15.475367722707,0,40,0.6
4,10,3,101,30.0000296114,37.05,20.0827451532852,0,20.0827451532852,0,40,0.6
5,10,3,101,30.0000296114,46.2,25.0424514462018,0.0701025265071387,25.0424514462018,0,40,0.6
6,10,3,101,30.0000296114,55.5,30.0834643996581,108.060776539866,30.0834643996581,0.316077938301955,40,0.6
