complexity_label,initial_state_id,scenario_index,path_id,site_id,T_representative,T_min,T_max,range_width,multiple_optimum_flag
simple,7,53,53,4,0,0,5e-09,5e-09,0
simple,7,54,54,1,0,0,5e-09,5e-09,0
simple,7,54,54,2,0,0,5e-09,5e-09,0
simple,7,54,54,3,0,0,5e-09,5e-09,0
simple,7,54,54,4,0,0,5e-09,5e-09,0
simple,7,55,55,1,0,0,5e-09,5e-09,0
simple,7,55,55,2,0,0,5e-09,5e-09,0
simple,7,55,55,3,0,0,5e-09,5e-09,0
simple,7,55,55,4,0,0,5e-09,5e-09,0
simple,7,56,56,1,0,0,5e-09,5e-09,0
simple,7,56,56,2,0,0,5e-09,5e-09,0
simple,7,56,56,3,0,0,5e-09,5e-09,0
simple,7,56,56,4,0,0,5e-09,5e-09,0
simple,7,57,57,1,0,0,5e-09,5e-09,0
simple,7,57,57,2,0,0,5e-09,5e-09,0
simple,7,57,57,3,0,0,5e-09,5e-09,0
simple,7,57,57,4,0,0,5e-09,5e-09,0
simple,7,58,58,1,0,0,5e-09,5e-09,0
simple,7,58,58,2,0,0,5e-09,5e-09,0
simple,7,58,58,3,0,0,5e-09,5e-09,0
simple,7,58,58,4,0,0,5e-09,5e-09,0
simple,7,59,59,1,0,0,5e-09,5e-09,0
simple,7,59,59,2,0,0,5e-09,5e-09,0
simple,7,59,59,3,0,0,5e-09,5e-09,0
simple,7,59,59,4,0,0,5e-09,5e-09,0
simple,7,60,60,1,0,0,5e-09,5e-09,0
simple,7,60,60,2,0,0,5e-09,5e-09,0
simple,7,60,60,3,0,0,5e-09,5e-09,0
simple,7,60,60,4,0,0,5e-09,5e-09,0
simple,7,61,61,1,0,0,5e-09,5e-09,0
simple,7,61,61,2,0,0,5e-09,5e-09,0
simple,7,61,61,3,0,0,5e-09,5e-09,0
simple,7,61,61,4,0,0,5e-09,5e-09,0
simple,7,62,62,1,0,0,5e-09,5e-09,0
simple,7,62,62,2,0,0,5e-09,5e-09,0
simple,7,62,62,3,0,0,5e-09,5e-09,0
simple,7,62,62,4,0,0,5e-09,5e-09,0
simple,7,63,63,1,0,0,5e-09,5e-09,0
simple,7,63,63,2,0,0,5e-09,5e-09,0
simple,7,63,63,3,0,0,5e-09,5e-09,0
