arm,transition_group,stage,global_hour,path_count,site1_H2_production_kg_mean,site1_P_EL_kW_mean,site1_end_inventory_kg_mean,site1_inventory_before_HTT_kg_mean,site1_HTT_in_kg_mean,site1_HTT_out_kg_mean,site1_ordinary_shortage_kg_mean,site1_electrolyzer_capacity_binding_mean,site1_storage_capacity_binding_mean,site2_H2_production_kg_mean,site2_P_EL_kW_mean,site2_end_inventory_kg_mean,site2_inventory_before_HTT_kg_mean,site2_HTT_in_kg_mean,site2_HTT_out_kg_mean,site2_ordinary_shortage_kg_mean,site2_electrolyzer_capacity_binding_mean,site2_storage_capacity_binding_mean,site3_H2_production_kg_mean,site3_P_EL_kW_mean,site3_end_inventory_kg_mean,site3_inventory_before_HTT_kg_mean,site3_HTT_in_kg_mean,site3_HTT_out_kg_mean,site3_ordinary_shortage_kg_mean,site3_electrolyzer_capacity_binding_mean,site3_storage_capacity_binding_mean,site4_H2_production_kg_mean,site4_P_EL_kW_mean,site4_end_inventory_kg_mean,site4_inventory_before_HTT_kg_mean,site4_HTT_in_kg_mean,site4_HTT_out_kg_mean,site4_ordinary_shortage_kg_mean,site4_electrolyzer_capacity_binding_mean,site4_storage_capacity_binding_mean
B0001,PERSISTENT_FAILURE,5,35,179,4.143887372982533,212.50704476833454,149.11924543401065,148.84282681878594,0.4132741715606039,0.1368555563359124,0.5347835117320511,0.7039106145251397,0.0,2.7813971715269843,142.63575238599952,72.08864724328838,71.24281555771528,0.9044702214792326,0.058638535906144026,0.3400534369686665,0.7094972067039106,0.0,1.594239359545445,81.75586459207409,31.297717199478633,31.672541560520465,0.0,0.37482436104183764,0.2190437167810097,0.6759776536312849,0.0,2.552720092027653,130.90872266808478,79.59781060834906,80.34523654810502,0.034173790856815975,0.7815997306127583,0.2514375953099486,0.6927374301675978,0.0
B0001,PERSISTENT_FAILURE,5,36,179,4.085195530726266,209.49720670391062,151.89212057199288,151.88477331091477,0.0073472610781049165,0.0,0.5422145398136251,0.6983240223463687,0.0,2.767039106145245,141.89944134078212,74.63402675932302,73.83292358875491,0.8062898711865992,0.005186700618487525,0.3747527672715916,0.7094972067039106,0.0,1.5164245810055876,77.76536312849161,31.740999580367525,32.228402646029984,0.005186700618487525,0.49258976628094464,0.20715925389362305,0.6480446927374302,0.0,2.4940158671247326,127.89824959614012,80.83264143802178,81.15368880400554,0.029375233409054596,0.35042259939281417,0.29252459169873307,0.6759776536312849,0.0
B0001,PERSISTENT_FAILURE,5,37,179,3.8785362492247644,198.8992948320388,154.18625330418323,154.0715799490583,0.2162756824587039,0.10160232733379386,0.6282758698852428,0.6480446927374302,0.0,2.6980911795512954,138.36365023340008,77.18725449382312,76.08606498769625,1.1011895061268775,0.0,0.43096568236232985,0.6871508379888268,0.0,1.5164245810055876,77.76536312849161,31.468882785362915,32.67271696996576,0.0,1.203834184602847,0.20819119694049454,0.6480446927374302,0.0,2.468662451922876,126.5980744575834,82.09470779304277,82.1067364696917,0.12357235474562318,0.1356010313945637,0.34376040870587693,0.6703910614525139,0.0
B0001,PERSISTENT_FAILURE,5,38,179,3.7001766300216263,189.7526476934163,156.2134652872884,155.85812251655693,0.3911396666671186,0.0357968959356495,0.76451587280574,0.6256983240223464,0.0,2.6337747690666653,135.06537277264977,78.723697301948,78.37405686463224,0.6627226676814877,0.31308223036573646,0.5095493408728647,0.6703910614525139,0.0,1.5141287592309878,77.64762867851215,31.917927701212545,32.24659055541609,0.0,0.32866285420354086,0.2547019962569877,0.6424581005586593,0.0,2.3895923085422357,122.54319530985825,82.67449884343777,83.05081919728146,0.0,0.37632035384367934,0.41251249044705246,0.6480446927374302,0.0
B0001,PERSISTENT_FAILURE,5,39,179,4.092894644881587,209.89203307085012,158.34184490722103,157.94000127824737,0.6101938027033045,0.20835017372968773,0.8919351849400298,0.6983240223463687,0.0,2.767039106145245,141.89944134078212,80.64187738885141,79.64473203597768,1.0240812938119914,0.02693594093825821,0.6384676775738228,0.7094972067039106,0.0,1.5294972067039114,78.43575418994413,31.432963081229182,32.56007334067876,0.0,1.127110259449578,0.3019960152840447,0.6536312849162011,0.0,2.512395251396648,128.84078212290504,83.26198423120464,83.53386295360241,0.23264286880448917,0.5045215912022609,0.5006278193102185,0.6871508379888268,0.0
B0001,PERSISTENT_FAILURE,5,40,179,4.362292650278123,223.70731539887765,163.21975324895178,160.01437240817373,3.3611212036072002,0.15574036282912346,1.033999237946148,0.7206703910614525,0.03910614525139665,2.837547841570667,145.51527392670124,82.6689347065342,81.17191976527751,1.6612471578282129,0.16423221657149054,0.7980845969672781,0.7262569832402235,0.01675977653631285,1.6869320392287614,86.50933534506474,31.109234605895633,32.06565033595075,0.0795221828034322,1.0359379128585504,0.3333273951015359,0.7206703910614525,0.0,2.634951117318436,135.12569832402235,80.5428557575126,84.28883580949228,0.31522481932427204,4.0612048713039535,0.4777687036251194,0.7206703910614525,0.0
B0001,PERSISTENT_FAILURE,6,41,46,4.147775473346716,212.70643453060094,165.63052858326571,166.6998412221974,1.6906185660158797,2.7599312049475926,1.4206970651437991,0.6739130434782609,0.0,2.627555219086683,134.74642149162472,92.00222497092015,91.1598672189816,5.713653697913566,4.871295945975092,0.7717104998687946,0.6304347826086957,0.0,1.7295652173913056,88.69565217391305,31.37371524079432,30.559608883182403,2.5678210952121945,1.7537147376002795,0.4136861156597426,0.7391304347826086,0.0,2.801262816856803,143.65450342855402,70.18449035108613,70.77164182170486,3.6584789451106188,4.245630415729298,0.6801744269530461,0.7391304347826086,0.0
B0001,PERSISTENT_FAILURE,6,42,46,3.309614801534667,169.72383597613683,165.72393650898675,165.6334237864711,0.39700577278882304,0.30649305027317,1.2176541322056686,0.5652173913043478,0.0,2.528499173890169,129.6666243020599,93.07377718274509,93.19397016155351,0.24488977100555867,0.3650827498139622,0.5266000540102617,0.6304347826086957,0.0,1.5769565217391315,80.8695652173913,31.45732870486833,31.132055471957806,0.3650827498139622,0.03980951690343783,0.6591911730113601,0.6739130434782609,0.0,2.5812344665438642,132.37099828430073,70.76958019680565,71.0651731734234,0.061603279267611305,0.3571962558853852,0.6460501287814162,0.6956521739130435,0.0
B0001,PERSISTENT_FAILURE,6,43,46,3.179347826086955,163.04347826086956,166.57899115655513,166.67388278669424,0.19555978430260457,0.2904514144417326,0.7868476053104112,0.5434782608695652,0.0,2.334253369987436,119.70530102499667,93.56444596436324,94.51686123056128,0.0,0.9524152661980042,0.3510667026735078,0.5652173913043478,0.0,1.4752173913043487,75.65217391304348,31.250987939304736,31.284265479090895,0.16228224451643672,0.19555978430260457,0.581746100146513,0.6304347826086957,0.0,2.325920200132014,119.27795898112892,73.05379702858838,71.97321259246509,1.0805844361233,0.0,0.44211337751947827,0.6304347826086957,0.0
B0001,PERSISTENT_FAILURE,6,44,46,2.797826086956521,143.47826086956522,168.04200521358305,168.00064344821573,0.27846733947112395,0.2371055741037848,0.4857083983397609,0.4782608695652174,0.0,2.054808994207512,105.37482021576983,95.39941734073106,94.95087796694236,1.0943516806249936,0.6458123068362874,0.26330002700513083,0.5217391304347826,0.0,0.6892048655351075,35.34383925821062,31.103254348190234,30.896424841614337,0.2068295065758972,0.0,0.44291651492671885,0.08695652173913043,0.0,2.3050271739130435,118.20652173913044,73.98872087408594,74.68545151981789,0.16051546078926632,0.8572461065212087,0.26526802651168785,0.6304347826086957,0.0
B0001,PERSISTENT_FAILURE,6,45,46,2.858081346165204,146.5682741623182,170.03403508236985,169.8983129881725,0.1357220941973561,0.0,0.3946380736510549,0.4782608695652174,0.0,2.067222223359295,106.01139606970743,97.22233550324529,97.02105490300478,0.20128060024051653,0.0,0.1755333513367539,0.5217391304347826,0.0,0.42414176629294503,21.750859809894596,30.702197160852926,30.837919255050277,0.0,0.1357220941973561,0.30164612600189594,0.08695652173913043,0.0,2.3050271739130435,118.20652173913044,75.58743793574585,75.78871853598636,0.0,0.20128060024051653,0.19895101988376576,0.6304347826086957,0.0
B0001,PERSISTENT_FAILURE,6,46,46,3.279998491285827,168.20505083517068,170.66153745301,172.6461845259385,0.0,1.9846470729284917,0.26309204910070344,0.5434782608695652,0.0,2.3658454745601842,121.32540895180429,99.35594734092528,99.37213993000645,0.17241157672591667,0.18860416580709327,0.09451795841209826,0.5652173913043478,0.0,0.752520038750843,38.59077121799193,31.28799411387265,31.041031083944027,0.2595918416836071,0.012628811754991457,0.1809876756011377,0.08695652173913043,0.0,2.4682920058325077,126.57907722217988,79.47292023231763,77.71904360023657,1.7621701905303748,0.008293558449322065,0.13263401325584373,0.6739130434782609,0.0
B0001,PERSISTENT_FAILURE,6,47,46,4.999196027606953,256.369027056767,175.5545382903988,175.324391272155,0.2301470182438326,0.0,0.1291283399469427,0.8043478260869565,0.0,2.6306636263340466,134.90582699148948,101.82754796460146,101.77056991946014,0.12825808834955107,0.07128004320820978,0.09451795841209826,0.5869565217391305,0.0,1.2216909275393821,62.650816796891355,32.32476080256262,32.23389429763886,0.0908665049237597,0.0,0.12065845040075857,0.17391304347826086,0.0,3.272782477327842,167.83499883732526,82.1806631739244,82.55865474223333,0.0,0.37799156830893366,0.07368556291991334,0.8260869565217391,0.0
B0001,PERSISTENT_FAILURE,6,48,46,5.448139588929246,279.39177379124357,180.16136083611383,180.66875335546953,0.28543292740791953,0.7928254467636249,0.13154602455035172,0.9130434782608695,0.0,3.5391510174449543,181.494923971536,104.34328257541371,104.93326876947503,0.24724115664755003,0.8372273507088862,0.18768779985090295,0.8695652173913043,0.10869565217391304,2.289130434782611,117.3913043478261,34.83409613278987,34.47599586545864,0.6435331947391383,0.28543292740791953,0.06032922520037914,0.9782608695652174,0.0,3.417798913043478,175.27173913043478,86.15069256564168,85.41141411955584,0.7392784460858218,0.0,0.07368556291991334,0.9347826086956522,0.0
B0001,RECOVERED_PATHS,1,1,46,5.849999999999998,300.0,62.963615948051526,62.963615948051526,0.0,0.0,0.0,1.0,0.0,3.900000000000003,200.0,53.89757893241359,53.89757893241359,0.0,0.0,0.0,1.0,0.0,2.340000000000002,120.0,27.403908845222393,27.403908845222393,0.0,0.0,0.0,1.0,0.0,3.65625,187.5,36.15836378557879,36.15836378557879,0.0,0.0,0.0,1.0,0.0
B0001,RECOVERED_PATHS,1,2,46,5.849999999999998,300.0,68.34814539964277,68.34814539964277,0.0,0.0,0.0,1.0,0.0,3.900000000000003,200.0,57.4870199262024,57.4870199262024,0.0,0.0,0.0,1.0,0.0,2.340000000000002,120.0,29.347459651048503,29.347459651048503,0.0,0.0,0.0,1.0,0.0,3.65625,187.5,39.55388025524684,39.55388025524684,0.0,0.0,0.0,1.0,0.0
