method,bus,global_hour,observed_records,mean_voltage_pu,q01_voltage_pu,q05_voltage_pu,q50_voltage_pu,minimum_voltage_pu,lower_bound_hit_frequency,lower_bound_hit_count,unit_note
chi2_eta003,3,45,427,0.983415073082088,0.981265833173402,0.981265833173402,0.983775883360634,0.981265833173402,0,0,p.u.
chi2_eta003,3,46,427,0.983641122609429,0.981557885942012,0.981557885942012,0.98417209001586,0.981557885942012,0,0,p.u.
chi2_eta003,3,47,427,0.982214318396948,0.981700637816337,0.981700637816337,0.981700637816337,0.981700637816337,0,0,p.u.
chi2_eta003,3,48,427,0.98292004995329,0.982740465091152,0.982740465091152,0.982740465091152,0.982740465091152,0,0,p.u.
chi2_eta003,4,1,10000,0.977823851856823,0.97782385185681,0.97782385185681,0.97782385185681,0.97782385185681,0,0,p.u.
chi2_eta003,4,2,10000,0.97888906786803,0.978889067868067,0.978889067868067,0.978889067868067,0.978889067868067,0,0,p.u.
chi2_eta003,4,3,10000,0.979237551731511,0.979237551731518,0.979237551731518,0.979237551731518,0.979237551731518,0,0,p.u.
chi2_eta003,4,4,10000,0.979592240015339,0.979592240015361,0.979592240015361,0.979592240015361,0.979592240015361,0,0,p.u.
chi2_eta003,4,5,10000,0.979807522151039,0.979807522150997,0.979807522150997,0.979807522150997,0.979807522150997,0,0,p.u.
chi2_eta003,4,6,10000,0.980301231587871,0.980301231587853,0.980301231587853,0.980301231587853,0.980301231587853,0,0,p.u.
chi2_eta003,4,7,10000,0.980655535154855,0.980655535154845,0.980655535154845,0.980655535154845,0.980655535154845,0,0,p.u.
chi2_eta003,4,8,10000,0.979592240015339,0.979592240015361,0.979592240015361,0.979592240015361,0.979592240015361,0,0,p.u.
chi2_eta003,4,9,8914,0.977464425636711,0.97746442563668,0.97746442563668,0.97746442563668,0.97746442563668,0,0,p.u.
chi2_eta003,4,10,8914,0.977588502260744,0.977588502260768,0.977588502260768,0.977588502260768,0.977588502260768,0,0,p.u.
chi2_eta003,4,11,8914,0.976819121942312,0.976819121942354,0.976819121942354,0.976819121942354,0.976819121942354,0,0,p.u.
chi2_eta003,4,12,8914,0.976456737542067,0.976456737542042,0.976456737542042,0.976456737542042,0.976456737542042,0,0,p.u.
chi2_eta003,4,13,8914,0.976372260233458,0.976300067000729,0.976300067000729,0.976300067000729,0.976300067000729,0,0,p.u.
chi2_eta003,4,14,8914,0.976586229991205,0.976164986168523,0.976164986168523,0.976164986168523,0.976164986168523,0,0,p.u.
chi2_eta003,4,15,8914,0.977028777994799,0.977028777994848,0.977028777994848,0.977028777994848,0.977028777994848,0,0,p.u.
chi2_eta003,4,16,8914,0.976795231933222,0.976795231933217,0.976795231933217,0.976795231933217,0.976795231933217,0,0,p.u.
chi2_eta003,4,17,7936,0.976897265783314,0.976750412623131,0.976750412623131,0.976750412623131,0.976750412623131,0,0,p.u.
chi2_eta003,4,18,7936,0.97810260311657,0.977181630437942,0.977181630437942,0.978082986642845,0.977181630437942,0,0,p.u.
chi2_eta003,4,19,7936,0.978960958618611,0.976138157865124,0.976138157865124,0.980109749170585,0.976138157865124,0,0,p.u.
chi2_eta003,4,20,7936,0.976597363351509,0.973675036917557,0.973675036917557,0.977254170770986,0.973675036917557,0,0,p.u.
chi2_eta003,4,21,7936,0.975926180100557,0.97327389526226,0.97327389526226,0.976682710273274,0.97327389526226,0,0,p.u.
chi2_eta003,4,22,7936,0.974695417878973,0.973675036917557,0.973675036917557,0.975220259537214,0.973675036917557,0,0,p.u.
chi2_eta003,4,23,7936,0.973871367142339,0.973871093421932,0.973871093421932,0.973871093421932,0.973871093421932,0,0,p.u.
chi2_eta003,4,24,7936,0.975333823580332,0.975333823580352,0.975333823580352,0.975333823580352,0.975333823580352,0,0,p.u.
chi2_eta003,4,25,5788,0.977863445686511,0.97782385185681,0.97782385185681,0.97782385185681,0.97782385185681,0,0,p.u.
chi2_eta003,4,26,5788,0.978923501508712,0.978889067868067,0.978889067868067,0.978889067868067,0.978889067868067,0,0,p.u.
chi2_eta003,4,27,5788,0.979278350984301,0.979237551731518,0.979237551731518,0.979237551731518,0.979237551731518,0,0,p.u.
chi2_eta003,4,28,5788,0.979637495234895,0.979592240015361,0.979592240015361,0.979592240015361,0.979592240015361,0,0,p.u.
chi2_eta003,4,29,5788,0.979943096363199,0.979807522150997,0.979807522150997,0.979807522150997,0.979807522150997,0,0,p.u.
chi2_eta003,4,30,5788,0.980676879813521,0.980301231587853,0.980301231587853,0.980301231587853,0.980301231587853,0,0,p.u.
chi2_eta003,4,31,5788,0.981628449773989,0.980655535154845,0.980655535154845,0.980655535154845,0.980655535154845,0,0,p.u.
chi2_eta003,4,32,5788,0.982008453574427,0.979592240015361,0.979592240015361,0.982609135183037,0.979592240015361,0,0,p.u.
chi2_eta003,4,33,2476,0.980191064183433,0.97746442563668,0.97746442563668,0.981430649900518,0.97746442563668,0,0,p.u.
chi2_eta003,4,34,2476,0.980727509699726,0.977588502260768,0.977588502260768,0.981554225160974,0.977588502260768,0,0,p.u.
chi2_eta003,4,35,2476,0.980005214310033,0.976819121942354,0.976819121942354,0.980787955763701,0.976819121942354,0,0,p.u.
chi2_eta003,4,36,2476,0.979725850744495,0.976456737542042,0.976456737542042,0.980427038320628,0.976456737542042,0,0,p.u.
chi2_eta003,4,37,2476,0.979628110149914,0.976300067000729,0.976300067000729,0.980271002327692,0.976300067000729,0,0,p.u.
