initial_state_id,T_label,eta,path_id,loss,nominal_probability,worst_probability,probability_shift,model,absolute_shift
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,140,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,141,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,142,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,143,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,144,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,145,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,146,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,147,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,148,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,149,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,150,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,151,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,152,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,153,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,154,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,156,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,157,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,158,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,159,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,160,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,161,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,162,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,163,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,164,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,165,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
