initial_state_id,parent_id,child_id,parent_stage,child_stage,parent_native_state,child_native_state,parent_support_count,child_support_count,nominal_conditional_probability,theoretical_transition_probability
7,s7:n1:a=2|loc=6|lfw=0,s7:n2:a=2|loc=6|lfw=0>a=1|loc=6|lfw=0,1,2,a=2|loc=6|lfw=0,a=1|loc=6|lfw=0,674,5,0.00741839762611276,0.005878799999999999
7,s7:n2:a=2|loc=6|lfw=0>a=1|loc=6|lfw=0,s7:n3:a=2|loc=6|lfw=0>a=1|loc=6|lfw=0>a=1|loc=6|lfw=1,2,3,a=1|loc=6|lfw=0,a=1|loc=6|lfw=1,5,1,0.2,0.135
7,s7:n1:a=2|loc=8|lfw=1,s7:n2:a=2|loc=8|lfw=1>a=2|loc=8|lfw=0,1,2,a=2|loc=8|lfw=1,a=2|loc=8|lfw=0,2630,20,0.0076045627376425855,0.007967368421052617
7,s7:n2:a=2|loc=8|lfw=1>a=2|loc=8|lfw=0,s7:n3:a=2|loc=8|lfw=1>a=2|loc=8|lfw=0>a=2|loc=7|lfw=1,2,3,a=2|loc=8|lfw=0,a=2|loc=7|lfw=1,20,6,0.3,0.14606842105263154
7,s7:n1:a=2|loc=6|lfw=1,s7:n2:a=2|loc=6|lfw=1>a=1|loc=8|lfw=0,1,2,a=2|loc=6|lfw=1,a=1|loc=8|lfw=0,2065,1,0.00048426150121065375,0.0009230000000000001
7,s7:n2:a=2|loc=6|lfw=1>a=1|loc=8|lfw=0,s7:n3:a=2|loc=6|lfw=1>a=1|loc=8|lfw=0>a=1|loc=8|lfw=0,2,3,a=1|loc=8|lfw=0,a=1|loc=8|lfw=0,1,1,1.0,0.04357894736842098
7,s7:n1:a=2|loc=8|lfw=1,s7:n2:a=2|loc=8|lfw=1>a=1|loc=9|lfw=2,1,2,a=2|loc=8|lfw=1,a=1|loc=9|lfw=2,2630,79,0.03003802281368821,0.03138947368421051
7,s7:n2:a=2|loc=8|lfw=1>a=1|loc=9|lfw=2,s7:n3:a=2|loc=8|lfw=1>a=1|loc=9|lfw=2>a=1|loc=9|lfw=3,2,3,a=1|loc=9|lfw=2,a=1|loc=9|lfw=3,79,15,0.189873417721519,0.16463414634146326
7,s7:n1:a=2|loc=7|lfw=1,s7:n2:a=2|loc=7|lfw=1>a=2|loc=7|lfw=1,1,2,a=2|loc=7|lfw=1,a=2|loc=7|lfw=1,1747,47,0.026903262736119062,0.027248399999999996
7,s7:n2:a=2|loc=7|lfw=1>a=2|loc=7|lfw=1,s7:n3:a=2|loc=7|lfw=1>a=2|loc=7|lfw=1>a=2|loc=8|lfw=2,2,3,a=2|loc=7|lfw=1,a=2|loc=8|lfw=2,47,7,0.14893617021276595,0.17661000000000002
7,s7:n1:a=2|loc=8|lfw=0,s7:n2:a=2|loc=8|lfw=0>a=2|loc=9|lfw=0,1,2,a=2|loc=8|lfw=0,a=2|loc=9|lfw=0,791,57,0.07206068268015171,0.05701094736842103
7,s7:n2:a=2|loc=8|lfw=0>a=2|loc=9|lfw=0,s7:n3:a=2|loc=8|lfw=0>a=2|loc=9|lfw=0>a=1|loc=6|lfw=0,2,3,a=2|loc=9|lfw=0,a=1|loc=6|lfw=0,57,1,0.017543859649122806,0.0015931707317073155
