initial_state_id,feature_name,sample_count,mean,std,q50,q90,q95,q99,q995,maximum,CVaR95,CVaR99,CVaR995
12,audit_zero_demand_share,1,0.813333333333333,0,0.813333333333333,0.813333333333333,0.813333333333333,0.813333333333333,0.813333333333333,0.813333333333333,0.813333333333333,0.813333333333333,0.813333333333333
12,audit_fully_unreachable_demand_share,1,6.66666666666667e-05,0,6.66666666666667e-05,6.66666666666667e-05,6.66666666666667e-05,6.66666666666667e-05,6.66666666666667e-05,6.66666666666667e-05,6.66666666666667e-05,6.66666666666667e-05,6.66666666666667e-05
12,audit_full_capacity_positive_loss_share,1,0.183466666666667,0,0.183466666666667,0.183466666666667,0.183466666666667,0.183466666666667,0.183466666666667,0.183466666666667,0.183466666666667,0.183466666666667,0.183466666666667
12,audit_tail95_threshold_loss_T50,1,1588.26604056237,0,1588.26604056237,1588.26604056237,1588.26604056237,1588.26604056237,1588.26604056237,1588.26604056237,1588.26604056237,1588.26604056237,1588.26604056237
12,audit_tail99_threshold_loss_T50,1,102193.02796442,0,102193.02796442,102193.02796442,102193.02796442,102193.02796442,102193.02796442,102193.02796442,102193.02796442,102193.02796442,102193.02796442
12,audit_tail995_threshold_loss_T50,1,225339.6577104,0,225339.6577104,225339.6577104,225339.6577104,225339.6577104,225339.6577104,225339.6577104,225339.6577104,225339.6577104,225339.6577104
12,audit_tail95_boundary_tie_count,1,1,0,1,1,1,1,1,1,1,1,1
12,audit_tail99_boundary_tie_count,1,1,0,1,1,1,1,1,1,1,1,1
12,audit_tail995_boundary_tie_count,1,1,0,1,1,1,1,1,1,1,1,1
13,total_D,15000,19.6142159670512,66.7416122265232,0,50.1868368655047,138.327469110547,384.043858931348,405.313258598587,607.969887897881,278.583494713107,427.395466819409,437.824213854359
13,unreachable_D,15000,0.444971769904263,5.93361633866982,0,0,0,9.81916373455527,26.1844366254807,265.935684477539,0.444971769904263,42.3666768590735,67.7472053425438
13,unreachable_D_ratio,15000,0.00144299651628312,0.017838365127664,0,0,0,0.0359324986390856,0.103030488938464,0.666666666666667,0.00144299651628312,0.137181401725424,0.20767591722402
13,reachable_D_1,15000,18.5398176181254,62.4371016997576,0,49.0958186727764,131.808635408994,355.126421733082,388.947985707662,607.969887897881,259.728518306376,395.006687328227,431.468984218996
13,reachable_D_2,15000,18.1444871759903,61.794451542881,0,47.7320459318659,126.55811035649,355.126421733082,388.947985707662,607.969887897881,255.999677614253,395.151528139827,431.468984218996
13,reachable_D_3,15000,16.6024966132976,58.1618808984079,0,42.5497095164062,116.738946621935,349.693151133296,384.583912936748,607.969887897881,239.543140853245,391.611888461574,421.893864027551
13,reachable_D_4,15000,18.0128921983107,61.261247278888,0,47.7320459318659,124.921583067398,355.126421733082,386.224531544063,607.969887897881,253.828433321482,395.311149740251,431.283128312831
13,demand_weighted_C_1,15000,3.48192767329684,8.8659235223962,0,23.2739480102399,28.3792253889639,30.0081475831878,30.9010164529275,52.6696756094879,29.8995655450898,31.8628057305176,33.0421757488246
13,demand_weighted_C_2,15000,2.26468445749048,6.40531168090848,0,8.55789798749437,20.4748021363369,27.5250902332566,32.2434013244982,50.401954937246,24.6994020190651,32.0656522155795,34.6114968360608
13,demand_weighted_C_3,15000,2.36954964100157,6.89237665960288,0,8.31192448100194,21.9368634848257,29.0610513033648,32.0042694626334,45.3288711323108,26.8553255034501,32.0392330303148,33.7880023871382
13,demand_weighted_C_4,15000,2.81305175734114,7.63000300489974,0,15.5327013661858,24.2712064439875,29.8023359194616,33.6652080261874,52.3473731592523,28.2522535589138,34.502390763807,37.644303600818
13,loss_T0,15000,39228.4319341024,133483.224453041,0,100373.673731009,276654.938221094,768087.717862695,810626.517197174,1215939.77579576,557166.989426214,854790.933638818,875648.427708718
13,loss_T25,15000,10013.2599484284,60598.8776861913,0,165.197938511924,1252.75514917555,394598.221670242,436381.988691708,842202.595037935,199577.005412109,489449.444388732,553594.413193185
13,loss_T50,15000,2062.44221354475,21170.5199468197,0,142.461798627415,897.427864892289,62899.8779605527,129641.69276688,566028.182830761,40765.2195922818,171484.065749205,259431.396431978
13,loss_T75,15000,1100.95883065108,12929.4742556985,0,142.461798627415,870.065635530934,22330.1289058127,74242.1936486759,532793.084526042,21556.8582095483,96702.22413709,152512.859308898
