distribution_scope,state_i,state_j,repeat_count,sample_count_per_state,median_energy_distance,minimum_energy_distance,maximum_energy_distance,IQR_energy_distance,seed_rule
tail95,30,9,10,750,17.9912284781515,17.9912284781515,17.9912284781515,0,20260300 + repeat*100 + state
bulk,30,10,10,1000,6.71992815760394,6.43834084428718,6.98202603439401,0.114649625014263,20260300 + repeat*100 + state
tail95,30,10,10,750,18.1618960184027,18.1618960184027,18.1618960184027,0,20260300 + repeat*100 + state
bulk,30,11,10,1000,6.89339150622788,6.63239453420629,7.09735588168318,0.213876987213853,20260300 + repeat*100 + state
tail95,30,11,10,750,18.6388851556893,18.6388851556893,18.6388851556893,0,20260300 + repeat*100 + state
bulk,30,12,10,1000,7.22536601903182,7.13724921197268,7.58166705566401,0.138338482981145,20260300 + repeat*100 + state
tail95,30,12,10,750,19.1053775793494,19.1053775793494,19.1053775793494,0,20260300 + repeat*100 + state
bulk,30,13,10,1000,7.74013341423841,7.56774835100314,8.02813381773142,0.204462384188963,20260300 + repeat*100 + state
tail95,30,13,10,750,19.9237363800644,19.9237363800644,19.9237363800644,0,20260300 + repeat*100 + state
bulk,30,14,10,1000,8.12990606058441,7.95226062430041,8.42086146992934,0.161571941895048,20260300 + repeat*100 + state
tail95,30,14,10,750,20.4098425653082,20.4098425653082,20.4098425653082,0,20260300 + repeat*100 + state
bulk,30,15,10,1000,2.69287951910281,2.58384361064826,2.94267658158582,0.164640607981994,20260300 + repeat*100 + state
tail95,30,15,10,750,12.689660422636,12.689660422636,12.689660422636,0,20260300 + repeat*100 + state
bulk,30,16,10,1000,2.57913017308851,2.33185479076721,2.8319125213643,0.104843509973653,20260300 + repeat*100 + state
tail95,30,16,10,750,12.2328627090614,12.2328627090614,12.2328627090614,0,20260300 + repeat*100 + state
bulk,30,17,10,1000,2.74430299736061,2.54380522704541,2.9211656617831,0.143325864438979,20260300 + repeat*100 + state
tail95,30,17,10,750,11.7113584107482,11.7113584107482,11.7113584107482,0,20260300 + repeat*100 + state
bulk,30,18,10,1000,3.10607318956324,2.95055812090429,3.40187602089443,0.0749944379169705,20260300 + repeat*100 + state
tail95,30,18,10,750,11.4682643350828,11.4682643350828,11.4682643350828,0,20260300 + repeat*100 + state
bulk,30,19,10,1000,3.71909159217876,3.45577870528498,4.02557972880992,0.0582523847472682,20260300 + repeat*100 + state
tail95,30,19,10,750,11.9779397022984,11.9779397022984,11.9779397022984,0,20260300 + repeat*100 + state
bulk,30,20,10,1000,4.57111215302361,4.3003834739762,4.85727832076858,0.287389801550262,20260300 + repeat*100 + state
tail95,30,20,10,750,13.4570121722863,13.4570121722863,13.4570121722863,0,20260300 + repeat*100 + state
bulk,30,21,10,1000,5.59864160044361,5.43176483868917,5.67570102505811,0.151918453007634,20260300 + repeat*100 + state
tail95,30,21,10,750,15.240824403846,15.240824403846,15.240824403846,0,20260300 + repeat*100 + state
bulk,30,22,10,1000,0.426511835772615,0.403092586965515,0.496115890998445,0.0268465475873445,20260300 + repeat*100 + state
tail95,30,22,10,750,4.27958090243002,4.27958090243002,4.27958090243002,0,20260300 + repeat*100 + state
bulk,30,23,10,1000,0.349192436600728,0.289556480738009,0.497827074354642,0.0474820109881611,20260300 + repeat*100 + state
tail95,30,23,10,750,4.64143472205024,4.64143472205024,4.64143472205024,0,20260300 + repeat*100 + state
bulk,30,24,10,1000,0.477342944067759,0.401021514862626,0.560501703576811,0.0947597441586798,20260300 + repeat*100 + state
tail95,30,24,10,750,4.46973903462142,4.46973903462142,4.46973903462142,0,20260300 + repeat*100 + state
bulk,30,25,10,1000,0.70094603507518,0.631316657282497,0.779442748856646,0.0335369553989209,20260300 + repeat*100 + state
tail95,30,25,10,750,5.47436079726076,5.47436079726076,5.47436079726076,0,20260300 + repeat*100 + state
bulk,30,26,10,1000,1.14512713477342,0.988718113736089,1.29027934399981,0.0580506774035823,20260300 + repeat*100 + state
tail95,30,26,10,750,6.39983283733527,6.39983283733527,6.39983283733527,0,20260300 + repeat*100 + state
bulk,30,27,10,1000,1.94258216226273,1.74160588706084,2.04370959896103,0.147518258098753,20260300 + repeat*100 + state
tail95,30,27,10,750,7.56858964494335,7.56858964494335,7.56858964494335,0,20260300 + repeat*100 + state
bulk,30,28,10,1000,2.93339308086232,2.74280403055935,3.03422225011327,0.137236998655798,20260300 + repeat*100 + state
tail95,30,28,10,750,9.94782530984182,9.94782530984182,9.94782530984182,0,20260300 + repeat*100 + state
bulk,30,29,10,1000,0.0149843644912919,0.00904709208067445,0.0410084843115408,0.00780514775197916,20260300 + repeat*100 + state
tail95,30,29,10,750,0.0243332242101495,0.0243332242101495,0.0243332242101495,0,20260300 + repeat*100 + state
bulk,30,30,10,1000,0,0,0,0,20260300 + repeat*100 + state
tail95,30,30,10,750,0,0,0,0,20260300 + repeat*100 + state
bulk,30,31,10,1000,0.0118816277791303,0.00841076611129399,0.0187708465801437,0.00298759299507734,20260300 + repeat*100 + state
tail95,30,31,10,750,0.0230652693798623,0.0230652693798623,0.0230652693798623,0,20260300 + repeat*100 + state
bulk,30,32,10,1000,0.0727315503209298,0.039418433170038,0.102557867019796,0.0269058181562447,20260300 + repeat*100 + state
tail95,30,32,10,750,0.160806652942165,0.160806652942165,0.160806652942165,0,20260300 + repeat*100 + state
bulk,30,33,10,1000,0.247279205766571,0.205246008647716,0.307382580130113,0.0391380935965813,20260300 + repeat*100 + state
tail95,30,33,10,750,0.760889215228635,0.760889215228635,0.760889215228635,0,20260300 + repeat*100 + state
