path_id,base_frozen_tail_group,base_terminal_site_gap_kg,selection_rank,selection_rule
1,NORMAL95,0.0,1,retrospective Base terminal_site_gap rank; ties path_id
285,NORMAL95,0.0,268,retrospective Base terminal_site_gap rank; ties path_id
286,NORMAL95,0.0,269,retrospective Base terminal_site_gap rank; ties path_id
287,NORMAL95,0.0,270,retrospective Base terminal_site_gap rank; ties path_id
288,NORMAL95,0.0,271,retrospective Base terminal_site_gap rank; ties path_id
290,NORMAL95,0.0,272,retrospective Base terminal_site_gap rank; ties path_id
291,NORMAL95,0.0,273,retrospective Base terminal_site_gap rank; ties path_id
292,NORMAL95,0.0,274,retrospective Base terminal_site_gap rank; ties path_id
293,NORMAL95,0.0,275,retrospective Base terminal_site_gap rank; ties path_id
294,NORMAL95,0.0,276,retrospective Base terminal_site_gap rank; ties path_id
295,NORMAL95,0.0,277,retrospective Base terminal_site_gap rank; ties path_id
296,NORMAL95,0.0,278,retrospective Base terminal_site_gap rank; ties path_id
297,NORMAL95,0.0,279,retrospective Base terminal_site_gap rank; ties path_id
298,NORMAL95,0.0,280,retrospective Base terminal_site_gap rank; ties path_id
299,NORMAL95,0.0,281,retrospective Base terminal_site_gap rank; ties path_id
300,NORMAL95,0.0,282,retrospective Base terminal_site_gap rank; ties path_id
301,NORMAL95,0.0,283,retrospective Base terminal_site_gap rank; ties path_id
302,NORMAL95,0.0,284,retrospective Base terminal_site_gap rank; ties path_id
303,NORMAL95,0.0,285,retrospective Base terminal_site_gap rank; ties path_id
304,NORMAL95,0.0,286,retrospective Base terminal_site_gap rank; ties path_id
305,NORMAL95,0.0,287,retrospective Base terminal_site_gap rank; ties path_id
306,NORMAL95,0.0,288,retrospective Base terminal_site_gap rank; ties path_id
307,NORMAL95,0.0,289,retrospective Base terminal_site_gap rank; ties path_id
308,NORMAL95,0.0,290,retrospective Base terminal_site_gap rank; ties path_id
309,NORMAL95,0.0,291,retrospective Base terminal_site_gap rank; ties path_id
310,NORMAL95,0.0,292,retrospective Base terminal_site_gap rank; ties path_id
311,NORMAL95,0.0,293,retrospective Base terminal_site_gap rank; ties path_id
312,NORMAL95,0.0,294,retrospective Base terminal_site_gap rank; ties path_id
314,NORMAL95,0.0,295,retrospective Base terminal_site_gap rank; ties path_id
315,NORMAL95,0.0,296,retrospective Base terminal_site_gap rank; ties path_id
316,NORMAL95,0.0,297,retrospective Base terminal_site_gap rank; ties path_id
317,NORMAL95,0.0,298,retrospective Base terminal_site_gap rank; ties path_id
318,NORMAL95,0.0,299,retrospective Base terminal_site_gap rank; ties path_id
319,NORMAL95,0.0,300,retrospective Base terminal_site_gap rank; ties path_id
320,NORMAL95,0.0,301,retrospective Base terminal_site_gap rank; ties path_id
321,NORMAL95,0.0,302,retrospective Base terminal_site_gap rank; ties path_id
322,NORMAL95,0.0,303,retrospective Base terminal_site_gap rank; ties path_id
323,NORMAL95,0.0,304,retrospective Base terminal_site_gap rank; ties path_id
324,NORMAL95,0.0,305,retrospective Base terminal_site_gap rank; ties path_id
325,NORMAL95,0.0,306,retrospective Base terminal_site_gap rank; ties path_id
327,NORMAL95,0.0,307,retrospective Base terminal_site_gap rank; ties path_id
328,NORMAL95,0.0,308,retrospective Base terminal_site_gap rank; ties path_id
329,NORMAL95,0.0,309,retrospective Base terminal_site_gap rank; ties path_id
330,NORMAL95,0.0,310,retrospective Base terminal_site_gap rank; ties path_id
331,NORMAL95,0.0,311,retrospective Base terminal_site_gap rank; ties path_id
332,NORMAL95,0.0,312,retrospective Base terminal_site_gap rank; ties path_id
333,NORMAL95,0.0,313,retrospective Base terminal_site_gap rank; ties path_id
334,NORMAL95,0.0,314,retrospective Base terminal_site_gap rank; ties path_id
335,NORMAL95,0.0,315,retrospective Base terminal_site_gap rank; ties path_id
336,NORMAL95,0.0,316,retrospective Base terminal_site_gap rank; ties path_id
337,NORMAL95,0.0,317,retrospective Base terminal_site_gap rank; ties path_id
338,NORMAL95,0.0,318,retrospective Base terminal_site_gap rank; ties path_id
339,NORMAL95,0.0,319,retrospective Base terminal_site_gap rank; ties path_id
340,NORMAL95,0.0,320,retrospective Base terminal_site_gap rank; ties path_id
341,NORMAL95,0.0,321,retrospective Base terminal_site_gap rank; ties path_id
342,NORMAL95,0.0,322,retrospective Base terminal_site_gap rank; ties path_id
343,NORMAL95,0.0,323,retrospective Base terminal_site_gap rank; ties path_id
344,NORMAL95,0.0,324,retrospective Base terminal_site_gap rank; ties path_id
345,NORMAL95,0.0,325,retrospective Base terminal_site_gap rank; ties path_id
346,NORMAL95,0.0,326,retrospective Base terminal_site_gap rank; ties path_id
