a0,loc0,lfw0,seed_id,base_seed,mode,asset,stage,threshold_mps,observation_count,above_count,above_share,crossed_up_vs_M0_count,crossed_up_vs_M0_share,crossed_down_vs_M0_count,crossed_down_vs_M0_share,local_wind_max_mps
5,4,0,2,20260724,M0_FIXED,grid_line,W1,50,64000,9,0.000140625,0,0,0,0,55.4697563798546
5,4,0,2,20260724,M0_FIXED,road_edge,W1,30,82000,33238,0.405341463414634,0,0,0,0,55.4697563798546
5,4,0,2,20260724,M0_FIXED,road_edge,W1,60,82000,0,0,0,0,0,0,55.4697563798546
5,4,0,2,20260724,M0_FIXED,grid_line,W2,25,64000,48925,0.764453125,0,0,0,0,55.4697563798546
5,4,0,2,20260724,M0_FIXED,grid_line,W2,50,64000,153,0.002390625,0,0,0,0,55.4697563798546
5,4,0,2,20260724,M0_FIXED,road_edge,W2,30,82000,44628,0.544243902439024,0,0,0,0,55.4697563798546
5,4,0,2,20260724,M0_FIXED,road_edge,W2,60,82000,0,0,0,0,0,0,55.4697563798546
5,4,0,2,20260724,M0_FIXED,grid_line,W3,25,64000,40160,0.6275,0,0,0,0,55.2436058969241
5,4,0,2,20260724,M0_FIXED,grid_line,W3,50,64000,62,0.00096875,0,0,0,0,55.2436058969241
5,4,0,2,20260724,M0_FIXED,road_edge,W3,30,82000,34854,0.425048780487805,0,0,0,0,55.2436058969241
5,4,0,2,20260724,M0_FIXED,road_edge,W3,60,82000,0,0,0,0,0,0,55.2436058969241
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W1,25,64000,46492,0.7264375,2440,0.038125,2091,0.032671875,57.780521269103
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W1,50,64000,12,0.0001875,3,4.6875e-05,0,0,57.780521269103
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W1,30,82000,32060,0.390975609756098,3175,0.038719512195122,4353,0.0530853658536585,57.780521269103
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W1,60,82000,0,0,0,0,0,0,57.780521269103
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W2,25,64000,48907,0.764171875,1479,0.023109375,1497,0.023390625,58.565501135539
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W2,50,64000,158,0.00246875,13,0.000203125,8,0.000125,58.565501135539
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W2,30,82000,43637,0.532158536585366,1781,0.0217195121951219,2772,0.0338048780487805,58.565501135539
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W2,60,82000,0,0,0,0,0,0,58.565501135539
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W3,25,64000,40341,0.630328125,1336,0.020875,1155,0.018046875,54.3453897597183
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W3,50,64000,67,0.001046875,11,0.000171875,6,9.375e-05,54.3453897597183
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W3,30,82000,34490,0.420609756097561,1524,0.0185853658536585,1888,0.0230243902439024,54.3453897597183
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W3,60,82000,0,0,0,0,0,0,54.3453897597183
2,6,0,2,20260724,M0_FIXED,grid_line,W1,25,64000,0,0,0,0,0,0,24.80787744658
2,6,0,2,20260724,M0_FIXED,grid_line,W1,50,64000,0,0,0,0,0,0,24.80787744658
2,6,0,2,20260724,M0_FIXED,road_edge,W1,30,82000,0,0,0,0,0,0,24.80787744658
2,6,0,2,20260724,M0_FIXED,road_edge,W1,60,82000,0,0,0,0,0,0,24.80787744658
2,6,0,2,20260724,M0_FIXED,grid_line,W2,25,64000,410,0.00640625,0,0,0,0,36.878839612271
2,6,0,2,20260724,M0_FIXED,grid_line,W2,50,64000,0,0,0,0,0,0,36.878839612271
2,6,0,2,20260724,M0_FIXED,road_edge,W2,30,82000,219,0.00267073170731707,0,0,0,0,36.878839612271
2,6,0,2,20260724,M0_FIXED,road_edge,W2,60,82000,0,0,0,0,0,0,36.878839612271
2,6,0,2,20260724,M0_FIXED,grid_line,W3,25,64000,386,0.00603125,0,0,0,0,45.3853756454948
2,6,0,2,20260724,M0_FIXED,grid_line,W3,50,64000,0,0,0,0,0,0,45.3853756454948
2,6,0,2,20260724,M0_FIXED,road_edge,W3,30,82000,220,0.00268292682926829,0,0,0,0,45.3853756454948
2,6,0,2,20260724,M0_FIXED,road_edge,W3,60,82000,0,0,0,0,0,0,45.3853756454948
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W1,25,64000,11,0.000171875,11,0.000171875,0,0,27.3587007382454
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W1,50,64000,0,0,0,0,0,0,27.3587007382454
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W1,30,82000,0,0,0,0,0,0,27.3587007382454
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W1,60,82000,0,0,0,0,0,0,27.3587007382454
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W2,25,64000,456,0.007125,73,0.001140625,27,0.000421875,38.1410848706314
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W2,50,64000,0,0,0,0,0,0,38.1410848706314
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W2,30,82000,228,0.00278048780487805,22,0.000268292682926829,13,0.000158536585365854,38.1410848706314
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W2,60,82000,0,0,0,0,0,0,38.1410848706314
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W3,25,64000,380,0.0059375,31,0.000484375,37,0.000578125,43.7309632796148
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W3,50,64000,0,0,0,0,0,0,43.7309632796148
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W3,30,82000,207,0.00252439024390244,10,0.000121951219512195,23,0.000280487804878049,43.7309632796148
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W3,60,82000,0,0,0,0,0,0,43.7309632796148
2,1,0,2,20260724,M0_FIXED,grid_line,W1,25,64000,141,0.002203125,0,0,0,0,28.4511532298115
2,1,0,2,20260724,M0_FIXED,grid_line,W1,50,64000,0,0,0,0,0,0,28.4511532298115
2,1,0,2,20260724,M0_FIXED,road_edge,W1,30,82000,0,0,0,0,0,0,28.4511532298115
2,1,0,2,20260724,M0_FIXED,road_edge,W1,60,82000,0,0,0,0,0,0,28.4511532298115
2,1,0,2,20260724,M0_FIXED,grid_line,W2,25,64000,435,0.006796875,0,0,0,0,45.9865692331152
2,1,0,2,20260724,M0_FIXED,grid_line,W2,50,64000,0,0,0,0,0,0,45.9865692331152
2,1,0,2,20260724,M0_FIXED,road_edge,W2,30,82000,129,0.00157317073170732,0,0,0,0,45.9865692331152
2,1,0,2,20260724,M0_FIXED,road_edge,W2,60,82000,0,0,0,0,0,0,45.9865692331152
2,1,0,2,20260724,M0_FIXED,grid_line,W3,25,64000,663,0.010359375,0,0,0,0,46.1939864988179
2,1,0,2,20260724,M0_FIXED,grid_line,W3,50,64000,0,0,0,0,0,0,46.1939864988179
2,1,0,2,20260724,M0_FIXED,road_edge,W3,30,82000,406,0.00495121951219512,0,0,0,0,46.1939864988179
2,1,0,2,20260724,M0_FIXED,road_edge,W3,60,82000,0,0,0,0,0,0,46.1939864988179
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W1,25,64000,158,0.00246875,28,0.0004375,11,0.000171875,31.2968809363803
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W1,50,64000,0,0,0,0,0,0,31.2968809363803
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W1,30,82000,12,0.000146341463414634,12,0.000146341463414634,0,0,31.2968809363803
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W1,60,82000,0,0,0,0,0,0,31.2968809363803
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W2,25,64000,447,0.006984375,70,0.00109375,58,0.00090625,45.9554122786835
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W2,50,64000,0,0,0,0,0,0,45.9554122786835
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W2,30,82000,158,0.00192682926829268,34,0.000414634146341463,5,6.09756097560976e-05,45.9554122786835
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W2,60,82000,0,0,0,0,0,0,45.9554122786835
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W3,25,64000,697,0.010890625,68,0.0010625,34,0.00053125,49.4409641155564
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,grid_line,W3,50,64000,0,0,0,0,0,0,49.4409641155564
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W3,30,82000,434,0.00529268292682927,48,0.000585365853658537,20,0.00024390243902439,49.4409641155564
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,road_edge,W3,60,82000,0,0,0,0,0,0,49.4409641155564
4,4,0,2,20260724,M0_FIXED,grid_line,W1,25,64000,20137,0.314640625,0,0,0,0,45.9865692331152
4,4,0,2,20260724,M0_FIXED,grid_line,W1,50,64000,0,0,0,0,0,0,45.9865692331152
4,4,0,2,20260724,M0_FIXED,road_edge,W1,30,82000,3979,0.0485243902439024,0,0,0,0,45.9865692331152
4,4,0,2,20260724,M0_FIXED,road_edge,W1,60,82000,0,0,0,0,0,0,45.9865692331152
4,4,0,2,20260724,M0_FIXED,grid_line,W2,25,64000,29928,0.467625,0,0,0,0,55.2436058969241
4,4,0,2,20260724,M0_FIXED,grid_line,W2,50,64000,108,0.0016875,0,0,0,0,55.2436058969241
4,4,0,2,20260724,M0_FIXED,road_edge,W2,30,82000,20279,0.24730487804878,0,0,0,0,55.2436058969241
4,4,0,2,20260724,M0_FIXED,road_edge,W2,60,82000,0,0,0,0,0,0,55.2436058969241
