a0,loc0,lfw0,metric,mode,step3d_N2000_three_seed_mean,step3d_N2000_seed_std,step3d_N2000_seed_range,mode_three_seed_mean,mode_shift_vs_M0,absolute_mode_shift_vs_M0,shift_over_step3d_seed_std,shift_over_step3d_seed_range
2,1,0,W3_failed_lines_mean,M1,0.0781666666666667,0.00485626742811116,0.00950000000000001,0.0818333333333333,0.00366666666666667,0.00366666666666667,0.755038045360037,0.385964912280701
2,1,0,W3_failed_lines_mean,M2L,0.0781666666666667,0.00485626742811116,0.00950000000000001,0.0358333333333333,-0.0423333333333333,0.0423333333333333,8.71725743279316,4.45614035087719
2,1,0,W3_failed_lines_mean,M2H,0.0781666666666667,0.00485626742811116,0.00950000000000001,0.161,0.0828333333333333,0.0828333333333333,17.0569958429063,8.71929824561403
2,1,0,W3_closed_roads_mean,M0,0.03,0.00217944947177034,0.004,0.03,0,0,0,0
2,1,0,W3_closed_roads_mean,M1,0.03,0.00217944947177034,0.004,0.029,-0.001,0.001,0.458831467741124,0.25
2,1,0,W3_closed_roads_mean,M2L,0.03,0.00217944947177034,0.004,0.0108333333333333,-0.0191666666666667,0.0191666666666667,8.79426979837153,4.79166666666667
2,1,0,W3_closed_roads_mean,M2H,0.03,0.00217944947177034,0.004,0.0641666666666667,0.0341666666666667,0.0341666666666667,15.6767418144884,8.54166666666667
4,4,0,D_mean_kg,M0,160.215521552155,1.94970526027447,3.689141641437,160.215521552155,-1.98951966012828e-13,1.98951966012828e-13,1.02042072751458e-13,5.39290667992167e-14
4,4,0,D_mean_kg,M1,160.215521552155,1.94970526027447,3.689141641437,166.216121612161,6.00060006000578,6.00060006000578,3.07769598937279,1.6265572437247
4,4,0,D_mean_kg,M2L,160.215521552155,1.94970526027447,3.689141641437,94.1380047095618,-66.0775168425935,66.0775168425935,33.8910286538855,17.9113526302164
4,4,0,D_mean_kg,M2H,160.215521552155,1.94970526027447,3.689141641437,257.260226022602,97.0447044704469,97.0447044704469,49.7740383881332,26.3054970241386
4,4,0,D_q95_kg,M0,490.139923083217,18.2235966380167,36.003600360036,490.139923083217,5.6843418860808e-14,5.6843418860808e-14,3.11922064507429e-15,1.57882595885894e-15
4,4,0,D_q95_kg,M1,490.139923083217,18.2235966380167,36.003600360036,528.68923255962,38.5493094764022,38.5493094764022,2.11535133498201,1.07070707070707
4,4,0,D_q95_kg,M2L,490.139923083217,18.2235966380167,36.003600360036,405.313258598587,-84.8266644846303,84.8266644846303,4.6547707441939,2.3560606060606
4,4,0,D_q95_kg,M2H,490.139923083217,18.2235966380167,36.003600360036,604.514996954241,114.375073871023,114.375073871023,6.27620749860228,3.17676767676767
4,4,0,D_q99_kg,M0,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
4,4,0,D_q99_kg,M1,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
4,4,0,D_q99_kg,M2L,607.969887897881,0,0,550.691432779642,-57.2784551182394,57.2784551182394,NaN,NaN
4,4,0,D_q99_kg,M2H,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
4,4,0,full_loss_probability,M0,0.0185,0.00278388218141501,0.0055,0.0185,0,0,0,0
4,4,0,full_loss_probability,M1,0.0185,0.00278388218141501,0.0055,0.0225,0.00399999999999999,0.00399999999999999,1.4368424162142,0.727272727272726
4,4,0,full_loss_probability,M2L,0.0185,0.00278388218141501,0.0055,0.006,-0.0125,0.0125,4.49013255066937,2.27272727272727
4,4,0,full_loss_probability,M2H,0.0185,0.00278388218141501,0.0055,0.05,0.0315,0.0315,11.3151340276868,5.72727272727272
4,4,0,A0_pair_share,M0,0.0430332491582492,0.00324848300650005,0.0060252525252526,0.0430332491582492,1.38777878078145e-17,1.38777878078145e-17,4.27208262442675e-15,2.30327073423908e-15
4,4,0,A0_pair_share,M1,0.0430332491582492,0.00324848300650005,0.0060252525252526,0.0476094276094276,0.00457617845117846,0.00457617845117846,1.4087124488636,0.759499860296165
4,4,0,A0_pair_share,M2L,0.0430332491582492,0.00324848300650005,0.0060252525252526,0.017766835016835,-0.0252664141414142,0.0252664141414142,7.77791174860922,4.19341994970657
4,4,0,A0_pair_share,M2H,0.0430332491582492,0.00324848300650005,0.0060252525252526,0.0907516835016836,0.0477184343434344,0.0477184343434344,14.6894517373039,7.91974015088004
4,4,0,C_reachable_mean_km,M0,19.8835902359409,0.0252807996317075,0.0498024823566006,19.8835902359409,1.4210854715202e-14,1.4210854715202e-14,5.62120459883658e-13,2.85344304997652e-13
4,4,0,C_reachable_mean_km,M1,19.8835902359409,0.0252807996317075,0.0498024823566006,19.892210688618,0.00862045267713896,0.00862045267713896,0.340988133394605,0.173092831305355
4,4,0,C_reachable_mean_km,M2L,19.8835902359409,0.0252807996317075,0.0498024823566006,19.3679002232816,-0.515690012659316,0.515690012659316,20.3984850230976,10.3547049917477
4,4,0,C_reachable_mean_km,M2H,19.8835902359409,0.0252807996317075,0.0498024823566006,20.5639335122206,0.680343276279739,0.680343276279739,26.9114619074962,13.6608306270414
4,4,0,W3_failed_lines_mean,M0,4.57666666666667,0.119898220726303,0.2235,4.57666666666667,0,0,0,0
4,4,0,W3_failed_lines_mean,M1,4.57666666666667,0.119898220726303,0.2235,4.68116666666667,0.104499999999999,0.104499999999999,0.871572566856899,0.467561521252792
4,4,0,W3_failed_lines_mean,M2L,4.57666666666667,0.119898220726303,0.2235,2.431,-2.14566666666667,2.14566666666667,17.895734012306,9.60029828486206
4,4,0,W3_failed_lines_mean,M2H,4.57666666666667,0.119898220726303,0.2235,7.50966666666667,2.933,2.933,24.4624147233618,13.1230425055929
4,4,0,W3_closed_roads_mean,M0,2.00733333333333,0.086488920292332,0.155,2.00733333333333,0,0,0,0
4,4,0,W3_closed_roads_mean,M1,2.00733333333333,0.086488920292332,0.155,2.12383333333333,0.1165,0.1165,1.34699334442181,0.751612903225804
4,4,0,W3_closed_roads_mean,M2L,2.00733333333333,0.086488920292332,0.155,0.856166666666667,-1.15116666666667,1.15116666666667,13.3099900285,7.4268817204301
4,4,0,W3_closed_roads_mean,M2H,2.00733333333333,0.086488920292332,0.155,3.8225,1.81516666666667,1.81516666666667,20.9872739829728,11.710752688172
6,7,0,D_mean_kg,M0,262.30450317759,5.23967994044979,10.36235441726,262.30450317759,1.13686837721616e-13,1.13686837721616e-13,2.16972866689748e-14,1.09711396796325e-14
