method,category,path_count,metric,value_mean,value_median,value_std,denominator,unit
chi2_eta003,only_dro_limited,217,terminal_gap_kg,0.5200664799256749,0.0,5.373063857116117,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_dro_limited,217,ordinary_shortage_kg,9.320149163103366,0.0,18.676017239526924,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_dro_limited,217,operating_cost,65028.4559776261,66185.488000963,8999.091302329514,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_dro_limited,217,grid_import_kwh,103926.87302149356,113090.913895853,15252.489203466286,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_saa_limited,3,site3_average_p_el_kw,88.75,93.75,12.054563451241194,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_saa_limited,3,site3_production_kg,59.28,58.5,1.3509996299037264,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_saa_limited,3,site3_beginning_inventory_kg,25.262133442309295,25.2621334423093,4.351167857633658e-15,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_saa_limited,3,site3_ending_inventory_kg,27.696749244828197,29.1099612118168,2.731738496192069,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_saa_limited,3,site3_net_htt_kg,-33.31678527191586,-33.669753672393995,1.51919961386468,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_saa_limited,3,other_site_production_kg,321.34916317597896,327.10582187047805,11.07549890650849,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_saa_limited,3,total_htt_kg,74.09173558615136,71.3517676407065,5.248338281585376,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_saa_limited,3,total_terminal_inventory_kg,436.9300478874616,448.295106698253,20.631609472160278,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_saa_limited,3,terminal_gap_kg,0.0,0.0,0.0,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_saa_limited,3,ordinary_shortage_kg,38.7958516392259,38.7958516392259,0.0,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_saa_limited,3,operating_cost,79553.81008930093,73343.7315118242,10781.129503562814,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_saa_limited,3,grid_import_kwh,121391.73673543466,113648.706876819,13459.535350077955,该 paired limitation category 内 paths,见 metric
