time_h,event,station_total_kg,onboard_total_kg,consumed_H2_kg,original_total_kg,mass_error_kg,case
0.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-6
0.1,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-6
0.1,FINAL,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-6
0.0,INITIAL_OPTION_A,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-7
0.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-7
0.21666666666666665,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-7
0.21666666666666665,TRANSFERRED,185.9312153119796,38.0,0.0,223.9312153119796,0.0,CASE-7
0.21666666666666665,INSTANT_COMPLETE,185.9312153119796,38.0,0.0,223.9312153119796,0.0,CASE-7
0.3,INTERVAL_END,185.9312153119796,38.0,0.0,223.9312153119796,0.0,CASE-7
0.3,FINAL,185.9312153119796,38.0,0.0,223.9312153119796,0.0,CASE-7
0.0,INITIAL_OPTION_A,52.0,28.0,0.0,80.0,0.0,CASE-8
0.0,REJECTED_TANK_CAPACITY,52.0,28.0,0.0,80.0,0.0,CASE-8
0.0,REJECTED_STATION_INVENTORY,52.0,28.0,0.0,80.0,0.0,CASE-8
0.0,INSTANT_COMPLETE,52.0,28.0,0.0,80.0,0.0,CASE-8
0.1,INTERVAL_END,52.0,28.0,0.0,80.0,0.0,CASE-8
0.1,FINAL,52.0,28.0,0.0,80.0,0.0,CASE-8
0.0,INITIAL_OPTION_A,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-9
0.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-9
0.3,INTERVAL_END,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,CASE-9
0.3,INSTANT_COMPLETE,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,CASE-9
0.5,INTERVAL_END,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,CASE-9
0.5,INSTANT_COMPLETE,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,CASE-9
0.5166666666666666,INTERVAL_END,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,CASE-9
0.5166666666666666,INSTANT_COMPLETE,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,CASE-9
0.6,INTERVAL_END,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,CASE-9
0.6,FINAL,195.9312153119796,24.3996399639964,3.6003600360036003,223.9312153119796,0.0,CASE-9
0.0,INITIAL_OPTION_A,52.0,28.0,0.0,80.0,0.0,CASE-10
0.0,TRANSFERRED,48.0,32.0,0.0,80.0,0.0,CASE-10
0.0,REJECTED_STATION_INVENTORY,48.0,32.0,0.0,80.0,0.0,CASE-10
0.0,INSTANT_COMPLETE,48.0,32.0,0.0,80.0,0.0,CASE-10
0.1,INTERVAL_END,48.0,32.0,0.0,80.0,0.0,CASE-10
0.1,FINAL,48.0,32.0,0.0,80.0,0.0,CASE-10
