unique_path_id,support_out_path_rank,consequence_replica_rank,consequence_replica_id,path_probability,total_demand_kg,operating_loss,shortage_kg,service_satisfaction_rate,unreachable_demand_kg,single_site_demand_kg,max_site_capacity_shadow_price,road_interruption_flag,irreplaceable_site_flag,shared_inventory_competition_flag,demand_pressure_flag,failure_mechanism
12,10,4,SO-P0010-R04,1.44e-15,339.852167034885,165967.915834809,81.8263644546273,0.759229534510433,81.8263644546273,36.003600360036,9.82661759204673,True,True,True,False,ROAD_NETWORK_INTERRUPTION
12,10,5,SO-P0010-R05,1.44e-15,531.598614406895,56394.6127129102,26.1844366254807,0.950743971267317,26.1844366254807,16.3652728909255,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
13,11,1,SO-P0011-R01,1.8e-15,381.310858358563,187370.673351661,92.1910372855467,0.758226037195994,92.1910372855467,121.921283037395,16.0004399939794,True,True,True,False,ROAD_NETWORK_INTERRUPTION
13,11,2,SO-P0011-R02,1.8e-15,443.226140795898,138746.087002586,67.9158824973406,0.846769230769231,67.9158824973406,134.740746801953,10.9683611005166,True,True,True,False,ROAD_NETWORK_INTERRUPTION
13,11,3,SO-P0011-R03,1.8e-15,357.035703570357,230930.005636865,114.556910236478,0.679144385026738,114.556910236478,88.0997190628154,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
13,11,4,SO-P0011-R04,1.8e-15,424.951586067698,128688.674967036,62.7335460818809,0.852374839537869,62.7335460818809,156.288356108338,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
13,11,5,SO-P0011-R05,1.8e-15,342.852467064888,80047.4616131844,38.7311458418569,0.88703261734288,38.7311458418569,163.925483457437,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
14,12,1,SO-P0012-R01,3.168e-15,334.397076071243,236749.902676548,117.557210266481,0.648450244698206,117.557210266481,90.00900090009,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
14,12,2,SO-P0012-R02,3.168e-15,438.862068024984,283652.743920361,140.468592313777,0.679925419515227,140.468592313777,81.8263644546273,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
14,12,3,SO-P0012-R03,3.168e-15,445.680931729537,177089.215064093,87.5542099664512,0.803549571603427,87.5542099664512,115.102419332842,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
14,12,4,SO-P0012-R04,3.168e-15,347.489294383984,200050.129578888,99.2826555382811,0.714285714285714,99.2826555382811,108.28355562829,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
14,12,5,SO-P0012-R05,3.168e-15,495.595014046859,270753.219916399,134.467992253771,0.728673637864612,134.467992253771,68.1886370455227,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
15,13,1,SO-P0013-R01,7.2e-16,298.120721163026,54760.0456812161,26.7299457218449,0.910338517840805,26.7299457218449,0.0,-0.0,True,False,False,False,ROAD_NETWORK_INTERRUPTION
15,13,2,SO-P0013-R02,7.2e-16,250.388675231159,11720.9272807473,4.90958186727764,0.980392156862745,4.90958186727764,0.0,0.0218910799266211,True,False,True,False,ROAD_NETWORK_INTERRUPTION
15,13,3,SO-P0013-R03,7.2e-16,324.577912336688,77560.8410985519,37.6401276491285,0.884033613445378,37.6401276491285,31.0940184927584,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
15,13,4,SO-P0013-R04,7.2e-16,426.860867904972,108253.043821587,52.9143823473256,0.876038338658147,52.9143823473256,22.9113820472956,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
15,13,5,SO-P0013-R05,7.2e-16,607.96988789788,69365.4847822335,32.7305457818509,0.946164199192463,32.7305457818509,8.18263644546273,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
16,14,1,SO-P0014-R01,1.8e-15,241.933284237515,50016.1965500834,23.7296456918419,0.901916572717024,23.7296456918419,11.4556910236478,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
16,14,2,SO-P0014-R02,1.8e-15,192.291956468374,109930.377989316,54.005400540054,0.719148936170213,54.005400540054,47.4592913836838,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
16,14,3,SO-P0014-R03,1.8e-15,484.957586667758,125972.565873672,61.6425278891525,0.87289088863892,61.6425278891525,141.014101410141,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
16,14,4,SO-P0014-R04,1.8e-15,266.481193573903,193094.715292817,96.009600960096,0.63971340839304,96.009600960096,126.285355808308,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
16,14,5,SO-P0014-R05,1.8e-15,312.849466764858,91308.4989687089,44.1862368054987,0.858761987794246,44.1862368054987,158.470392493795,16.0004399939794,True,True,True,False,ROAD_NETWORK_INTERRUPTION
18,15,1,SO-P0015-R01,4.8384e-13,563.238141996018,376786.905668663,186.836865504732,0.668280871670702,186.836865504732,110.738346561929,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
18,15,2,SO-P0015-R02,4.8384e-13,571.42077844148,283764.399848114,139.650328669231,0.755608591885441,139.650328669231,169.926083517443,10.4344161701372,True,True,True,False,ROAD_NETWORK_INTERRUPTION
18,15,3,SO-P0015-R03,4.8384e-13,582.330960368764,309344.77915747,153.015301530153,0.737236533957845,153.015301530153,76.9167825873496,0.0399308138785396,True,True,True,False,ROAD_NETWORK_INTERRUPTION
18,15,4,SO-P0015-R04,4.8384e-13,577.966887597851,458834.055969156,228.29555682841,0.605002359603587,228.29555682841,112.920382947386,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
