unique_path_id,support_out_path_rank,consequence_replica_rank,consequence_replica_id,path_probability,STATE19_SAA_operating_loss,STATE19_DRO_operating_loss,SAA_minus_DRO_loss,STATE19_SAA_shortage_kg,STATE19_DRO_shortage_kg,SAA_minus_DRO_shortage_kg,DRO_improves_loss,DRO_improves_shortage,verified_low_probability_high_harm_replica
885,682,5,SO-P0682-R05,4.224e-15,778029.035417291,778029.035417291,0.0,388.67523115948,388.67523115948,0.0,False,False,True
886,683,1,SO-P0683-R01,2.4e-15,559538.590631149,559538.590631149,0.0,278.755148242097,278.755148242097,0.0,False,False,True
886,683,2,SO-P0683-R02,2.4e-15,495439.265465048,495439.265465048,0.0,246.297357008428,246.297357008428,0.0,False,False,True
886,683,3,SO-P0683-R03,2.4e-15,438522.439358698,438519.337977895,3.101380802982021,217.385374901126,217.385374901126,0.0,True,False,True
886,683,4,SO-P0683-R04,2.4e-15,710720.511338998,701550.053466273,9170.457872724975,354.580912636718,349.944237209072,4.636675427645969,True,True,True
886,683,5,SO-P0683-R05,2.4e-15,862633.11490142,862633.11490142,0.0,431.224940675886,431.224940675886,0.0,False,False,True
887,684,1,SO-P0684-R01,3.6e-14,722876.391028433,722876.391028433,0.0,360.854267244907,360.854267244907,0.0,False,False,True
887,684,2,SO-P0684-R02,3.6e-14,657642.953960165,657642.953960165,0.0,328.123721463055,328.123721463055,0.0,False,False,True
887,684,3,SO-P0684-R03,3.6e-14,846311.786507452,846311.786507452,0.0,423.042304230423,423.042304230423,0.0,False,False,True
887,684,4,SO-P0684-R04,3.6e-14,651328.239644916,651328.239644916,0.0,324.850666884871,324.850666884871,0.0,False,False,True
887,684,5,SO-P0684-R05,3.6e-14,500503.425448623,500500.182494594,3.242954029003158,248.752147942067,248.752147942067,0.0,True,False,True
888,685,1,SO-P0685-R01,4.97664e-12,655839.986525369,654234.091982277,1605.8945430919994,326.759948722145,325.941685077599,0.8182636445459934,True,True,True
888,685,2,SO-P0685-R02,4.97664e-12,653453.1178561,653453.1178561,0.0,325.941685077599,325.941685077599,0.0,False,False,True
888,685,3,SO-P0685-R03,4.97664e-12,824544.693267539,824544.693267539,0.0,411.859367754957,411.859367754957,0.0,False,False,True
888,685,4,SO-P0685-R04,4.97664e-12,474058.245649587,474058.245649587,0.0,235.387175081144,235.387175081144,0.0,False,False,True
888,685,5,SO-P0685-R05,4.97664e-12,751166.163231841,751163.715195984,2.44803585705813,374.219240105829,374.219240105829,0.0,True,False,True
889,686,1,SO-P0686-R01,1.3824e-12,578663.688403836,578663.688403836,0.0,287.483293783924,287.483293783924,0.0,False,False,True
889,686,2,SO-P0686-R02,1.3824e-12,484834.519139608,484834.519139608,0.0,241.115020592968,241.115020592968,0.0,False,False,True
889,686,3,SO-P0686-R03,1.3824e-12,719447.004129062,719447.004129062,0.0,358.944985407632,358.944985407632,0.0,False,False,True
889,686,4,SO-P0686-R04,1.3824e-12,572690.998495403,572690.998495403,0.0,285.574011946649,285.574011946649,0.0,False,False,True
889,686,5,SO-P0686-R05,1.3824e-12,545003.184467788,545003.184467788,0.0,271.663529989363,271.663529989363,0.0,False,False,True
890,687,1,SO-P0687-R01,1.296e-12,512967.232101569,512967.232101569,0.0,255.298257098437,255.298257098437,0.0,False,False,True
890,687,2,SO-P0687-R02,1.296e-12,828037.203556257,828037.203556257,0.0,413.768649592232,413.768649592232,0.0,False,False,True
890,687,3,SO-P0687-R03,1.296e-12,801531.952697027,801531.952697027,0.0,400.40367673131,400.40367673131,0.0,False,False,True
890,687,4,SO-P0687-R04,1.296e-12,823887.869333805,823887.869333805,0.0,411.586613206775,411.586613206775,0.0,False,False,True
890,687,5,SO-P0687-R05,1.296e-12,430136.826224707,416286.841047749,13849.985176958027,213.839565774759,206.848866704852,6.990699069906981,True,True,True
891,688,1,SO-P0688-R01,4.97664e-12,783687.324168582,783687.324168582,0.0,391.402776641301,391.402776641301,0.0,False,False,True
891,688,2,SO-P0688-R02,4.97664e-12,765551.053118466,765551.053118466,0.0,382.129122003109,382.129122003109,0.0,False,False,True
891,688,3,SO-P0688-R03,4.97664e-12,765138.616915554,765138.616915554,0.0,382.129122003109,382.129122003109,0.0,False,False,True
891,688,4,SO-P0688-R04,4.97664e-12,859740.44105579,859740.44105579,0.0,429.588413386793,429.588413386793,0.0,False,False,True
