unique_path_id,support_out_path_rank,consequence_replica_rank,consequence_replica_id,D_finite,D_nonnegative,C_domain_exact,D_persistent_nondecreasing,A_persistent_nonincreasing,C_nondecreasing_while_reachable,failed_line_persistent,closed_road_persistent,source_demand_zero,passed,formal_scenario_sha256
18,15,4,SO-P0015-R04,1,1,1,1,1,1,1,1,1,1,d0da913b01d4869f8260dab927ce8853d915da26bb8ef569ff24396871523139
18,15,5,SO-P0015-R05,1,1,1,1,1,1,1,1,1,1,6dedd3620214a2ce3cf3576b4448abb905a2ec5a88f3db3df7e50a1facfcda4c
19,16,1,SO-P0016-R01,1,1,1,1,1,1,1,1,1,1,5e49083d11395de363a3367a22250030c747d2bdf096fcd7b091545a6587a4d2
19,16,2,SO-P0016-R02,1,1,1,1,1,1,1,1,1,1,03410567eec337613cf00507dff8aa77f62c8ef39e4ddce205b296587cbaa4f0
19,16,3,SO-P0016-R03,1,1,1,1,1,1,1,1,1,1,b119a209729fa2fc1d3c73b53ff1a1e49feed0a0e14291173226603615926698
19,16,4,SO-P0016-R04,1,1,1,1,1,1,1,1,1,1,27420c510b7decfdd65aac0213caf5eb7b4379a006c61f53f8008b364528540f
19,16,5,SO-P0016-R05,1,1,1,1,1,1,1,1,1,1,c3a6a8a7afc29e1de0595a66cf2e4fd3807e7f9f541c6d0bb0fd3838b9bacb21
20,17,1,SO-P0017-R01,1,1,1,1,1,1,1,1,1,1,a5464ad2a104fa61ecbc33e3ffa1cf8d64d8e38e6da6a422d42fe80bbfe9f3e5
20,17,2,SO-P0017-R02,1,1,1,1,1,1,1,1,1,1,b9166cb78ffbc0d10c397b8df542ac19b9e3edbe1ea88998c00a3d95dc1d299d
20,17,3,SO-P0017-R03,1,1,1,1,1,1,1,1,1,1,5708418a1c48baf41b36e785a64120028677c2871360c5f28a195d76f4d009a6
20,17,4,SO-P0017-R04,1,1,1,1,1,1,1,1,1,1,a547aa7a4c1aecde9e47bf911ea337ce246f84cbb4395b699c390021dfa77c09
20,17,5,SO-P0017-R05,1,1,1,1,1,1,1,1,1,1,29dce7079f9c6ad19e75cad07f388238fcde8ed2c0bb6c558a4b03c5f9b7af09
24,18,1,SO-P0018-R01,1,1,1,1,1,1,1,1,1,1,37005654057d2fb0e71723d8f7332dddb0c5979161800a00e8b6eb8a85b4c31e
