risk_proxy,quantile_level,risk_threshold,risk_value,a0,loc0,lfw0,unique_path_id,a_W1,a_W2,a_W3,loc_W1,loc_W2,loc_W3,lfw_W1,lfw_W2,lfw_W3,frequency,reportedProbabilityMin,reportedProbabilityMax,empirical_mass,path_probability,path_probability_reported_range,path_probability_recomputed_error,grid_max_wind_mps,grid_cumulative_excess_mps,road_max_wind_mps,road_cumulative_excess_mps,grid_longest_consecutive_exceedance_windows,road_longest_consecutive_exceedance_windows
road_cumulative_excess_mps,0.995,747.098443231677,902.619059428766,4,7,0,7274,4,6,6,6,4,6,1,3,3,1,5.65013735e-08,5.65013735e-08,6.66666666666667e-05,5.65013735e-08,0,2.64697796016969e-23,53.1372388702307,971.485254330715,53.1372388702307,902.619059428766,2,2
road_cumulative_excess_mps,0.995,747.098443231677,900.644312921042,4,7,0,7459,5,4,6,7,5,4,1,2,2,1,2.444904e-08,2.444904e-08,6.66666666666667e-05,2.444904e-08,0,9.92616735063633e-24,55.2436058969182,1063.49655764404,55.2436058969182,900.644312921042,3,2
road_cumulative_excess_mps,0.995,747.098443231677,1043.6754256876,4,7,0,7943,5,6,5,5,4,1,1,2,3,1,7.4844e-08,7.4844e-08,6.66666666666667e-05,7.4844e-08,0,0,55.2436058969182,1240.09486899934,55.2436058969182,1043.6754256876,3,3
road_cumulative_excess_mps,0.995,747.098443231677,1845.00935863391,4,7,0,8019,6,6,6,4,5,5,1,2,3,1,6.14061e-07,6.14061e-07,6.66666666666667e-05,6.14061e-07,0,2.11758236813575e-22,55.2141131970405,1911.68780590243,55.2141131970405,1845.00935863391,3,3
road_cumulative_excess_mps,0.995,747.098443231677,1335.78440833975,4,7,0,8020,6,6,6,6,4,3,1,2,1,1,9.828225e-08,9.828225e-08,6.66666666666667e-05,9.828225e-08,0,1.32348898008484e-23,55.2436058969182,1519.58202183938,55.2436058969182,1335.78440833975,3,3
grid_max_wind_mps,0.95,46.1748242297112,54.1694020488195,5,1,0,2280,4,6,5,2,0,-1,2,2,1,1,7.54600000000001e-10,7.54600000000001e-10,6.66666666666667e-05,7.54600000000001e-10,0,4.13590306276514e-25,54.1694020488195,951.986131325298,54.1694020488195,752.142054185562,3,2
grid_max_wind_mps,0.95,46.1748242297112,55.2436058969182,5,1,0,6987,5,6,6,3,3,1,1,0,2,1,3.1130892e-09,3.1130892e-09,6.66666666666667e-05,3.1130892e-09,0,8.27180612553028e-25,55.2436058969182,1210.12513132793,55.2436058969182,953.31976384841,3,3
grid_max_wind_mps,0.95,46.1748242297112,55.4927759888396,5,1,0,7087,6,6,6,1,3,1,0,1,3,1,6.9944472e-09,6.9944472e-09,6.66666666666667e-05,6.9944472e-09,0,1.65436122510606e-24,55.4927759888396,1080.54235023958,55.4927759888396,821.413186153827,3,3
grid_cumulative_excess_mps,0.95,1122.92379752737,1412.24073603996,5,1,0,6976,5,6,6,0,-1,1,2,2,3,1,4.05559639534883e-08,4.05559639534883e-08,6.66666666666667e-05,4.05559639534883e-08,0,2.64697796016969e-23,55.4927759888396,1412.24073603996,55.4927759888396,1223.77967685615,3,3
grid_cumulative_excess_mps,0.95,1122.92379752737,1210.12513132793,5,1,0,6987,5,6,6,3,3,1,1,0,2,1,3.1130892e-09,3.1130892e-09,6.66666666666667e-05,3.1130892e-09,0,8.27180612553028e-25,55.2436058969182,1210.12513132793,55.2436058969182,953.31976384841,3,3
grid_cumulative_excess_mps,0.95,1122.92379752737,1707.23784853056,5,1,0,6993,5,6,6,4,5,5,1,2,3,1,1.88581365e-06,1.88581365e-06,6.66666666666667e-05,1.88581365e-06,0,6.35274710440725e-22,55.2141131970405,1707.23784853056,55.2141131970405,1584.29135812049,3,3
