state,intensity,loc,mode,road_only_T1,dual_T1,delta_T1,delta_percent_T1,road_only_T2,dual_T2,delta_T2,delta_percent_T2,road_only_T3,dual_T3,delta_T3,delta_percent_T3,road_only_T4,dual_T4,delta_T4,delta_percent_T4,road_only_T_total,dual_T_total,delta_T_total,delta_percent_T_total
30,6,2,DRO,239.28178273410117,240.16444051935295,0.8826577852517801,0.3688779710541618,104.3942967459894,104.04990290174926,-0.3443938442401304,-0.32989718305982196,49.56391576318882,54.00508628626244,4.441170523073623,8.960491629218865,200.0,188.4750463494415,-11.524953650558501,-5.76247682527925,593.2399952432794,586.6944760568061,-6.545519186473257,-1.1033509606494132
30,6,2,SAA,236.9527861877095,237.2964569184191,0.3436707307095901,0.14503764072111,100.64642827919157,100.64642827919155,-1.4210854715202004e-14,-1.411958174589298e-14,44.73174590186291,49.09581867277632,4.36407277091341,9.75609756097551,200.0,189.8371655347352,-10.162834465264808,-5.081417232632404,582.330960368764,576.8758694051222,-5.455090963641737,-0.9367681498828903
31,6,3,DRO,253.66184924574327,255.55377462446657,1.8919253787233004,0.7458454569927996,121.92083660363147,124.11413852701722,2.1933019233857465,1.7989557687470936,76.91673488474194,78.11580387333615,1.199068988594206,1.5589182125203116,193.11063668216227,174.18447792439275,-18.926158757769514,-9.800681662564127,645.610057416279,631.9681949492126,-13.641862467066403,-2.1130188897088926
31,6,3,SAA,252.025202520252,255.025502550255,3.0003000300029896,1.1904761904761862,117.82996481466334,120.5575102964842,2.7275454818208544,2.314814814814767,67.64312794915847,70.37067343097947,2.7275454818209965,4.032258064516263,187.3823746010964,169.10781987289627,-18.274554728200116,-9.752547307132476,624.8806698851702,615.061506150615,-9.819163734555218,-1.5713662156263555
32,6,4,DRO,251.47146471167514,253.05358091100223,1.5821161993270891,0.6291434303057272,125.46843379489654,126.62086656800822,1.1524327731116841,0.9185041514071722,74.1855024469777,77.94487716162122,3.7593747146435277,5.067532861060624,169.93215867923007,153.82965852032763,-16.102500158902444,-9.475840408346775,621.0575596327794,611.4489831609593,-9.608576471820129,-1.547131392700785
32,6,4,SAA,247.11562065297434,251.47969342388788,4.364072770913538,1.7660044150110712,121.64852848921257,122.875923956032,1.2273954668194307,1.0089686098654884,64.37007337097346,69.68878706052425,5.3187136895507905,8.262711864406807,167.74404713198575,151.24239696696935,-16.5016501650164,-9.837398373983689,600.8782696451461,595.2868014074135,-5.59146823773267,-0.9305492510213025
33,6,5,DRO,254.08864477054735,261.117482779946,7.0288380093986405,2.766293635729363,89.58160100206015,90.08359379113791,0.5019927890777609,0.5603748799557806,44.18604535690962,49.0963034325765,4.910258075666881,11.112689619549846,157.9239864176921,145.55992947271378,-12.36405694497833,-7.829119075221871,545.7802775472092,545.8573094763741,0.07703192916494572,0.014114091757059246
33,6,5,SAA,253.6617298093445,257.2075389357117,3.5458091263671747,1.3978494623655888,84.28115538826626,86.46319177372283,2.18203638545657,2.5889967637538533,34.6398276191255,44.18623680549872,9.546409186373225,27.5590551181104,157.9248833974305,144.8326650846902,-13.0922183127403,-8.290155440414475,530.5075962141668,532.6896325996235,2.1820363854566267,0.41131105398455686
34,6,6,DRO,240.5107338845379,244.66085999126307,4.150126106725168,1.7255471469799433,64.97489602467901,68.73498680801302,3.7600907833340074,5.786990073682974,24.547913729345737,34.367073119808325,9.819159390462588,39.99997514544097,131.4084664115908,120.28590235597588,-11.12256405561493,-8.464115257823199,461.4420100501535,468.04882227506033,6.606812224906832,1.4317751919008732
34,6,6,SAA,219.29465673840096,221.74944767203985,2.45479093363889,1.1194029850746603,50.18683686550472,56.46019147369281,6.273354608188086,12.49999999999999,24.54790933638818,34.36707307094344,9.81916373455526,39.99999999999996,117.28445571829914,103.64672830919456,-13.637727409104585,-11.627906976744214,411.31385865859295,416.2234405258706,4.909581867277666,1.1936339522546495
35,6,7,DRO,207.3062487811082,201.6983627616998,-5.607886019408397,-2.705121554406055,29.45756027645857,37.64058872465344,8.183028448194872,27.779043381044886,22.802018216960743,31.093402847164192,8.29138463020345,36.362503315763945,81.00731426604014,76.42733183308661,-4.579982432953528,-5.6537887651875245,340.5731415405677,346.85968616660404,6.286544626036346,1.8458721077062732
35,6,7,SAA,150.83326514469627,147.01470147014695,-3.818563674549324,-2.531645569620287,26.18443662548073,29.457491203665818,3.2730545781850893,12.499999999999993,16.365272890925453,24.54790933638818,8.182636445462727,50.0,66.006600660066,63.82456427460926,-2.1820363854567404,-3.3057851239669622,259.3895753211684,264.8446662848103,5.455090963641851,2.103049421661422
