group,path_id,real_hour_count,first_HTT_hour_gt0,first_meaningful_HTT_hour_ge1kg,first_meaningful_HTT_hour_ge5kg,peak_HTT_hour,peak_HTT_kg,last_HTT_hour,final16h_HTT_kg,final8h_HTT_kg,final4h_HTT_kg,cumulative_HTT_by_-24h_kg,checkpoint_-24h_available,cumulative_HTT_by_-16h_kg,checkpoint_-16h_available,cumulative_HTT_by_-8h_kg,checkpoint_-8h_available,cumulative_HTT_by_-4h_kg,checkpoint_-4h_available,cumulative_HTT_by_0h_kg,checkpoint_0h_available
surplus_gt100,3701,40,-16,-16,-16,-8,47.2198743185,-8,59.027368348,47.2198743185,0,0,True,0,True,11.8074940295,True,59.027368348,True,59.027368348,True
surplus_gt100,3707,40,-16,-16,-8,-8,39.2784504505,-3,41.7038387057,39.3379058422,0.0594553916771,0,True,0,True,2.36593286352,True,41.644383314,True,41.7038387057,True
surplus_gt100,3726,40,-16,-16,-16,-16,19.0901740894,-2,36.6722253313,17.5820512419,3.35151154593,0,True,0,True,19.0901740894,True,33.3207137854,True,36.6722253313,True
surplus_gt100,3739,32,-13,-13,-8,-8,41.774407479,-1,46.855326661,44.5058262953,2.73141881637,0,True,0,True,2.34950036567,True,44.1239078446,True,46.855326661,True
surplus_gt100,3764,40,-24,-24,-24,-24,21.8980539775,-9,12.9643880484,0,0,0,True,21.8980539775,True,34.8624420259,True,34.8624420259,True,34.8624420259,True
surplus_gt100,3765,32,-8,-8,-8,-8,24.9759068124,-8,24.9759068124,24.9759068124,0,0,True,0,True,0,True,24.9759068124,True,24.9759068124,True
surplus_gt100,3771,40,-16,-16,-16,-14,30.6929947724,-8,49.1886293369,10.6329324507,0,0,True,0,True,38.5556968861,True,49.1886293369,True,49.1886293369,True
surplus_gt100,3789,40,-16,-16,-16,-11,30.7029694515,-2,73.088901424,13.302458795,5.72495747512,0,True,0,True,59.7864426291,True,67.3639439489,True,73.088901424,True
surplus_gt100,3803,32,,,,-32,0,,0,0,0,0,True,0,True,0,True,0,True,0,True
surplus_gt100,3815,40,-8,-8,-8,-8,11.5652385042,-8,11.5652385042,11.5652385042,0,0,True,0,True,0,True,11.5652385042,True,11.5652385042,True
surplus_gt100,3818,24,-5,-5,-5,-5,17.2133804541,-5,17.2133804541,17.2133804541,0,0,True,0,True,0,True,17.2133804541,True,17.2133804541,True
surplus_gt100,3832,32,-16,-16,-16,-16,23.4696747396,-1,54.2383923875,14.5174937584,2.44211599533,0,True,0,True,39.7208986291,True,51.7962763922,True,54.2383923875,True
surplus_gt100,3865,32,-16,-1,,-1,4.17880528727,-1,4.94377830058,4.17880528727,4.17880528727,0,True,0,True,0.764973013306,True,0.764973013306,True,4.94377830058,True
surplus_gt100,3871,40,-16,-16,-16,-1,33.6223635829,-1,52.7208407086,39.0345566222,33.6223635829,0,True,0,True,13.6862840864,True,19.0984771257,True,52.7208407086,True
surplus_gt100,3915,32,-16,-14,-14,-8,15.686670834,-8,21.6296976072,15.686670834,0,0,True,0,True,5.94302677319,True,21.6296976072,True,21.6296976072,True
surplus_gt100,3949,32,-16,-16,-16,-16,40.2164759822,-8,53.168553918,11.209382351,0,0,True,0,True,41.959171567,True,53.168553918,True,53.168553918,True
surplus_gt100,3970,32,-16,-1,,-1,4.32626484587,-1,4.94377830058,4.32626484587,4.32626484587,0,True,0,True,0.617513454709,True,0.617513454709,True,4.94377830058,True
surplus_gt100,4020,32,-8,-8,-8,-8,34.8837732771,-8,34.8837732771,34.8837732771,0,0,True,0,True,0,True,34.8837732771,True,34.8837732771,True
surplus_gt100,4021,24,-14,-14,-14,-14,40.7767589702,-7,72.2273290132,27.5692792992,0,0,True,0,True,44.658049714,True,72.2273290132,True,72.2273290132,True
surplus_gt100,4037,48,-16,-16,-16,-2,27.9980923289,-2,46.9985569338,38.9547435369,27.9980923289,0,True,0,True,8.04381339694,True,19.0004646049,True,46.9985569338,True
surplus_gt100,4063,32,-8,-8,-6,-6,30.6502432593,-6,32.0177485304,32.0177485304,0,0,True,0,True,0,True,32.0177485304,True,32.0177485304,True
surplus_gt100,4087,32,-16,-16,-16,-16,16.1436523684,-1,18.4629242806,2.31927191222,2.31927191222,0,True,0,True,16.1436523684,True,16.1436523684,True,18.4629242806,True
surplus_gt100,4105,40,-8,-8,,-8,1.24140363658,-8,1.24140363658,1.24140363658,0,0,True,0,True,0,True,1.24140363658,True,1.24140363658,True
surplus_gt100,4147,40,-18,-16,-16,-16,62.5453713887,-8,103.249181186,40.7038097973,0,0,True,0.932635475523,True,63.4780068642,True,104.181816661,True,104.181816661,True
surplus_gt100,4185,40,-24,-24,-24,-24,36.6684241779,-8,15.9361196904,12.6598127425,0,0,True,36.6684241779,True,39.9447311258,True,52.6045438683,True,52.6045438683,True
surplus_gt100,4234,40,-8,-8,,-8,1.24140363658,-8,1.24140363658,1.24140363658,0,0,True,0,True,0,True,1.24140363658,True,1.24140363658,True
surplus_gt100,4257,32,-16,-16,-16,-8,22.4629447601,-1,46.4018921538,37.2012936579,0.387363643396,0,True,0,True,9.20059849591,True,46.0145285104,True,46.4018921538,True
surplus_gt100,4288,48,-24,-24,-24,-24,34.8837732771,-1,24.4088675873,24.4088675873,21.5528438588,0,True,34.8837732771,True,34.8837732771,True,37.7397970056,True,59.2926408644,True
surplus_gt100,4303,32,-8,-8,,-8,3.01119855328,-8,3.01119855328,3.01119855328,0,0,True,0,True,0,True,3.01119855328,True,3.01119855328,True
surplus_gt100,4322,40,-16,-16,-16,-10,45.3329012649,-5,69.2158398354,4.2842453862,0,0,True,0,True,64.9315944492,True,69.2158398354,True,69.2158398354,True
surplus_gt100,4323,40,-8,-8,-8,-8,8.75536101263,-8,8.75536101263,8.75536101263,0,0,True,0,True,0,True,8.75536101263,True,8.75536101263,True
surplus_gt100,4330,40,-16,-16,-16,-16,50.2600616008,-16,50.2600616008,0,0,0,True,0,True,50.2600616008,True,50.2600616008,True,50.2600616008,True
surplus_gt100,4338,40,-8,-8,-8,-1,8.50316648709,-1,14.4779335857,14.4779335857,8.50316648709,0,True,0,True,0,True,5.9747670986,True,14.4779335857,True
surplus_gt100,4352,40,-16,-16,-16,-9,22.0218921213,-5,50.9846652385,14.9916443196,0,0,True,0,True,35.9930209188,True,50.9846652385,True,50.9846652385,True
surplus_gt100,4362,40,-8,-8,-8,-8,36.6509821808,-8,36.6509821808,36.6509821808,0,0,True,0,True,0,True,36.6509821808,True,36.6509821808,True
surplus_gt100,4368,48,-16,-16,-16,-11,29.8853620043,-3,100.219346743,63.3925310169,29.0305339353,0,True,0,True,36.8268157256,True,71.1888128073,True,100.219346743,True
