pair_id,group_type,initial_state_id,rank,site_id,node_id,local_Ctilde_difference,A_r,A_s,C_r_km,C_s_km,D_r_kg,D_s_kg
15,TIER1,31,7,2,13,1,1,0,2.83459817131173,NaN,9.81916373455527,9.81916373455527
15,TIER1,31,8,2,16,1,1,0,5.65615719230265,NaN,9.81916373455527,9.81916373455527
15,TIER1,31,9,2,27,1,1,0,30.4856168986256,NaN,9.81916373455527,9.81916373455527
15,TIER1,31,10,2,28,1,1,0,27.3604209457502,NaN,9.81916373455527,9.81916373455527
16,CONTROL,31,1,2,2,1,1,0,34.3211028710992,NaN,16.3652728909255,16.3652728909255
16,CONTROL,31,2,2,5,1,0,1,NaN,30.845115266406,9.81916373455527,9.81916373455527
16,CONTROL,31,3,2,9,1,0,1,NaN,12.7586507292272,9.81916373455527,9.81916373455527
16,CONTROL,31,4,2,10,1,0,1,NaN,10.0804000947189,9.81916373455527,9.81916373455527
16,CONTROL,31,5,2,11,1,0,1,NaN,7.43617125610994,7.36437280091645,7.36437280091645
16,CONTROL,31,6,2,21,1,1,0,28.6040553640199,NaN,14.7287456018329,14.7287456018329
16,CONTROL,31,7,2,23,1,1,0,40.8002099684438,NaN,14.7287456018329,14.7287456018329
16,CONTROL,31,8,2,27,1,0,1,NaN,24.6083422778262,9.81916373455527,9.81916373455527
16,CONTROL,31,9,2,28,1,0,1,NaN,20.9956932934879,9.81916373455527,9.81916373455527
16,CONTROL,31,10,4,30,1,1,0,3.29527354506674,NaN,32.7305457818509,32.7305457818509
17,TIER1,11,1,1,23,0.0980638502524693,1,1,38.3298273626992,3.30606389148477,9.81916373455527,9.81916373455527
17,TIER1,11,2,1,3,0.0828610272092483,1,1,38.2028761890488,8.60884117525945,9.81916373455527,9.81916373455527
17,TIER1,11,3,1,4,0.0753405243660479,1,1,38.1305558604502,11.2224883268966,13.0922183127404,13.0922183127404
17,TIER1,11,4,1,5,0.0676539984003486,1,1,38.0446323807718,13.8818279247428,6.54610915637018,6.54610915637018
17,TIER1,11,5,4,32,0.0613281369529956,1,1,3.31560232335538,25.2191086331933,22.9113820472956,22.9113820472956
17,TIER1,11,6,1,26,0.0597725766739926,1,1,35.5210708488667,14.1731370067297,6.54610915637018,6.54610915637018
17,TIER1,11,7,1,6,0.0597100338705312,1,1,37.9415718295319,16.6159753150607,6.54610915637018,6.54610915637018
17,TIER1,11,8,1,27,0.0493427922883437,1,1,35.3663341102451,17.7434253455273,6.54610915637018,6.54610915637018
17,TIER1,11,9,4,5,0.0471611936670942,1,1,21.2911393346403,38.1348843820141,6.54610915637018,6.54610915637018
17,TIER1,11,10,1,28,0.0392240100536001,1,1,35.3010311038955,21.2920721758808,6.54610915637018,6.54610915637018
