evaluation_id,pair_id,pair_group,initial_state_id,scenario_id,path_id,scenario_role,T_source,replay_case,identity_and_fixed_T_match,period_operating_loss,flat_operating_loss,operating_loss_abs_error,service_cost_abs_error,shortage_kg_abs_error,shortage_loss_abs_error,site_service_max_abs_error,period_site_node_service_max_abs_error,period_node_shortage_max_abs_error,flat_objective_decomposition_abs_error,evaluation_max_required_error,within_solver_tolerance
65,17,STEP03T_TIER1,11,7036,7036,xi_r,T_r,T_R_ON_R,1,3282.97492556914,3282.97492556914,4.54747350886464e-13,4.54747350886464e-13,0,0,1.4210854715202e-14,0,0,0,4.54747350886464e-13,1
66,17,STEP03T_TIER1,11,14693,14693,xi_s,T_r,T_R_ON_S,1,3805.27278885587,3805.27278885587,4.54747350886464e-13,4.54747350886464e-13,0,0,2.8421709430404e-14,0,0,4.54747350886464e-13,4.54747350886464e-13,1
67,17,STEP03T_TIER1,11,7036,7036,xi_r,T_s,T_S_ON_R,1,3938.87640042653,3938.87640042653,4.54747350886464e-13,4.54747350886464e-13,0,0,2.8421709430404e-14,0,0,1.13686837721616e-13,4.54747350886464e-13,1
68,17,STEP03T_TIER1,11,14693,14693,xi_s,T_s,T_S_ON_S,1,3343.65164366872,3343.65164366872,4.54747350886464e-13,4.54747350886464e-13,0,0,0,0,0,3.41060513164848e-13,4.54747350886464e-13,1
69,18,STEP03T_TIER1,11,10407,10407,xi_r,T_r,T_R_ON_R,1,1456.56879644281,1456.56879644281,2.27373675443232e-13,2.27373675443232e-13,0,0,2.8421709430404e-14,0,0,0,2.27373675443232e-13,1
70,18,STEP03T_TIER1,11,11668,11668,xi_s,T_r,T_R_ON_S,1,19934.2661538881,19934.2661538881,0,0,0,0,1.4210854715202e-14,0,0,1.36424205265939e-12,1.4210854715202e-14,1
71,18,STEP03T_TIER1,11,10407,10407,xi_r,T_s,T_S_ON_R,1,215099.394554849,215099.394554849,5.82076609134674e-11,2.8421709430404e-14,2.8421709430404e-14,5.82076609134674e-11,0,0,0,8.32756086310837e-12,5.82076609134674e-11,1
72,18,STEP03T_TIER1,11,11668,11668,xi_s,T_s,T_S_ON_S,1,295.938684777569,295.938684777569,0,0,0,0,1.4210854715202e-14,0,0,2.8421709430404e-14,1.4210854715202e-14,1
73,19,STEP03T_TIER1,11,3520,3520,xi_r,T_r,T_R_ON_R,1,198756.759118687,198756.759118687,0,0,0,0,1.13686837721616e-13,7.105427357601e-15,7.105427357601e-15,6.02540239924565e-12,1.13686837721616e-13,1
74,19,STEP03T_TIER1,11,8359,8359,xi_s,T_r,T_R_ON_S,1,197854.416404237,197854.416404237,0,1.81898940354586e-12,0,0,5.6843418860808e-14,4.90958186727764,0,6.02540239924565e-12,4.90958186727764,0
75,19,STEP03T_TIER1,11,3520,3520,xi_r,T_s,T_S_ON_R,1,182735.348206524,182735.348206524,2.91038304567337e-11,9.09494701772928e-13,1.4210854715202e-14,2.91038304567337e-11,1.4210854715202e-14,1.4210854715202e-14,0,2.04636307898909e-12,2.91038304567337e-11,1
76,19,STEP03T_TIER1,11,8359,8359,xi_s,T_s,T_S_ON_S,1,4086.30342399823,4086.30342399823,1.36424205265939e-12,1.36424205265939e-12,0,0,2.8421709430404e-14,0,0,2.27373675443232e-13,1.36424205265939e-12,1
77,20,STEP03T_CONTROL,11,3957,3957,xi_r,T_r,T_R_ON_R,1,41028.2471795175,41028.2471795175,0,2.27373675443232e-13,0,0,7.105427357601e-15,0,0,1.13686837721616e-12,2.27373675443232e-13,1
78,20,STEP03T_CONTROL,11,14538,14538,xi_s,T_r,T_R_ON_S,1,1877.71198131427,1877.71198131427,2.27373675443232e-13,2.27373675443232e-13,0,0,7.105427357601e-15,0,0,0,2.27373675443232e-13,1
79,20,STEP03T_CONTROL,11,3957,3957,xi_r,T_s,T_S_ON_R,1,41028.2471795161,41028.2471795161,0,2.27373675443232e-13,0,0,7.105427357601e-15,0,0,1.13686837721616e-12,2.27373675443232e-13,1
80,20,STEP03T_CONTROL,11,14538,14538,xi_s,T_s,T_S_ON_S,1,1877.71198131223,1877.71198131223,4.54747350886464e-13,4.54747350886464e-13,0,0,7.105427357601e-15,0,0,2.27373675443232e-13,4.54747350886464e-13,1
81,21,STEP03T_TIER1,21,4757,4757,xi_r,T_r,T_R_ON_R,1,2917.13218524255,2917.13218524255,4.54747350886464e-13,4.54747350886464e-13,0,0,2.8421709430404e-14,2.8421709430404e-14,0,2.27373675443232e-13,4.54747350886464e-13,1
82,21,STEP03T_TIER1,21,5018,5018,xi_s,T_r,T_R_ON_S,1,3570.66971180889,3570.66971180889,9.09494701772928e-13,9.09494701772928e-13,0,0,0,0,0,2.27373675443232e-13,9.09494701772928e-13,1
83,21,STEP03T_TIER1,21,4757,4757,xi_r,T_s,T_S_ON_R,1,3445.81312132318,3445.81312132318,4.54747350886464e-13,4.54747350886464e-13,0,0,2.8421709430404e-14,8.08289613019042e-09,0,0,8.08289613019042e-09,0
84,21,STEP03T_TIER1,21,5018,5018,xi_s,T_s,T_S_ON_S,1,2783.40644724643,2783.40644724643,9.09494701772928e-13,9.09494701772928e-13,0,0,4.2632564145606e-14,0,0,0,9.09494701772928e-13,1
85,22,STEP03T_TIER1,21,353,353,xi_r,T_r,T_R_ON_R,1,4006.64124937986,4006.64124937986,9.09494701772928e-13,9.09494701772928e-13,0,0,7.105427357601e-15,0,0,1.13686837721616e-13,9.09494701772928e-13,1
86,22,STEP03T_TIER1,21,10381,10381,xi_s,T_r,T_R_ON_S,1,118764.201376966,118764.201376966,0,4.54747350886464e-13,0,0,0,0,0,5.34328137291595e-12,4.54747350886464e-13,1
87,22,STEP03T_TIER1,21,353,353,xi_r,T_s,T_S_ON_R,1,100475.451878514,100475.451878514,2.91038304567337e-11,9.09494701772928e-13,1.4210854715202e-14,2.91038304567337e-11,2.8421709430404e-14,1.24344978758018e-14,1.24344978758018e-14,6.93489710101858e-12,2.91038304567337e-11,1
88,22,STEP03T_TIER1,21,10381,10381,xi_s,T_s,T_S_ON_S,1,2584.13371584102,2584.13371584102,4.54747350886464e-13,4.54747350886464e-13,0,0,1.4210854715202e-14,0,0,1.13686837721616e-13,4.54747350886464e-13,1
89,23,STEP03T_TIER1,21,8542,8542,xi_r,T_r,T_R_ON_R,1,152684.524054541,152684.524054541,0,0,0,0,5.6843418860808e-14,0,0,3.86535248253495e-12,5.6843418860808e-14,1
90,23,STEP03T_TIER1,21,2987,2987,xi_s,T_r,T_R_ON_S,1,151962.623541049,151962.623541049,2.91038304567337e-11,0,1.4210854715202e-14,2.91038304567337e-11,5.6843418860808e-14,2.89938084343076,2.72754548182054,3.86535248253495e-12,2.89938084343076,0
91,23,STEP03T_TIER1,21,8542,8542,xi_r,T_s,T_S_ON_R,1,279971.228668328,279971.228668328,0,4.54747350886464e-13,0,0,2.8421709430404e-14,8.69814258048247,0,2.72848410531878e-11,8.69814258048247,0
