state,a,loc,saa_target_total_kg,dro_target_total_kg,delta_target_kg,saa_target_rank_desc_35,dro_target_rank_desc_35,lf,oos_count,saa_infeasible_path_count,dro_infeasible_path_count,saa_infeasible_share,dro_infeasible_share,saa_conditional_mean_capacity_gap_kg,dro_conditional_mean_capacity_gap_kg,saa_unconditional_mean_capacity_gap_kg,dro_unconditional_mean_capacity_gap_kg,saa_actual_final_inventory_mean_kg,dro_actual_final_inventory_mean_kg,delta_actual_inventory_kg,saa_target_total_kg_reached,dro_target_total_kg_reached,delta_target_kg_reached,saa_max_feasible_inventory_mean_kg,dro_max_feasible_inventory_mean_kg,delta_max_feasible_inventory_kg,delta_unconditional_capacity_gap_kg,saa_gap_greater_than_dro_path_count,saa_infeasible_dro_feasible_path_count,oos_reached,saa_headroom_mean_kg,dro_headroom_mean_kg,saa_headroom_rank_ascending_reached,dro_headroom_rank_ascending_reached
26,5,5,607.96988789788,607.969905340431,1.74425509840148e-05,11,11,7,22,19,19,0.863636363636364,0.863636363636364,57.6726980157787,57.6727154583298,49.8082391954452,49.8082542594666,560.37058410323,560.534051113348,0.163467010117756,607.96988789788,607.969905340432,1.74425523482569e-05,561.434761941237,562.113166225802,0.678404284564976,1.50640214044984e-05,0,0,True,-46.5351259566432,-45.8567391146292,11,12
27,5,6,603.461937102801,607.969887920531,4.50795081772992,13,13,7,9,9,9,1,1,83.9639582803364,88.4719090980663,83.9639582803364,88.4719090980663,519.497978822465,519.497978822465,2.27373675443232e-13,603.461937102801,607.969887920531,4.50795081773003,519.497978822465,519.497978822465,0,4.50795081772996,0,0,True,-83.9639582803362,-88.4719090980661,3,3
28,5,7,570.875269345116,581.922529232857,11.047259887741,16,16,7,40,27,27,0.675,0.675,65.9691093799427,77.0163692676837,44.5291488314613,51.9860492556865,535.417219057724,535.819615175239,0.402396117514172,570.875269345116,581.922529232857,11.047259887741,536.702075025909,536.765731939218,0.0636569133084777,7.45690042422518,0,0,True,-34.1731943192071,-45.1567972936397,13,13
29,6,1,666.324359708698,675.349240806152,9.02488109745389,3,3,,,,,,,,,,,,,,,,,,,,,,,False,,,,
30,6,2,676.158524943404,681.562816426285,5.40429148288183,1,1,,,,,,,,,,,,,,,,,,,,,,,False,,,,
31,6,3,671.79445217249,677.010264286793,5.21581211430271,2,2,7,1,1,1,1,1,70.1061714998114,75.3219836141141,70.1061714998114,75.3219836141141,601.688280672679,601.688280672679,0,671.79445217249,677.010264286793,5.21581211430305,601.688280672679,601.688280672679,0,5.21581211430271,0,0,True,-70.106171499811,-75.3219836141137,5,8
32,6,4,662.263044486267,672.567231438742,10.3041869524748,4,4,,,,,,,,,,,,,,,,,,,,,,,False,,,,
33,6,5,648.610315577012,657.066471259913,8.456155682901,5,5,7,1,1,1,1,1,96.7152140673149,105.171369750216,96.7152140673149,105.171369750216,551.895101509697,551.895101509697,0,648.610315577012,657.066471259913,8.456155682901,551.895101509697,551.895101509697,0,8.4561556829011,0,0,True,-96.7152140673152,-105.171369750216,1,1
34,6,6,616.380274391075,631.744867454984,15.3645930639087,6,6,,,,,,,,,,,,,,,,,,,,,,,False,,,,
35,6,7,607.96988789788,607.969890500707,2.60282649833243e-06,11,12,7,2,1,1,0.5,0.5,22.5227947572182,22.5227973600447,11.2613973786091,11.2613986800223,600.715052446265,603.183125409494,2.46807296322856,607.96988789788,607.969890500707,2.60282706676662e-06,606.016033025496,606.016033025496,0,1.30141324916622e-06,0,0,True,-1.95385487238491,-1.95385747521141,15,15
