selection_path_id,path_set,source_category,candidate_pool_unique_path_id,a0,loc0,lfw0,a1,loc1,lfw1,a2,loc2,lfw2,a3,loc3,lfw3,path_probability,observed_frequency,empirical_weight,nominal_inclusion_status,selection_rule,risk_envelope_percentile,risk_mean_percentile,risk_band,available_reference_path_count,grid_max_wind_mps,grid_cumulative_excess_mps,road_max_wind_mps,road_cumulative_excess_mps,is_observed_candidate,is_unobserved_candidate,selection_population,physical_path_key,damage_mode,theoretical_path_probability,run005_unique_path_id,B3_scenario_count,B3_stage_row_count,D_Hres3h_mean_kg,D_Hres3h_max_kg,D_Hres3h_q95_kg,full_loss_upper_hit_share,A0_pair_share,reachable_pair_share,C_reachable_mean_km,C_reachable_max_km,failed_lines_W3_mean,failed_lines_W3_max,closed_roads_W3_mean,closed_roads_W3_max,joint_line_road_damage_share,road_disconnection_share,exact_full_DAC_novel_share,binned_DAC_novel_share,A_pattern_novel_share,line_failure_novel_share,road_disconnect_novel_share,line_road_joint_novel_share,structural_novel_share,raw_probability_weighted_D_contribution,raw_probability_weighted_full_loss_contribution,raw_probability_weighted_A0_contribution,probability_renormalized
470,candidate,unobserved_candidate,470,4,1,0,2,1,2,4,4,1,6,1,3,3.6e-15,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,8029,55.4927759888396,510.087255992842,55.4927759888396,436.507644313417,0,1,run005_complete_candidate_pool,4|1|0|2|1|2|4|4|1|6|1|3,persistent_fixed_resistance,3.6e-15,470,20,60,112.279409759158,149.742246951968,145.650928729237,0,0.238131313131313,0.761868686868687,19.1180578155976,66.2700493390279,17,20,12.9,18,1,1,1,1,1,1,1,1,1,4.04205875132967e-13,0,8.57272727272727e-16,0
471,candidate,unobserved_candidate,471,4,1,0,2,4,2,4,1,1,6,1,3,3.6e-15,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,8029,55.4927759888396,502.353495471457,55.4927759888396,436.507644313417,0,1,run005_complete_candidate_pool,4|1|0|2|4|2|4|1|1|6|1|3,persistent_fixed_resistance,3.6e-15,471,20,60,124.007855330988,405.313258598587,148.105719662875,0,0.245833333333333,0.754166666666667,19.111755302443,78.8772251751337,16.8,23,12.8,17,1,1,1,1,0.95,1,1,1,1,4.46428279191555e-13,0,8.85e-16,0
472,candidate,unobserved_candidate,472,4,1,0,2,4,2,4,4,1,6,1,3,3.6e-15,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,8029,55.4927759888396,510.087255992842,55.4927759888396,436.507644313417,0,1,run005_complete_candidate_pool,4|1|0|2|4|2|4|4|1|6|1|3,persistent_fixed_resistance,3.6e-15,472,20,60,123.475983962033,162.834465264708,159.834165234705,0,0.24760101010101,0.75239898989899,19.0333314477095,68.3669913165993,17.8,20,12.75,20,1,1,1,1,1,1,1,1,1,4.44513542263317e-13,0,8.91363636363636e-16,0
473,candidate,observed_candidate,473,4,1,0,3,-1,0,4,0,1,6,3,2,1.03842659883721e-08,1,6.66666666666667e-05,included_in_main_empirical_distribution,all_run005_candidates,NaN,NaN,candidate,8029,55.4697563798479,638.307654104266,55.4697563798479,595.339452969932,1,0,run005_complete_candidate_pool,4|1|0|3|-1|0|4|0|1|6|3|2,persistent_fixed_resistance,1.03842659883721e-08,473,20,60,203.147587486022,212.475793033849,202.656629299294,0,0.207323232323232,0.792676767676768,19.8236103202183,103.215340035476,22.45,26,17.05,23,1,1,1,1,1,1,1,1,1,2.10953858335094e-06,0,2.15289959001351e-09,0
474,candidate,observed_candidate,474,4,1,0,3,3,1,5,1,2,6,-1,3,3.11512499999999e-09,1,6.66666666666667e-05,included_in_main_empirical_distribution,all_run005_candidates,NaN,NaN,candidate,8029,51.9667788761672,1128.54961615177,51.9667788761672,1039.37162077128,1,0,run005_complete_candidate_pool,4|1|0|3|3|1|5|1|2|6|-1|3,persistent_fixed_resistance,3.11512499999999e-09,474,20,60,394.184873032758,405.313258598587,405.313258598587,0,0.461111111111111,0.538888888888889,21.5644810001005,90.395120245245,22.95,27,16.9,22,1,1,1,1,1,1,1,1,1,1.22793515260617e-06,0,1.43641875e-09,0
475,candidate,observed_candidate,475,4,1,0,4,1,0,4,2,1,6,1,3,1.01833654692e-07,1,6.66666666666667e-05,included_in_main_empirical_distribution,all_run005_candidates,NaN,NaN,candidate,8029,55.4927759888396,523.189055298921,55.4927759888396,436.507644313417,1,0,run005_complete_candidate_pool,4|1|0|4|1|0|4|2|1|6|1|3,persistent_fixed_resistance,1.01833654692e-07,475,20,60,172.899108092627,374.764749202193,364.945585467638,0,0.213131313131313,0.786868686868687,19.9413172543678,81.7373268337491,17.65,21,11.2,17,1,1,1,1,0.95,1,1,1,1,1.76069480700594e-05,0,2.17039405454667e-08,0
476,candidate,observed_candidate,476,4,1,0,6,0,2,6,1,3,6,1,3,1.18832175e-07,1,6.66666666666667e-05,included_in_main_empirical_distribution,all_run005_candidates,NaN,NaN,candidate,8029,55.4927759888396,1654.77565411378,55.4927759888396,1551.75574835313,1,0,run005_complete_candidate_pool,4|1|0|6|0|2|6|1|3|6|1|3,persistent_fixed_resistance,1.18832175e-07,476,20,60,607.969887897881,607.969887897881,607.969887897881,1,0.886489898989899,0.113510101010101,16.6859713528368,90.1362922921125,29.1,32,24,28,1,1,1,1,1,1,1,1,1,7.22463841134114e-05,1.18832175e-07,1.053435228125e-07,0
477,candidate,observed_candidate,477,4,1,0,6,1,1,6,0,2,6,0,2,6.03095625e-07,1,6.66666666666667e-05,included_in_main_empirical_distribution,all_run005_candidates,NaN,NaN,candidate,8029,54.1694020488195,1772.01431311033,54.1694020488195,1673.71454789111,1,0,run005_complete_candidate_pool,4|1|0|6|1|1|6|0|2|6|0|2,persistent_fixed_resistance,6.03095625e-07,477,20,60,592.068297738865,607.969887897881,607.969887897881,0.5,0.573989898989899,0.426010101010101,26.8355419498719,101.934379876694,24.85,29,19,24,1,1,1,1,1,1,1,1,1,0.000357073800067507,3.015478125e-07,3.46170796875e-07,0
478,candidate,observed_candidate,478,4,1,0,6,1,1,6,0,2,6,1,2,9.38148750000001e-07,1,6.66666666666667e-05,included_in_main_empirical_distribution,all_run005_candidates,NaN,NaN,candidate,8029,55.2436058969182,1897.29063326433,55.2436058969182,1823.40274489301,1,0,run005_complete_candidate_pool,4|1|0|6|1|1|6|0|2|6|1|2,persistent_fixed_resistance,9.38148750000001e-07,478,20,60,593.186591386412,607.969887897881,607.969887897881,0.45,0.668434343434343,0.331565656565657,24.0158235477374,88.9414809227874,30.85,32,26.1,29,1,1,1,1,1,1,1,1,1,0.000556497259225923,4.221669375e-07,6.27090843750001e-07,0
479,candidate,unobserved_candidate,479,4,1,0,6,1,2,4,3,1,6,0,3,9.36e-15,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,8029,55.2436058969182,1585.0680237346,55.2436058969182,1574.40183228655,0,1,run005_complete_candidate_pool,4|1|0|6|1|2|4|3|1|6|0|3,persistent_fixed_resistance,9.36e-15,479,20,60,604.77865968415,607.969887897881,607.969887897881,0.85,0.883964646464646,0.116035353535354,16.8786780517753,90.7900113682683,30.7,32,24.5,32,1,1,1,1,1,1,1,1,1,5.66072825464365e-12,7.956e-15,8.27390909090909e-15,0
