arm,penalty,iteration,budget_s,elapsed_seconds,lower_bound,lower_bound_increment,forward_sampled_objective,cuts_before,cut_count,cuts_added,forward_stage_solve_count,backward_cut_solve_count,forward_time_s,backward_time_s,iteration_wall_time_s,cut_violation_flag,warning_id,warning_message,training_identity,convergence_scope,stage1_total_production,stage1_site1_production,stage1_site2_production,stage1_site3_production,stage1_site4_production,stage1_end_inventory_total,stage2_end_inventory_total,stage3_end_inventory_total
Arm-A,1000,54,18000,2553.4675812,56768.0415166026,1.1189712662017,9797.55821740672,55703,56754,1051,1,1051,0.032945,48.8406578,49.5236753,0,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,241.507481134483,241.507481134483
Arm-A,1000,55,18000,2603.8710101,56768.0415166026,0,78322.2424844413,56754,57805,1051,5,1051,0.1064511,49.0754175,49.9034608,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,154.929448231953
Arm-A,1000,56,18000,2652.1277891,56769.5008702959,1.45935369333893,49450.3677426305,57805,58856,1051,3,1051,0.0823278,47.3573728,48.1090947,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,136.518409272046
Arm-A,1000,57,18000,2701.311565,56769.6711047351,0.170234439210617,58324.738301793,58856,59907,1051,4,1051,0.0849753,48.400735,49.1457041,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,184.939475203772,159.333409272046
Arm-A,1000,58,18000,2745.5826808,56770.2492157805,0.578111045360856,78791.0972042748,59907,60958,1051,5,1051,0.1160925,43.2978096,43.8000996,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,184.939475203772,163.233409272046
Arm-A,1000,59,18000,2784.6313781,56771.7781877057,1.52897192518139,110923.216878992,60958,62009,1051,6,1051,0.1084148,38.3720967,38.9889559,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,251.186343624812
Arm-A,1000,60,18000,2829.5035352,56837.6483350441,65.8701473384499,59672.2500511978,62009,63060,1051,4,1051,0.098518,44.0304653,44.6314577,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,184.939475203772,166.158409272046
Arm-A,1000,61,18000,2876.5054283,56882.4208628258,44.7725277817153,49717.7989926305,63060,64111,1051,3,1051,0.0611835,45.8209331,46.5157987,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,184.939475203772,148.218409272046
Arm-A,1000,62,18000,2923.2013824,56885.5631241295,3.14226130371389,49842.7406948471,64111,65162,1051,3,1051,0.0665361,45.5862893,46.1831975,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,155.443357215069
Arm-A,1000,63,18000,2970.6075911,56885.8142327961,0.251108666612708,50087.2897426305,65162,66213,1051,3,1051,0.0627439,46.7164186,47.27605,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,184.939475203772,163.233409272046
Arm-A,1000,64,18000,3020.8958585,56886.081694466,0.267461669820477,71150.4839772671,66213,67264,1051,4,1051,0.0907158,49.0336556,49.8114576,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,302.134475203772,371.306343624812
Arm-A,1000,65,18000,3071.690038,57076.5850407018,190.503346235826,49657.2634926305,67264,68315,1051,3,1051,0.0707933,49.3601159,50.111606,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,147.633409272046
Arm-A,1000,66,18000,3119.8842687,57077.9823560317,1.39731532991573,9797.55821740672,68315,69366,1051,1,1051,0.0288704,47.0306339,47.7318925,0,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,241.507481134483,241.507481134483
Arm-A,1000,67,18000,3169.4902006,57077.9823560317,0,50087.2897426305,69366,70417,1051,3,1051,0.0646686,48.3965302,49.1456204,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,184.939475203772,163.233409272046
Arm-A,1000,68,18000,3218.371045,57083.6750809201,5.69272488840943,57649.5649600372,70417,71468,1051,4,1051,0.0921815,47.5579731,48.2102628,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,160.308409272046
Arm-A,1000,69,18000,3268.990991,57083.8622657976,0.187184877446271,9797.55821740672,71468,72519,1051,1,1051,0.032206,49.5307034,50.1969844,0,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,241.507481134483,241.507481134483
Arm-A,1000,70,18000,3317.6693581,57083.8622657976,0,9797.55821740672,72519,73570,1051,1,1051,0.0315991,47.4263888,48.1926946,0,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,241.507481134483,241.507481134483
Arm-A,1000,71,18000,3366.9267845,57083.8622657976,0,66639.952681357,73570,74621,1051,4,1051,0.0786244,47.8535386,48.5770788,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,302.134475203772,362.475386323228
Arm-A,1000,72,18000,3413.638195,57084.6869463228,0.824680525249278,58384.3974752561,74621,75672,1051,4,1051,0.0708754,45.4953577,46.2552172,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,184.939475203772,152.691262292097
Arm-A,1000,73,18000,3463.5399732,57091.4508622592,6.76391593643348,59013.2265834687,75672,76723,1051,4,1051,0.0913022,48.5954071,49.2676499,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,160.308409272046
Arm-A,1000,74,18000,3513.3738737,57100.2218672948,8.77100503556721,188813.329582943,76723,77774,1051,4,1051,0.0829566,48.5290304,49.3306432,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,251.186343624812
