remaining_gap_rank,state_id,terminal_state_k,intensity,loc,site,arrival_count,arrival_frequency_full_oos,T_saa_kg,T_dro_kg,delta_T_kg_per_path,positive_delta_T_mass_kg,saa_surplus_total_kg,new_target_covered_by_saa_surplus_kg,covered_share_of_positive_delta_T,uncovered_new_target_increment_kg,preexisting_saa_gap_kg,required_extra_total_kg,mean_actual_extra_kg,positive_actual_extra_total_kg,required_extra_realized_kg,effective_realization_ratio,unrealized_required_extra_kg,remaining_gap_total_kg,remaining_gap_C_D_total_kg,A_count,A_dro_falls_below_target_count,B_count,C_count,D_count,share_of_C_D_remaining_gap,cumulative_share_of_C_D_remaining_gap
28,19,207,4,5,3,44,0.0044,36.003600360036,50.0952851168181,14.0916847567821,620.034129298412,91.8376255296588,87.2867060960914,0.140777260430581,532.747423202321,244.968785709926,777.716208912247,4.56400398187459,256.880051548587,231.746217444846,0.29798301075527,545.969991467401,602.033867813505,602.033867813505,2,0,11,17,14,0.0127795039129338,0.724338691809403
29,11,143,3,4,1,139,0.0139,192.564711016556,202.228721913838,9.664010897282,1343.2975147222,2516.7249146827,960.300312830711,0.714882818069761,382.997201891487,549.125960435542,932.123162327029,4.94456687844846,881.851935905536,439.857784815084,0.471888053631225,492.265377511945,576.66191963966,560.634345034702,87,12,25,13,14,0.0119007072344898,0.736239399043892
30,25,255,5,4,2,24,0.0024,144.302157488476,141.809518632341,-2.49263885613502,0,1.05486600807399,0,,0,542.263502441181,489.593413649725,-1.25177407088439,45.6439999674806,45.6439999674806,0.0932283782725399,443.949413682244,511.540121397393,501.365131229088,4,3,0,11,9,0.0106425867362258,0.746881985780118
31,18,199,4,4,3,55,0.0055,29.4574912036658,44.7317455611508,15.274254357485,840.083989661675,152.289022641479,129.992301749663,0.154737268355768,710.091687912012,84.687519441642,794.779207353654,6.48595271428441,389.501971570998,330.246651850815,0.415519994477995,464.532555502839,497.307127788195,497.307127788195,3,0,7,36,9,0.0105564466141759,0.757438432394294
32,26,263,5,5,1,22,0.0022,275.482093663912,271.194922361943,-4.28717130196901,0,29.201356546174,0,,0,554.023786120942,476.342063142377,-1.445643289102,47.973307706174,40.551223902053,0.0851304703904186,435.790839240324,493.402912753092,477.214789226335,6,3,0,7,9,0.0101299421714876,0.767568374565782
33,15,175,4,1,3,34,0.0034,42.5497095164062,51.2780073639153,8.7282978475091,296.762126815309,6.53824115416159,6.53824115416159,0.0220319257862398,290.223885661148,387.570615490949,677.794501152097,6.40011896629119,241.083800646866,230.751348334571,0.340444408950421,447.043152817525,470.522908610491,470.522908610491,0,0,6,20,8,0.00998789216552095,0.777556266731303
34,23,239,5,2,1,20,0.002,275.482093663912,277.406850906388,1.92475724247601,38.4951448495201,10.223164723154,6.76118401866904,0.17563731855274,31.7339608308511,400.278058865065,432.012019695916,-0.828420081533504,44.9938533730599,31.8154066839,0.0736447256867857,400.196613012016,461.758868015746,461.758868015746,3,0,2,5,10,0.00980185596878599,0.787358122700089
35,10,135,3,3,4,131,0.0131,74.1892371055287,84.2813634386846,10.0921263331559,1322.06854964342,2970.75154777824,859.163666330787,0.649863175825879,462.904883312634,133.153313231918,596.058196544553,1.87709238658255,574.041948393554,232.557741971736,0.390159456442192,363.500454572817,415.788243171646,415.788243170819,82,0,23,4,22,0.00882602751212556,0.796184150212214
36,24,247,5,3,3,28,0.0028,51.2778550582331,61.1125785326699,9.8347234744368,275.37225728423,5.7718197176786,5.7718197176786,0.0209600624790649,269.600437566552,342.481097255962,612.081534822514,8.90931175613485,249.918504093833,249.918504093833,0.408309171042551,362.163030728681,362.620805650738,362.620805650738,0,0,0,27,1,0.00769743074680369,0.803881580959018
37,24,247,5,3,2,28,0.0028,134.740746801953,136.906705367182,2.165958565229,60.6468398264121,38.4063534904239,15.853765673011,0.261411241185671,44.7930741534011,237.411661108018,282.204735261419,-2.65151006308701,17.4855459431525,10.9175686807765,0.0386866955675393,271.287166580642,356.67097374859,356.67097374859,6,0,0,6,16,0.00757113237035031,0.811452713329369
38,28,279,5,7,3,40,0.004,50.732345961869,52.9143765828423,2.1820306209733,87.281224838932,10.934138291012,10.3382297664249,0.118447349765118,76.9429950725071,515.498745598112,592.441740670619,6.56544143379255,270.617738962096,258.922942255699,0.437043720050192,333.51879841492,341.518880025315,341.518880025315,2,0,9,26,3,0.00724949557983386,0.818702208909202
39,9,127,3,2,3,133,0.0133,21.2748547582031,28.3643588926193,7.0895041344162,942.904049877355,820.608453655027,521.608250485376,0.553193350429688,421.295799391979,77.4513715206025,498.747170912581,4.33878784823665,658.883244440685,207.926332096636,0.416897266236485,290.820838815945,342.62435949183,336.966118620126,70,11,8,41,14,0.00715285312281799,0.82585506203202
40,20,215,4,6,4,37,0.0037,99.8281646346453,122.192673667446,22.3645090328007,827.486834213626,862.317926033461,489.781734744239,0.591890667613687,337.705099469387,33.0097742306157,370.714873700002,-0.903274851640529,82.5009009136611,64.8216774163571,0.174855885250543,305.893196283645,336.957001725645,335.254883370654,20,2,0,12,5,0.00711652835981753,0.832971590391838
41,25,255,5,4,4,24,0.0024,150,150,0,0,0,0,,0,232.00867545021,232.00867545021,-4.17364461444,21.957974024168,21.957974024168,0.094642900665498,210.050701426042,332.17614619677,331.945146941802,1,1,3,6,14,0.00704627186445306,0.840017862256291
42,19,207,4,5,1,44,0.0044,222.840465864768,231.297621603105,8.45715573833701,372.114852486828,487.177358166556,170.476646681101,0.458129111326282,201.638205805727,229.57500371654,431.213209522267,3.08929819559628,198.84393558788,133.650145728147,0.309939822753147,297.56306379412,331.43617242119,331.43617242119,18,0,9,9,8,0.00703546775155262,0.847053330007844
43,8,119,3,1,4,81,0.0081,81.8263644546273,95.4481399001905,13.6217754455632,1103.36381109062,1779.95864815476,756.991368110895,0.686075943856313,346.372442979725,192.591542077626,538.963985057351,2.58568330781789,402.953658751921,238.614365556477,0.442727848561322,300.349619500874,355.92581217501,330.271087293214,52,9,9,14,6,0.00701073623602186,0.854064066243866
44,21,223,4,7,2,124,0.0124,81.8263644546273,93.221622471828,11.3952580172007,1413.01199413289,3621.59303164144,1092.65244458246,0.77327895949884,320.359549550427,44.0527680200989,364.412317570526,-2.03127903279878,268.954688673779,176.091748901652,0.483221176703426,188.320568668874,328.766968778256,328.107758679262,93,2,8,16,7,0.00696481478879935,0.861028881032665
45,8,119,3,1,1,81,0.0081,193.11022011292,195.980588261073,2.87036814815301,232.499820000393,1306.85022739293,166.812043167771,0.717471708870523,65.6877768326221,326.823468719246,392.511245551868,5.52077206607478,551.144034747802,135.808759422831,0.345999664880645,256.702486129037,324.144346483264,324.144346483264,56,0,6,7,12,0.00688068257568769,0.867909563608353
46,20,215,4,6,1,37,0.0037,216.021602160216,232.932859424932,16.911257264716,625.716518794492,640.466607031497,348.327415264084,0.556685663238,277.389103530408,113.260746402792,390.6498499332,2.1857842433837,141.879231081842,115.126230574556,0.294704402405997,275.523619358644,309.124353049708,307.489115227881,13,1,3,14,7,0.00652713835769874,0.874436701966051
47,26,263,5,5,2,22,0.0022,137.210539235742,137.134215078136,-0.0763241576059954,0,45.153101829722,0,,0,321.459290875925,320.161780196623,-0.593058404239577,58.4503615375853,58.4260979956193,0.182489296379279,261.735682201004,301.124647178122,300.598319974349,5,1,1,7,9,0.00638086594743459,0.880817567913486
48,27,271,5,6,1,9,0.0009,273.443935302621,271.951288207453,-1.49264709516802,0,0,0,,0,295.973874868547,283.722458354823,-2.04934694443599,19.460309507091,19.460309507091,0.0685892460538108,264.262148847732,300.984173511959,295.545634366698,1,1,0,3,5,0.00627361149059096,0.887091179404077
49,10,135,3,3,3,131,0.0131,22.0931184027493,27.2746757992166,5.1815573964673,678.784018937216,445.773613443656,273.516800624925,0.402951149399739,405.267218312291,85.5989209117185,490.866139224009,4.1010826160924,646.622182490031,292.183400828301,0.595240489169211,198.682738395708,280.891802824165,280.89180282403,48,0,20,49,14,0.0059625514198027,0.89305373082388
50,24,247,5,3,4,28,0.0028,150,150,0,0,0,0,,0,207.932864353349,207.932864353349,-3.31457983750234,20.1462066405509,20.1462066405509,0.0968880350068936,187.786657712798,300.741099803414,277.399216899857,8,7,3,5,12,0.00588841353841354,0.898942144362293
51,22,231,5,1,1,9,0.0009,267.041704170417,264.325715491973,-2.71598867844398,0,20.61823753086,0,,0,291.933521166475,272.921600417367,0.352495747143545,27.84234735572,25.977213062515,0.0951819607637841,246.944387354852,271.078827530261,271.078827530261,2,0,0,4,3,0.00575424925796637,0.90469639362026
52,26,263,5,5,4,22,0.0022,150,150,0,0,0,0,,0,171.26615824195,171.26615824195,-4.45274375281759,16.908794671436,16.908794671436,0.0987281716656988,154.357363570514,269.226520803937,264.396790275894,5,4,1,7,9,0.00561240819917563,0.910308801819435
53,22,231,5,1,2,9,0.0009,146.741946921965,144.555682281606,-2.18626464035898,0,0,0,,0,272.33077529465,252.654393531419,-0.546704400337587,31.5603341334478,31.5603341334478,0.124915041817878,221.094059397971,257.574733134457,257.574733134457,0,0,0,4,5,0.00546759490777413,0.915776396727209
