selected_pair_id,focal_state_id,focal_site,selection_reason,method,path_count,C_count,D_count,stage,observed_site,active_decision_count,active_decision_rate,terminal_event_count,terminal_event_rate,mean_start_inventory_kg,mean_end_inventory_kg,mean_production_kg,mean_electrolyzer_power_kw,mean_normal_served_kg,mean_normal_shortage_kg,mean_htt_inflow_kg,mean_htt_outflow_kg,mean_net_htt_inflow_kg,mean_total_htt_flow_kg,mean_htt_capacity_kg,mean_beta,mean_terminal_target_kg,mean_terminal_gap_kg
8,18,1,top8_C_D_remaining_gap,saa,51,29,22,2,2,51,1,0,0,67.882050982103,77.8967075070886,23.4,200,7.44890999878212,4.80574838631104,0,5.93643347623224,-5.93643347623224,17.403824132021,152.592343604108,0.0462978524743231,0,0
8,18,1,top8_C_D_remaining_gap,saa,51,29,22,2,3,51,1,0,0,37.7163366656137,35.9778330961599,14.04,120,4.31111291366499,2.78136317010645,0,11.4673906557888,-11.4673906557888,17.403824132021,152.592343604108,0.0462978524743231,0,0
8,18,1,top8_C_D_remaining_gap,saa,51,29,22,2,4,51,1,0,0,47.7055120125908,62.1606571678224,17.55,150,6.2950276582039,4.06130816658316,3.20017281343551,0,3.20017281343551,17.403824132021,152.592343604108,0.0462978524743231,0,0
8,18,1,top8_C_D_remaining_gap,saa,51,29,22,3,1,51,1,0,0,125.116640665286,169.446527466654,35.1,300,8.06706094760179,13.586628964382,17.5685019705061,0.271554221535711,17.2969477489704,24.8367758868862,139.894677871148,0.125658263305322,0,0
8,18,1,top8_C_D_remaining_gap,saa,51,29,22,3,2,51,1,0,0,77.8967075070886,86.9209641192984,23.311372037497,199.242496046983,5.17172086225795,8.7102667153818,0,9.11539456302931,-9.11539456302931,24.8367758868862,139.894677871148,0.125658263305322,0,0
8,18,1,top8_C_D_remaining_gap,saa,51,29,22,3,3,51,1,0,0,35.9778330961599,31.4805530057531,13.9501639136384,119.232170202038,3.13855612054354,5.28598925565227,0.0241852794525933,15.3330731629543,-15.3088878835017,24.8367758868862,139.894677871148,0.125658263305322,0,0
8,18,1,top8_C_D_remaining_gap,saa,51,29,22,3,4,51,1,0,0,62.1606571678224,82.1521502073222,17.55,150,4.68584165806076,7.89194384515496,7.24408863692754,0.116753939366929,7.12733469756061,24.8367758868862,139.894677871148,0.125658263305322,0,0
8,18,1,top8_C_D_remaining_gap,saa,51,29,22,4,1,43,0.843137254901961,8,0.156862745098039,169.446527466654,206.406225653865,29.5220704809239,252.325388725845,1.59537748748789,5.26474570871002,10.3168705019388,1.28386530816414,9.03300519377466,22.8982103842782,123.181325863679,0.230116713352007,38.2070292590756,6.24925087864417
8,18,1,top8_C_D_remaining_gap,saa,51,29,22,4,2,43,0.843137254901961,8,0.156862745098039,86.9209641192984,97.4464891180003,16.9764705882353,145.098039215686,0.791620996224577,2.6123492875411,2.38224180536432,8.04156639867315,-5.65932459330883,22.8982103842782,123.181325863679,0.230116713352007,19.3411854554439,6.09373318000731
8,18,1,top8_C_D_remaining_gap,saa,51,29,22,4,3,43,0.843137254901961,8,0.156862745098039,31.4805530057531,26.8997529428152,10.1858823529412,87.0588235294118,1.27402016399309,3.69811347960483,0.000852665449143219,13.4935149173351,-13.492662251886,22.8982103842782,123.181325863679,0.230116713352007,4.62078293390836,0.564076065590434
