selected_pair_id,focal_state_id,focal_site,selection_reason,method,stage,observed_site,constraint_type,path_count,eligible_count,binding_count,binding_rate,mean_slack,min_slack,max_slack
2,12,1,top8_C_D_remaining_gap,saa,4,1,ordinary_shortage_positive,84,65,23,0.353846153846154,-2.83486567255863,-8.13642518618822,-0
2,12,1,top8_C_D_remaining_gap,saa,4,2,tank_capacity,84,84,0,0,116.669041403379,75.9702001409868,151.862239023078
2,12,1,top8_C_D_remaining_gap,saa,4,2,electrolyzer_capacity,84,65,24,0.369230769230769,121.30608031098,0,200
2,12,1,top8_C_D_remaining_gap,saa,4,2,ordinary_shortage_positive,84,65,22,0.338461538461538,-1.36645962732919,-4.03726708074534,-0
2,12,1,top8_C_D_remaining_gap,saa,4,3,tank_capacity,84,84,0,0,77.8228959761857,62.2754471037331,84.0997665644894
2,12,1,top8_C_D_remaining_gap,saa,4,3,electrolyzer_capacity,84,65,26,0.4,67.7758878185512,0,120
2,12,1,top8_C_D_remaining_gap,saa,4,3,ordinary_shortage_positive,84,65,20,0.307692307692308,-1.73829840305633,-5.89718176333707,-0
2,12,1,top8_C_D_remaining_gap,saa,4,4,tank_capacity,84,84,0,0,68.9022571582434,17.5542350472787,90.9538540702757
2,12,1,top8_C_D_remaining_gap,saa,4,4,electrolyzer_capacity,84,65,45,0.692307692307692,16.9807085584126,-8.12860889709555e-12,150
2,12,1,top8_C_D_remaining_gap,saa,4,4,ordinary_shortage_positive,84,65,24,0.369230769230769,-1.54996055569669,-4.19780983834521,-0
2,12,1,top8_C_D_remaining_gap,saa,4,0,htt_aggregate_capacity,84,65,0,0,120.593703254324,36.2994797073364,148.114285714286
2,12,1,top8_C_D_remaining_gap,saa,5,1,tank_capacity,84,84,0,0,106.604048537427,72.1091108402203,179.653481478868
2,12,1,top8_C_D_remaining_gap,saa,5,1,electrolyzer_capacity,84,24,20,0.833333333333333,6.03587624821593,0,72.8301273760115
2,12,1,top8_C_D_remaining_gap,saa,5,1,ordinary_shortage_positive,84,24,7,0.291666666666667,-1.49338467614534,-5.12017603249831,-0
2,12,1,top8_C_D_remaining_gap,saa,5,2,tank_capacity,84,84,0,0,115.902545690866,75.9702001409868,151.862239023078
2,12,1,top8_C_D_remaining_gap,saa,5,2,electrolyzer_capacity,84,24,9,0.375,101.27468703281,0,200
2,12,1,top8_C_D_remaining_gap,saa,5,2,ordinary_shortage_positive,84,24,5,0.208333333333333,-1.21376811594203,-5.82608695652174,-0
