method,path_id,decision_stage,current_k,current_a,current_loc,current_lf,node_oos_path_count,node_oos_frequency,future_terminal_state_count,realized_terminal_state_probability,conditional_max_site_target_range_kg,site,archived_inventory_kg,realized_terminal_target_kg,node_conditional_mean_target_kg,saved_cut_count,active_cut_count,active_cut_rhs,chosen_active_cut_local_index,chosen_active_cut_source_iteration,chosen_marginal_value_of_1kg_inventory,chosen_marginal_value_rank,active_marginal_value_min,active_marginal_value_max,active_marginal_value_mean,envelope_update_count,last_envelope_update_iteration,iterations_since_last_envelope_update,last_forward_node_match,training_iteration_count,training_time_seconds,stop_flag,completed_backward_iterations
chi2_eta003,8650,5,222,4,7,6,33,0.0033,9,0.0606060606060606,109.078997891597,2,112.744249555329,121.918688071935,103.569493588837,1198,3,33417.482566627,397,397,1033.28,1,752.16,1033.28,845.866666666667,13,397,801,0,1199,3600.8621352,2,1198
chi2_eta003,8650,5,222,4,7,6,33,0.0033,9,0.0606060606060606,109.078997891597,3,53.9308247858408,50.0952851168181,37.288531810639,1198,3,33417.482566627,397,397,866,3,755.12,866,829.04,13,397,801,0,1199,3600.8621352,2,1198
chi2_eta003,8650,5,222,4,7,6,33,0.0033,9,0.0606060606060606,109.078997891597,4,137.883547528748,139.650041540419,121.287317552971,1198,3,33417.482566627,397,397,1033.28,2,764,1033.28,943.52,13,397,801,0,1199,3600.8621352,2,1198
chi2_eta003,9095,5,221,4,7,5,9,0.0009,5,0.111111111111111,84.7966504203596,1,263.990017718778,231.297621603105,250.040318225551,1198,3,5442.32891302396,187,187,203.132524107817,2,203.132524107817,342.293087421604,292.695717277922,15,187,1011,0,1199,3600.8621352,2,1198
chi2_eta003,9095,5,221,4,7,5,9,0.0009,5,0.111111111111111,84.7966504203596,2,118.434948233099,121.918688071935,111.980454087743,1198,3,5442.32891302396,187,187,127.93147738396,3,127.93147738396,426.793162154465,299.048642590689,15,187,1011,0,1199,3600.8621352,2,1198
chi2_eta003,9095,5,221,4,7,5,9,0.0009,5,0.111111111111111,84.7966504203596,3,51.3158677769647,50.0952851168181,43.7334374353016,1198,3,5442.32891302396,187,187,24.8028006751116,4,24.8028006751116,427.710428238034,274.692066630156,15,187,1011,0,1199,3600.8621352,2,1198
chi2_eta003,9095,5,221,4,7,5,9,0.0009,5,0.111111111111111,84.7966504203596,4,145.678763075221,139.650041540419,130.422492786891,1198,3,5442.32891302396,187,187,251.010933492333,1,251.010933492333,339.239117286274,305.29249607976,15,187,1011,0,1199,3600.8621352,2,1198
chi2_eta003,9913,5,182,4,2,6,32,0.0032,8,0.09375,97.4045608970722,1,236.390767407006,231.297621603105,247.782983974875,1198,4,70201.6538591209,324,324,1679.28,2,1679.28,1679.28,1679.28,11,324,874,0,1199,3600.8621352,2,1198
chi2_eta003,9913,5,182,4,2,6,32,0.0032,8,0.09375,97.4045608970722,2,124.532268421669,121.918688071935,133.327755917618,1198,4,70201.6538591209,324,324,1362.24,4,1362.24,1664.16,1513.2,11,324,874,0,1199,3600.8621352,2,1198
chi2_eta003,9913,5,182,4,2,6,32,0.0032,8,0.09375,97.4045608970722,3,44.7316770985941,50.0952851168181,49.8042348151892,1198,4,70201.6538591209,324,324,1838.4,1,1197.84,1838.4,1518.12,11,324,874,0,1199,3600.8621352,2,1198
