path_id,state,saa_terminal_loh_total_target_kg,dro_terminal_loh_total_target_kg,dro_minus_saa_target_kg,saa_max_feasible_terminal_total_kg,dro_max_feasible_terminal_total_kg,saa_capacity_gap_kg,dro_capacity_gap_kg,dro_minus_saa_capacity_gap_kg,saa_capacity_gap_share_of_target,dro_capacity_gap_share_of_target,saa_system_total_sufficient,dro_system_total_sufficient,feasibility_transition
942,17,562.147123803289,578.512356224272,16.365232420983,461.805101509697,461.805101509697,100.342022293592,116.707254714574,16.365232420982,0.178497795407568,0.20173684011916,False,False,both_infeasible
955,17,562.147123803289,578.512356224272,16.365232420983,551.895101509697,551.895101509697,10.2520222935922,26.6172547145744,16.3652324209822,0.0182372582896638,0.0460098292252477,False,False,both_infeasible
983,17,562.147123803289,578.512356224272,16.365232420983,551.895101509697,551.895101509697,10.2520222935922,26.6172547145744,16.3652324209822,0.0182372582896638,0.0460098292252477,False,False,both_infeasible
1136,17,562.147123803289,578.512356224272,16.365232420983,601.688280672679,601.688280672679,0,0,0,0,0,True,True,both_feasible
1173,17,562.147123803289,578.512356224272,16.365232420983,495.357093140662,495.357093140662,66.7900306626272,83.1552630836094,16.3652324209822,0.118812367500432,0.143739821957014,False,False,both_infeasible
1195,17,562.147123803289,578.512356224272,16.365232420983,461.805101509697,461.805101509697,100.342022293592,116.707254714574,16.365232420982,0.178497795407568,0.20173684011916,False,False,both_infeasible
1400,17,562.147123803289,578.512356224272,16.365232420983,473.088409272046,473.088409272046,89.0587145312431,105.423946952225,16.3652324209819,0.158425989852449,0.182232835336979,False,False,both_infeasible
1534,17,562.147123803289,578.512356224272,16.365232420983,511.598280672679,511.598280672679,50.5488431306107,66.914075551593,16.3652324209823,0.0899210206549045,0.115665767259174,False,False,both_infeasible
1727,17,562.147123803289,578.512356224272,16.365232420983,551.895101509697,551.895101509697,10.2520222935922,26.6172547145744,16.3652324209822,0.0182372582896638,0.0460098292252477,False,False,both_infeasible
1888,17,562.147123803289,578.512356224272,16.365232420983,617.381724259035,624.051119549683,0,0,0,0,0,True,True,both_feasible
1989,17,562.147123803289,578.512356224272,16.365232420983,601.688280672679,601.688280672679,0,0,0,0,0,True,True,both_feasible
2078,17,562.147123803289,578.512356224272,16.365232420983,551.895101509697,551.895101509697,10.2520222935922,26.6172547145744,16.3652324209822,0.0182372582896638,0.0460098292252477,False,False,both_infeasible
2329,17,562.147123803289,578.512356224272,16.365232420983,405.267093140662,405.267093140662,156.880030662627,173.245263083609,16.365232420982,0.279072904618336,0.299466832850926,False,False,both_infeasible
2352,17,562.147123803289,578.512356224272,16.365232420983,511.598280672679,511.598280672679,50.5488431306107,66.9140755515929,16.3652324209822,0.0899210206549044,0.115665767259174,False,False,both_infeasible
2372,17,562.147123803289,578.512356224272,16.365232420983,421.508280672679,421.508280672679,140.638843130611,157.004075551593,16.365232420982,0.250181557772808,0.271392778153086,False,False,both_infeasible
2470,17,562.147123803289,578.512356224272,16.365232420983,601.688280672679,601.688280672679,0,0,0,0,0,True,True,both_feasible
2605,17,562.147123803289,578.512356224272,16.365232420983,495.357093140662,495.357093140662,66.7900306626272,83.1552630836094,16.3652324209822,0.118812367500432,0.143739821957014,False,False,both_infeasible
2735,17,562.147123803289,578.512356224272,16.365232420983,511.598280672679,511.598280672679,50.5488431306107,66.914075551593,16.3652324209823,0.0899210206549045,0.115665767259174,False,False,both_infeasible
2816,17,562.147123803289,578.512356224272,16.365232420983,461.805101509697,461.805101509697,100.342022293592,116.707254714574,16.365232420982,0.178497795407568,0.20173684011916,False,False,both_infeasible
3318,17,562.147123803289,578.512356224272,16.365232420983,371.715101509697,371.715101509697,190.432022293592,206.797254714574,16.365232420982,0.338758332525472,0.357463851013072,False,False,both_infeasible
3440,17,562.147123803289,578.512356224272,16.365232420983,405.267093140662,405.267093140662,156.880030662627,173.245263083609,16.365232420982,0.279072904618336,0.299466832850926,False,False,both_infeasible
3671,17,562.147123803289,578.512356224272,16.365232420983,461.805101509697,461.805101509697,100.342022293592,116.707254714574,16.365232420982,0.178497795407568,0.20173684011916,False,False,both_infeasible
3827,17,562.147123803289,578.512356224272,16.365232420983,461.805101509697,461.805101509697,100.342022293592,116.707254714574,16.365232420982,0.178497795407568,0.20173684011916,False,False,both_infeasible
3832,17,562.147123803289,578.512356224272,16.365232420983,601.688280672679,601.688280672679,0,0,0,0,0,True,True,both_feasible
3956,17,562.147123803289,578.512356224272,16.365232420983,511.598280672679,511.598280672679,50.5488431306107,66.914075551593,16.3652324209823,0.0899210206549045,0.115665767259174,False,False,both_infeasible
3971,17,562.147123803289,578.512356224272,16.365232420983,562.42866539984,578.050381046634,0,0.461975177637328,0.461975177637328,0,0.0007985571486363,True,False,SAA_feasible_DRO_infeasible
4172,17,562.147123803289,578.512356224272,16.365232420983,551.895101509697,551.895101509697,10.2520222935922,26.6172547145744,16.3652324209822,0.0182372582896638,0.0460098292252477,False,False,both_infeasible
4175,17,562.147123803289,578.512356224272,16.365232420983,495.357093140662,495.357093140662,66.7900306626271,83.1552630836094,16.3652324209823,0.118812367500432,0.143739821957014,False,False,both_infeasible
4447,17,562.147123803289,578.512356224272,16.365232420983,421.508280672679,421.508280672679,140.638843130611,157.004075551593,16.365232420982,0.250181557772808,0.271392778153086,False,False,both_infeasible
4615,17,562.147123803289,578.512356224272,16.365232420983,601.688280672679,601.688280672679,0,0,0,0,0,True,True,both_feasible
4658,17,562.147123803289,578.512356224272,16.365232420983,551.895101509697,551.895101509697,10.2520222935922,26.6172547145744,16.3652324209822,0.0182372582896638,0.0460098292252477,False,False,both_infeasible
4822,17,562.147123803289,578.512356224272,16.365232420983,405.267093140662,405.267093140662,156.880030662627,173.245263083609,16.365232420982,0.279072904618336,0.299466832850926,False,False,both_infeasible
4842,17,562.147123803289,578.512356224272,16.365232420983,511.598280672679,511.598280672679,50.5488431306107,66.914075551593,16.3652324209823,0.0899210206549045,0.115665767259174,False,False,both_infeasible
4984,17,562.147123803289,578.512356224272,16.365232420983,626.584972910329,641.985101509697,0,0,0,0,0,True,True,both_feasible
5034,17,562.147123803289,578.512356224272,16.365232420983,511.598280672679,511.598280672679,50.5488431306107,66.914075551593,16.3652324209823,0.0899210206549045,0.115665767259174,False,False,both_infeasible
5072,17,562.147123803289,578.512356224272,16.365232420983,511.598280672679,511.598280672679,50.5488431306107,66.914075551593,16.3652324209823,0.0899210206549045,0.115665767259174,False,False,both_infeasible
5220,17,562.147123803289,578.512356224272,16.365232420983,461.805101509697,461.805101509697,100.342022293592,116.707254714574,16.365232420982,0.178497795407568,0.20173684011916,False,False,both_infeasible
5488,17,562.147123803289,578.512356224272,16.365232420983,596.734041604599,601.688280672679,0,0,0,0,0,True,True,both_feasible
5499,17,562.147123803289,578.512356224272,16.365232420983,551.895101509697,551.895101509697,10.2520222935922,26.6172547145744,16.3652324209822,0.0182372582896638,0.0460098292252477,False,False,both_infeasible
5900,17,562.147123803289,578.512356224272,16.365232420983,421.508280672679,421.508280672679,140.638843130611,157.004075551593,16.365232420982,0.250181557772808,0.271392778153086,False,False,both_infeasible
6181,17,562.147123803289,578.512356224272,16.365232420983,621.615178672099,628.83715155906,0,0,0,0,0,True,True,both_feasible
6200,17,562.147123803289,578.512356224272,16.365232420983,579.419596804063,579.419596804063,0,0,0,0,0,True,True,both_feasible
6228,17,562.147123803289,578.512356224272,16.365232420983,461.805101509697,461.805101509697,100.342022293592,116.707254714574,16.365232420982,0.178497795407568,0.20173684011916,False,False,both_infeasible
6316,17,562.147123803289,578.512356224272,16.365232420983,461.805101509697,461.805101509697,100.342022293592,116.707254714574,16.365232420982,0.178497795407568,0.20173684011916,False,False,both_infeasible
6361,17,562.147123803289,578.512356224272,16.365232420983,473.088409272046,473.088409272046,89.058714531243,105.423946952225,16.365232420982,0.158425989852448,0.182232835336979,False,False,both_infeasible
6901,17,562.147123803289,578.512356224272,16.365232420983,461.805101509697,461.805101509697,100.342022293592,116.707254714574,16.365232420982,0.178497795407568,0.20173684011916,False,False,both_infeasible
7175,17,562.147123803289,578.512356224272,16.365232420983,563.178409272046,563.178409272046,0,15.3339469522253,15.3339469522253,0,0.0265058244430666,True,False,SAA_feasible_DRO_infeasible
7252,17,562.147123803289,578.512356224272,16.365232420983,461.805101509697,461.805101509697,100.342022293592,116.707254714574,16.365232420982,0.178497795407568,0.20173684011916,False,False,both_infeasible
7725,17,562.147123803289,578.512356224272,16.365232420983,536.494972910329,545.194101797005,25.6521508929599,33.3182544272668,7.6661035343069,0.0456324506641721,0.057592986681775,False,False,both_infeasible
7850,17,562.147123803289,578.512356224272,16.365232420983,405.267093140662,405.267093140662,156.880030662627,173.245263083609,16.365232420982,0.279072904618336,0.299466832850926,False,False,both_infeasible
8120,17,562.147123803289,578.512356224272,16.365232420983,421.508280672679,421.508280672679,140.638843130611,157.004075551593,16.365232420982,0.250181557772808,0.271392778153086,False,False,both_infeasible
8165,17,562.147123803289,578.512356224272,16.365232420983,421.508280672679,421.508280672679,140.638843130611,157.004075551593,16.365232420982,0.250181557772808,0.271392778153086,False,False,both_infeasible
8302,17,562.147123803289,578.512356224272,16.365232420983,405.267093140662,405.267093140662,156.880030662627,173.245263083609,16.365232420982,0.279072904618336,0.299466832850926,False,False,both_infeasible
8346,17,562.147123803289,578.512356224272,16.365232420983,371.715101509697,371.715101509697,190.432022293592,206.797254714574,16.365232420982,0.338758332525472,0.357463851013072,False,False,both_infeasible
8504,17,562.147123803289,578.512356224272,16.365232420983,461.805101509697,461.805101509697,100.342022293592,116.707254714574,16.365232420982,0.178497795407568,0.20173684011916,False,False,both_infeasible
8505,17,562.147123803289,578.512356224272,16.365232420983,473.088409272046,473.088409272046,89.0587145312431,105.423946952225,16.3652324209819,0.158425989852449,0.182232835336979,False,False,both_infeasible
8515,17,562.147123803289,578.512356224272,16.365232420983,551.895101509697,551.895101509697,10.2520222935922,26.6172547145744,16.3652324209822,0.0182372582896638,0.0460098292252477,False,False,both_infeasible
8734,17,562.147123803289,578.512356224272,16.365232420983,405.267093140662,405.267093140662,156.880030662627,173.245263083609,16.365232420982,0.279072904618336,0.299466832850926,False,False,both_infeasible
8798,17,562.147123803289,578.512356224272,16.365232420983,511.598280672679,511.598280672679,50.5488431306107,66.914075551593,16.3652324209823,0.0899210206549045,0.115665767259174,False,False,both_infeasible
8822,17,562.147123803289,578.512356224272,16.365232420983,495.357093140662,495.357093140662,66.7900306626272,83.1552630836094,16.3652324209822,0.118812367500432,0.143739821957014,False,False,both_infeasible
9072,17,562.147123803289,578.512356224272,16.365232420983,505.701098909342,511.598280672679,56.4460248939478,66.914075551593,10.4680506576452,0.100411480382669,0.115665767259174,False,False,both_infeasible
9203,17,562.147123803289,578.512356224272,16.365232420983,473.088409272046,473.088409272046,89.0587145312431,105.423946952225,16.3652324209819,0.158425989852449,0.182232835336979,False,False,both_infeasible
9229,17,562.147123803289,578.512356224272,16.365232420983,511.598280672679,511.598280672679,50.5488431306107,66.914075551593,16.3652324209823,0.0899210206549045,0.115665767259174,False,False,both_infeasible
9570,17,562.147123803289,578.512356224272,16.365232420983,473.088409272046,473.088409272046,89.058714531243,105.423946952225,16.365232420982,0.158425989852448,0.182232835336979,False,False,both_infeasible
9643,17,562.147123803289,578.512356224272,16.365232420983,551.895101509697,551.895101509697,10.2520222935922,26.6172547145744,16.3652324209822,0.0182372582896638,0.0460098292252477,False,False,both_infeasible
9774,17,562.147123803289,578.512356224272,16.365232420983,405.267093140662,405.267093140662,156.880030662627,173.245263083609,16.365232420982,0.279072904618336,0.299466832850926,False,False,both_infeasible
9957,17,562.147123803289,578.512356224272,16.365232420983,585.447093140662,585.447093140662,0,0,0,0,0,True,True,both_feasible
9965,17,562.147123803289,578.512356224272,16.365232420983,421.508280672679,421.508280672679,140.638843130611,157.004075551593,16.365232420982,0.250181557772808,0.271392778153086,False,False,both_infeasible
9982,17,562.147123803289,578.512356224272,16.365232420983,551.895101509697,551.895101509697,10.2520222935922,26.6172547145744,16.3652324209822,0.0182372582896638,0.0460098292252477,False,False,both_infeasible
121,18,546.327360008728,571.966287503776,25.6389274950481,551.895101509697,551.895101509697,0,20.0711859940793,20.0711859940793,0,0.035091554227218,True,False,SAA_feasible_DRO_infeasible
202,18,546.327360008728,571.966287503776,25.6389274950481,551.895101509697,551.895101509697,0,20.0711859940793,20.0711859940793,0,0.035091554227218,True,False,SAA_feasible_DRO_infeasible
220,18,546.327360008728,571.966287503776,25.6389274950481,405.267093140662,405.267093140662,141.060266868066,166.699194363114,25.638927495048,0.258197332210879,0.291449335398135,False,False,both_infeasible
