method,state,stage,site,OOS_count,active_path_share,terminal_event_path_share,mean_start_inventory_kg,mean_end_inventory_kg,median_end_inventory_kg,mean_production_kg,mean_prod_utilization,mean_storage_utilization,mean_normal_served_kg,mean_normal_shortage_kg,mean_htt_inflow_kg,mean_htt_outflow_kg,mean_net_htt_inflow_kg,mean_terminal_target_kg,mean_terminal_gap_kg
chi2_eta003,17,6,1,38,0.157894736842105,0.842105263157895,238.423171502714,242.062118406446,242.493703481989,5.5421052631579,1,0.806873728021487,0.730948012136099,2.44111128302122,0.397480914502479,1.56969126179167,-1.17221034728919,204.206725453066,5.74122563797048
chi2_eta003,17,6,2,38,0.157894736842105,0.842105263157895,114.987932699004,118.90526849407,123.225478246802,3.37571492787128,0.913655037458039,0.594526342470349,0.421149235792772,1.51379682501142,0.96277010298705,0,0.96277010298705,118.977055738162,21.5458380451307
chi2_eta003,17,6,3,38,0.157894736842105,0.842105263157895,41.8117867479367,43.1549086995241,44.7316592996366,2.21684210526316,1,0.431549086995241,0.528887613532429,0.590977031273588,0.052070144839224,0.396902684982552,-0.344832540143328,37.6687293134214,4.2746934041869
chi2_eta003,17,6,4,38,0.157894736842105,0.842105263157895,131.314361886689,133.896198111174,140.137452507446,2.66952129351632,0.963360010955555,0.892641320741158,0.641957853477143,0.993253066226081,0.951753698947945,0.397480914502479,0.554272784445465,126.315789473684,15.794708131913
chi2_eta003,17,7,1,6,0,1,260.42867784958,260.42867784958,260.965964150181,0,,0.868095592831933,0,0,0,0,0,242.495486475516,1.86631081206838
chi2_eta003,17,7,2,6,0,1,136.002321739911,136.002321739911,138.740315068606,0,,0.680011608699554,0,0,0,0,0,141.285253689067,5.37881944929547
chi2_eta003,17,7,3,6,0,1,51.7978588881428,51.7978588881428,52.6528679397156,0,,0.517978588881428,0,0,0,0,0,44.7316160596879,0
chi2_eta003,17,7,4,6,0,1,148.042406206216,148.042406206216,150,0,,0.986949374708108,0,0,0,0,0,150,1.9575937937839
chi2_eta003,18,1,1,55,1,0,58.0445570448695,88.0243810123712,88.0243810123712,35.1,1,0.293414603374571,5.12017603249831,0,0,0,0,0,0
chi2_eta003,18,1,2,55,1,0,50.3081379386248,67.882050982103,67.882050982103,23.4,1,0.339410254910515,5.82608695652174,0,0,0,0,0,0
chi2_eta003,18,1,3,55,1,0,25.2621334423093,37.7163366656137,37.7163366656137,14.04,1,0.377163366656137,1.58579677669568,0,0,0,0,0,0
