path_id,saa_ordinary_shortage,eta_ordinary_shortage,ordinary_shortage_delta,saa_final_inventory,eta_final_inventory,final_inventory_delta,eta_leaves_more_inventory,saa_production,eta_production,production_delta,eta_produces_more,saa_htt,eta_htt,htt_delta,eta_uses_more_htt,saa_terminal_target,eta_terminal_target,target_delta,saa_terminal_gap,eta_terminal_gap,gap_delta,saa_relative_gap,eta_relative_gap,saa_reported_objective,eta_reported_objective,reported_objective_delta
6525,68.8722433935685,78.8066922376509,9.93444884408241,566.857344903266,576.791793747348,9.93444884408223,1,540.54,540.54,0,0,85.6064168654403,87.0666900211643,1.46027315572394,1,355.126421733082,396.04045228592,40.914030552838,0,0,0,0,0,32872.7862783594,34897.9345822174,2025.14830385807
6534,106.331187532016,107.665819452362,1.33463192034516,562.464061562231,563.688278423162,1.22421686093128,1,448.894593357536,448.784178298122,-0.110415059413867,0,67.3876606388333,53.8688403101766,-13.5188203286567,0,185.745847312004,299.484469224306,113.738621912302,0,0,0,0,0,36605.9992735923,36448.3787759145,-157.620497677824
6580,106.331187532016,107.164316712832,0.83312918081549,564.019468204695,564.852597385511,0.833129180815376,1,450.45,450.45,0,0,88.7406458511567,93.5483056122715,4.80765976111483,1,372.309958268554,405.313258646956,33.0033003784022,0,0,0,0,0,37292.8648675485,37366.0627058282,73.1978382796588
6589,8.83893402632307,15.4001285993677,6.56119457304467,425.734937130076,440.909553944889,15.1746168148124,1,409.657722431075,418.271144672842,8.61342224176781,1,48.7928882799458,58.8471495825121,10.0542613025663,1,185.745847312004,299.484469224306,113.738621912302,0,0,0,0,0,15274.1146850084,17071.778526319,1797.66384131053
6596,7.98824486615032,15.4001285993677,7.41188373321742,428.236525538829,450.221654995913,21.9851294570839,1,413.01,427.583245723866,14.5732457238665,1,46.5316289037484,64.0703895638295,17.538760660081,1,325.668930529416,382.364473540397,56.6955430109806,0,1.8554397393759,1.8554397393759,0,0.00485254218885968,15053.2454512158,21328.0751847464,6274.82973353065
6651,78.1180119494521,78.8066922376509,0.688680288198739,535.806292622131,536.494972910329,0.688680288198725,1,450.45,450.45,0,0,68.7664872732353,83.0736872695234,14.3071999962881,1,355.126421733082,396.04045228592,40.914030552838,0,0,0,0,0,31011.7063075864,31638.7562723204,627.049964734069
6689,7.98824486615032,15.4001285993677,7.41188373321742,428.236525538829,445.147764884632,16.9112393458032,1,413.01,422.509355612586,9.49935561258576,1,46.5316289037484,61.2574091673636,14.7257802636151,1,185.745847312004,299.484469224306,113.738621912302,0,0,0,0,0,15057.5743533307,17319.5120654764,2261.93771214568
6727,126.85076191715,131.467940234284,4.61717831713433,584.539042589829,589.156220906963,4.6171783171344,1,450.45,450.45,0,0,70.9255821891694,61.798056268088,-9.12752592108134,0,405.313258598587,434.497947905568,29.1846893069812,0,0,0,0,0,40800.0704836813,41515.0786337305,715.008150049202
6774,126.877339190151,137.294027190806,10.4166880006553,616.856046032129,622.683667186076,5.82762115394735,1,532.533605332281,527.944538485573,-4.58906684670751,0,82.3354738084162,75.0140578514245,-7.32141595699179,0,405.313258598587,434.497947905568,29.1846893069812,0,0,0,0,0,44144.1577594016,45717.7174896558,1573.55973025414
6799,119.831179071277,128.599871400632,8.76869232935501,502.829588343324,511.598280672679,8.76869232935502,1,360.36,360.36,0,0,74.5810685854983,67.3668944153843,-7.21417417011402,0,325.668930529416,382.364473540397,56.6955430109806,0,0.108166933055429,0.108166933055429,0,0.000282889600212822,37769.8831437614,39619.6887813447,1849.80563758338
6834,78.8066922376509,87.4152754609809,8.60858322332997,574.702746223901,585.400376970678,10.6976307467768,1,538.450952476553,540.54,2.08904752344688,1,74.3397094390157,72.4694548387298,-1.87025460028585,0,372.309958268554,405.313258646956,33.0033003784022,0,0,0,0,0,34353.9639315458,36065.8260136605,1711.86208211479
6852,22.2686838686158,35.7701977871787,13.5015139185629,479.956964541294,493.458478459857,13.5015139185629,1,450.45,450.45,0,0,92.9757465198647,79.9895804848737,-12.986166034991,0,355.126421733082,396.04045228592,40.914030552838,0,0,0,0,0,20782.9600679639,23146.7173432995,2363.75727533561
6854,121.870259413004,128.599871400632,6.72961198762819,504.86866868505,511.598280672679,6.72961198762823,1,360.36,360.36,0,0,88.1940808851455,66.8073322577542,-21.3867486273913,0,0,67.6431305846633,67.6431305846633,0,0,0,NaN,0,38529.4654444275,39417.968079252,888.50263482445
6867,68.8722433935685,78.8066922376509,9.93444884408241,444.873830414691,473.565270036405,28.6914396217133,1,368.763306348444,387.520297126075,18.7569907776309,1,45.9738188056469,57.2052688649966,11.2314500593497,1,0,0,0,0,0,0,NaN,NaN,27199.1386338307,29778.3990352596,2579.2604014289
6870,126.877339190151,128.599871400632,1.72253221048156,509.875748462197,511.598280672679,1.72253221048152,1,360.36,360.36,0,0,62.5375469008457,63.0444077753557,0.506860874510046,1,185.745847312004,299.484469224306,113.738621912302,0,0,0,0,0,39133.202282078,39300.9234131742,167.721131096157
6891,106.456238367895,108.397798761182,1.94156039328749,489.454647639941,491.396208033228,1.94156039328732,1,360.36,360.36,0,0,59.0846658579056,36.9908503822236,-22.093815475682,0,240.569511496604,355.126452344801,114.556940848197,0,0,0,0,0,34619.0732259301,34545.8153788485,-73.2578470815934
6942,78.8066922376509,82.1513414331783,3.34464919552738,536.494972910329,539.839622105857,3.34464919552738,1,450.45,450.45,0,0,55.7236161972121,74.0213896346188,18.2977734374067,1,355.126421733082,396.04045228592,40.914030552838,0,0,0,0,0,30727.224759792,31768.3092440139,1041.08448422189
