case_id,state_id,state_label,method_label,eta,TerminalLOH_total_kg,local_hydrogen_preparation_cost_yuan,nominal_expected_outage_loss_yuan,nominal_total_economic_cost_yuan,robust_training_objective_yuan,worst_expected_outage_loss_yuan,secondary_expected_service_distance
48,24,a0=5|loc0=3|lfw0=0,ETA_0.03,0.03,626.5328602506734,20375.705412425734,34483.795476912004,54859.50088933774,64440.54426138344,44064.838848957705,2824.765067363882
49,25,a0=5|loc0=4|lfw0=0,SAA,0.0,607.9698878978805,19772.01216625157,30190.22696666667,49962.23913291824,49962.239132969786,30190.226966666654,2630.579654789223
50,25,a0=5|loc0=4|lfw0=0,ETA_0.03,0.03,622.1306832965186,20232.54059780557,29784.459166104247,50016.999763909815,58898.57653914345,38666.03594133788,2616.5208970560498
51,26,a0=5|loc0=5|lfw0=0,SAA,0.0,607.9698878978804,19772.01216625157,23653.373916666664,43425.38608291824,43425.38608296186,23653.37391666667,2211.512183078598
52,26,a0=5|loc0=5|lfw0=0,ETA_0.03,0.03,607.9699053404314,19772.01273350718,23661.35100184962,43433.363735356805,51615.08025298778,31843.067519480664,2207.009376996505
53,27,a0=5|loc0=6|lfw0=0,SAA,0.0,603.461937102801,19625.40744167655,16491.495650000004,36116.90309167656,36116.90309169662,16491.495650000004,1703.9952327373212
54,27,a0=5|loc0=6|lfw0=0,ETA_0.03,0.03,607.9698879205309,19772.0121669882,16351.413977272534,36123.42614426073,43107.88087544416,23335.86870845596,1702.7328868504435
55,28,a0=5|loc0=7|lfw0=0,SAA,0.0,570.8752693451163,18565.64444323219,11231.616666666669,29797.261109898856,29797.26110990637,11231.616666666663,1202.7941576898645
56,28,a0=5|loc0=7|lfw0=0,ETA_0.03,0.03,581.9225292328573,18924.91644214548,10908.792972088691,29833.70941423417,35504.35237150003,16579.43592935455,1204.193506797718
57,29,a0=6|loc0=1|lfw0=0,SAA,0.0,666.3243597086979,21669.779390526444,65904.91098333334,87574.69037385978,87574.6903739154,65904.91098333332,3564.3806546210644
58,29,a0=6|loc0=1|lfw0=0,ETA_0.03,0.03,675.3492408061518,21963.280865533383,65626.5375265814,87589.81839211477,102726.14827009648,80762.86740456312,3564.0231393390222
59,30,a0=6|loc0=2|lfw0=0,SAA,0.0,676.1585249434036,21989.59989239016,70384.5275,92374.12739239016,92374.12739244854,70384.52749999997,3672.183506371554
60,30,a0=6|loc0=2|lfw0=0,ETA_0.03,0.03,681.5628164262854,22165.35484189756,70218.27018632465,92383.6250282222,108067.61609887556,85902.261256978,3671.203201500354
61,31,a0=6|loc0=3|lfw0=0,SAA,0.0,671.79445217249,21847.67427791729,70105.34264999999,91953.01692791728,91953.01692797612,70105.34264999998,3663.456748363375
62,31,a0=6|loc0=3|lfw0=0,ETA_0.03,0.03,677.0102642867927,22017.299620608926,69946.83505605608,91964.134676665,107598.99006915728,85581.69044854835,3661.7016293897286
63,32,a0=6|loc0=4|lfw0=0,SAA,0.0,662.263044486267,21537.699865557643,59919.45995,81457.15981555764,81457.1598156094,59919.459949999975,3356.7675990894213
64,32,a0=6|loc0=4|lfw0=0,ETA_0.03,0.03,672.5672314387417,21872.806116447955,59604.32164235583,81477.12775880378,96364.65896856623,74491.85285211826,3354.346350291806
65,33,a0=6|loc0=5|lfw0=0,SAA,0.0,648.6103155770122,21093.69445103017,47591.39805,68685.09250103017,68685.09250107133,47591.39804999999,3004.860610696447
66,33,a0=6|loc0=5|lfw0=0,ETA_0.03,0.03,657.0664712599132,21368.700197811693,47338.73813535066,68707.43833316235,82250.62064492815,60881.920447116456,3001.6037175973347
67,34,a0=6|loc0=6|lfw0=0,SAA,0.0,616.3802743910754,20045.52943639351,33692.51153333333,53738.04096972684,53738.04096976772,33692.51153333333,2445.894369830002
68,34,a0=6|loc0=6|lfw0=0,ETA_0.03,0.03,631.7448674549842,20545.20701424114,33236.407444259414,53781.61445850055,65323.61816385471,44778.41114961357,2436.216844323756
69,35,a0=6|loc0=7|lfw0=0,SAA,0.0,607.9698878978804,19772.01216625157,21496.19231666667,41268.20448291824,41268.20448296453,21496.19231666667,1921.956523304546
70,35,a0=6|loc0=7|lfw0=0,ETA_0.03,0.03,607.9698905007069,19772.012250899046,21500.232742845357,41272.2449937444,50533.97550373482,30761.96325283577,1920.5515539511932
