seed_id,distribution_id,distribution_label,candidate_label,eta,paired_sample_count,difference_direction,total_cost_paired_mean_difference,total_cost_improved_share,total_cost_worsened_share,total_cost_equal_share,total_cost_paired_CI95_lower,total_cost_paired_CI95_upper,operating_loss_paired_mean_difference,operating_loss_improved_share,operating_loss_worsened_share,operating_loss_equal_share,operating_loss_paired_CI95_lower,operating_loss_paired_CI95_upper,shortage_kg_paired_mean_difference,shortage_kg_improved_share,shortage_kg_worsened_share,shortage_kg_equal_share,shortage_kg_paired_CI95_lower,shortage_kg_paired_CI95_upper
1,6,combined-medium,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,-93.90460776813369,0.0204,0.9796,0.0,-117.26597786335469,-70.54323767291268,-127.97834927833462,0.0984,0.0,0.9016,-151.33971937355562,-104.61697918311361,-0.06441374340121701,0.008666666666666666,0.0,0.9913333333333333,-0.07630953815704242,-0.05251794864539161
2,6,combined-medium,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-28.960717433353597,0.0134,0.9866,0.0,-38.69812447686655,-19.223310389840638,-38.204388847126516,0.08633333333333333,0.013333333333333334,0.9003333333333333,-47.94179589063957,-28.466981803613468,-0.01927842861638557,0.006333333333333333,0.0010666666666666667,0.9926,-0.024230130493915786,-0.014326726738855357
2,6,combined-medium,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,-81.04352834277276,0.019666666666666666,0.9803333333333333,0.0,-104.08917406628689,-57.997882619258625,-115.11726985297607,0.09966666666666667,0.0,0.9003333333333333,-138.16291557649026,-92.07162412946188,-0.05773487633731106,0.007333333333333333,0.0,0.9926666666666667,-0.06945381135827393,-0.04601594131634819
3,6,combined-medium,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-27.02702975084005,0.015733333333333332,0.9842666666666666,0.0,-36.43850286043695,-17.615556641243153,-36.27070116461274,0.0896,0.0128,0.8976,-45.68217427420963,-26.859228055015848,-0.018255938508688768,0.006666666666666667,0.0016,0.9917333333333334,-0.023041138796756518,-0.013470738220621017
3,6,combined-medium,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,-75.87279047873403,0.020866666666666665,0.9791333333333333,0.0,-97.24488768796093,-54.500693269507146,-109.9465319889376,0.10213333333333334,0.0,0.8978666666666667,-131.3186291981646,-88.5744347797106,-0.05513040196251738,0.0082,0.0,0.9918,-0.06599884212511013,-0.04426196179992463
1,7,combined-strong,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-68.91011111276889,0.024,0.976,0.0,-82.98006440956435,-54.84015781597343,-78.15378252654187,0.1172,0.018266666666666667,0.8645333333333334,-92.22373582333732,-64.08382922974643,-0.039556735505465256,0.012866666666666667,0.0026666666666666666,0.9844666666666667,-0.046720585807656555,-0.032392885203273956
1,7,combined-strong,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,-186.16111048047117,0.035333333333333335,0.9646666666666667,0.0,-216.49292107232023,-155.8292998886221,-220.2348519906737,0.13513333333333333,0.0,0.8648666666666667,-250.56666258252264,-189.90304139882474,-0.11068069620525507,0.015466666666666667,0.0,0.9845333333333334,-0.12610836042073623,-0.09525303198977392
2,7,combined-strong,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-59.784427819011015,0.024266666666666666,0.9757333333333333,0.0,-72.8028304452566,-46.766025192765426,-69.02809923278147,0.1192,0.0206,0.8602,-82.04650185902716,-56.00969660653578,-0.0348865476548026,0.010866666666666667,0.002,0.9871333333333333,-0.04151419767471761,-0.028258897634887585
2,7,combined-strong,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,-154.16307684473963,0.03306666666666667,0.9669333333333333,0.0,-182.90655052407524,-125.41960316540403,-188.23681835494193,0.13946666666666666,0.0,0.8605333333333334,-216.98029203427754,-159.49334467560632,-0.09437623694135565,0.012866666666666667,0.0,0.9871333333333333,-0.10899621496303055,-0.07975625891968074
3,7,combined-strong,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-61.24440090974089,0.025933333333333333,0.9740666666666666,0.0,-74.52802491380174,-47.96077690568004,-70.48807232351442,0.12166666666666667,0.019266666666666668,0.8590666666666666,-83.77169632757531,-57.20444831945352,-0.035569327513591875,0.013,0.0033333333333333335,0.9836666666666667,-0.042328295141194634,-0.028810359885989116
3,7,combined-strong,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,-183.86915043525636,0.036866666666666666,0.9631333333333333,0.0,-213.48607091277327,-154.25222995773944,-217.94289194545797,0.14066666666666666,0.0,0.8593333333333333,-247.55981242297491,-188.32597146794103,-0.10953027632682018,0.016266666666666665,0.0,0.9837333333333333,-0.12459823471182577,-0.09446231794181459
