a0,loc0,lfw0,seed_id,base_seed,derived_seed,mode,a6_Vmax_mps,path_group,path_count,metric,M0_mean,mode_mean,paired_difference_mean,paired_absolute_difference_mean,paired_difference_q05,paired_difference_median,paired_difference_q95,paired_difference_min,paired_difference_max,nonzero_difference_share
2,1,0,1,20260723,20360726,M6_MEDIAN,60,all_paths,2000,reachableShare,0.99980303030303,0.999792929292929,-1.01010101010101e-05,1.01010101010101e-05,0,0,0,-0.0202020202020202,0,0.0005
2,1,0,1,20260723,20360726,M6_MEDIAN,60,all_paths,2000,CScenarioMean,19.0250545335282,19.0252342354986,0.000179701970353126,0.000179701970353126,0,0,0,0,0.359403940706251,0.0005
2,1,0,1,20260723,20360726,M6_MEDIAN,60,all_paths,2000,W3Failed,0.0835,0.0865,0.003,0.003,0,0,0,0,6,0.0005
2,1,0,1,20260723,20360726,M6_MEDIAN,60,all_paths,2000,W3Closed,0.0275,0.0295,0.002,0.002,0,0,0,0,4,0.0005
2,1,0,1,20260723,20360726,M6_MEDIAN,60,contains_a6,1,Dtotal,177.563210866541,202.656629299294,25.0934184327523,25.0934184327523,25.0934184327523,25.0934184327523,25.0934184327523,25.0934184327523,25.0934184327523,1
2,1,0,1,20260723,20360726,M6_MEDIAN,60,contains_a6,1,fullLoss,0,0,0,0,0,0,0,0,0,0
2,1,0,1,20260723,20360726,M6_MEDIAN,60,contains_a6,1,A0Share,0,0.0202020202020202,0.0202020202020202,0.0202020202020202,0.0202020202020202,0.0202020202020202,0.0202020202020202,0.0202020202020202,0.0202020202020202,1
2,1,0,1,20260723,20360726,M6_MEDIAN,60,contains_a6,1,reachableShare,1,0.97979797979798,-0.0202020202020202,0.0202020202020202,-0.0202020202020202,-0.0202020202020202,-0.0202020202020202,-0.0202020202020202,-0.0202020202020202,1
2,1,0,1,20260723,20360726,M6_MEDIAN,60,contains_a6,1,CScenarioMean,19.1764450272064,19.5358489679127,0.359403940706251,0.359403940706251,0.359403940706251,0.359403940706251,0.359403940706251,0.359403940706251,0.359403940706251,1
2,1,0,1,20260723,20360726,M6_MEDIAN,60,contains_a6,1,W3Failed,5,11,6,6,6,6,6,6,6,1
2,1,0,1,20260723,20360726,M6_MEDIAN,60,contains_a6,1,W3Closed,0,4,4,4,4,4,4,4,4,1
2,1,0,1,20260723,20360726,M6_MEDIAN,60,no_a6,1999,Dtotal,2.77325472326213,2.77325472326213,0,0,0,0,0,0,0,0
