a0,loc0,lfw0,seed_id,base_seed,N,reference_N,metric,value_at_N,value_at_N15000,absolute_error,relative_error,reference_is_zero,reference_definition,relative_error_definition
2,1,0,2,20260724,1000,15000,C_reachable_q95_km,19.0137618887991,19.0137618887991,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,1000,15000,W3_failed_lines_mean,0.071,0.0808,0.0098,0.121287128712871,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,1000,15000,W3_failed_lines_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,1000,15000,W3_closed_roads_mean,0.03,0.0269333333333333,0.00306666666666667,0.113861386138614,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,1000,15000,W3_closed_roads_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,2000,15000,D_mean_kg,2.49570411586613,3.01384683922938,0.518142723363246,0.171920721590395,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,2000,15000,D_q95_kg,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,2000,15000,D_q99_kg,112.102119302839,120.01200120012,7.90988189728064,0.0659090909090909,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,2000,15000,full_loss_probability,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,2000,15000,A0_pair_share,0.000549242424242424,0.000337037037037037,0.000212205387205387,0.62962037962038,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,2000,15000,reachable_pair_share,0.999450757575758,0.999662962962963,0.000212205387205344,0.000212276932393669,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,2000,15000,C_reachable_mean_km,19.0228851364996,19.0261194998882,0.00323436338867822,0.000169995956805444,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,2000,15000,C_reachable_q95_km,19.0137618887991,19.0137618887991,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,2000,15000,W3_failed_lines_mean,0.074,0.0808,0.0068,0.0841584158415842,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,2000,15000,W3_failed_lines_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,2000,15000,W3_closed_roads_mean,0.0315,0.0269333333333333,0.00456666666666667,0.169554455445545,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,2000,15000,W3_closed_roads_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,5000,15000,D_mean_kg,3.00859176826774,3.01384683922938,0.00525507096164235,0.00174364234215234,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,5000,15000,D_q95_kg,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,5000,15000,D_q99_kg,125.19433761558,120.01200120012,5.18233641545972,0.0431818181818181,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,5000,15000,full_loss_probability,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,5000,15000,A0_pair_share,0.000402525252525252,0.000337037037037037,6.54882154882155e-05,0.194305694305694,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,5000,15000,reachable_pair_share,0.999597474747475,0.999662962962963,6.54882154882408e-05,6.55102948839239e-05,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,5000,15000,C_reachable_mean_km,19.0252657181031,19.0261194998882,0.000853781785160379,4.48741944023527e-05,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,5000,15000,C_reachable_q95_km,19.0137618887991,19.0137618887991,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,5000,15000,W3_failed_lines_mean,0.0798,0.0808,0.001,0.0123762376237624,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,5000,15000,W3_failed_lines_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,5000,15000,W3_closed_roads_mean,0.0306,0.0269333333333333,0.00366666666666667,0.136138613861386,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,5000,15000,W3_closed_roads_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,10000,15000,D_mean_kg,3.04814117775414,3.01384683922938,0.0342943385247612,0.0113789254577814,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,10000,15000,D_q95_kg,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,10000,15000,D_q99_kg,120.01200120012,120.01200120012,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,10000,15000,full_loss_probability,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,10000,15000,A0_pair_share,0.000375,0.000337037037037037,3.7962962962963e-05,0.112637362637363,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,10000,15000,reachable_pair_share,0.999625,0.999662962962963,3.79629629629896e-05,3.79757622013612e-05,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,10000,15000,C_reachable_mean_km,19.0263936103673,19.0261194998882,0.000274110479104195,1.44070617818733e-05,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,10000,15000,C_reachable_q95_km,19.0137618887991,19.0137618887991,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,10000,15000,W3_failed_lines_mean,0.0803,0.0808,0.0005,0.00618811881188119,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,10000,15000,W3_failed_lines_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,10000,15000,W3_closed_roads_mean,0.0287,0.0269333333333333,0.00176666666666667,0.0655940594059406,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,10000,15000,W3_closed_roads_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,15000,15000,D_mean_kg,3.01384683922938,3.01384683922938,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,15000,15000,D_q95_kg,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,15000,15000,D_q99_kg,120.01200120012,120.01200120012,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,15000,15000,full_loss_probability,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,15000,15000,A0_pair_share,0.000337037037037037,0.000337037037037037,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,15000,15000,reachable_pair_share,0.999662962962963,0.999662962962963,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,15000,15000,C_reachable_mean_km,19.0261194998882,19.0261194998882,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,15000,15000,C_reachable_q95_km,19.0137618887991,19.0137618887991,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,15000,15000,W3_failed_lines_mean,0.0808,0.0808,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,15000,15000,W3_failed_lines_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,15000,15000,W3_closed_roads_mean,0.0269333333333333,0.0269333333333333,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,15000,15000,W3_closed_roads_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,3,20260725,500,15000,D_mean_kg,2.85301257398467,2.92636536380911,0.0733527898244373,0.0250661761964533,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,3,20260725,500,15000,D_q95_kg,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,3,20260725,500,15000,D_q99_kg,91.6455281891825,104.737746501923,13.0922183127404,0.125,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,3,20260725,500,15000,full_loss_probability,0,0.0002,0.0002,1,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,3,20260725,500,15000,A0_pair_share,4.04040404040404e-05,0.00040976430976431,0.000369360269360269,0.90139687756779,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,3,20260725,500,15000,reachable_pair_share,0.999959595959596,0.999590235690236,0.000369360269360297,0.000369511682059646,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,3,20260725,500,15000,C_reachable_mean_km,19.0351602428973,19.0234325646792,0.0117276782181079,0.000616485914318256,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,3,20260725,500,15000,C_reachable_q95_km,19.0137618887991,19.0137618887991,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
