scope,initial_state_id,sample_id_r,path_id_r,sample_id_s,path_id_s,T_id,T_label,distance_metric,distance,low_positive_distance_q25,Q_r,Q_s,absolute_loss_difference,relative_loss_difference,loss_slope
STATE,19,11,11,12,12,1,ZERO,aggregate,0.0113124620512573,0.197139519040538,22911.3820472956,0,22911.3820472956,1,2025322.33420834
STATE,19,6,6,32,32,1,ZERO,period,0.00175176129286316,0.0746477932370276,0,9819.16373455527,9819.16373455527,1,5605309.22481245
STATE,19,7,7,32,32,1,ZERO,period,0.00175176129286316,0.0746477932370276,0,9819.16373455527,9819.16373455527,1,5605309.22481245
STATE,19,9,9,32,32,1,ZERO,period,0.00175176129286316,0.0746477932370276,0,9819.16373455527,9819.16373455527,1,5605309.22481245
STATE,19,12,12,32,32,1,ZERO,period,0.00175176129286316,0.0746477932370276,0,9819.16373455527,9819.16373455527,1,5605309.22481245
STATE,19,13,13,32,32,1,ZERO,period,0.00175176129286316,0.0746477932370276,0,9819.16373455527,9819.16373455527,1,5605309.22481245
STATE,19,14,14,32,32,1,ZERO,period,0.00175176129286316,0.0746477932370276,0,9819.16373455527,9819.16373455527,1,5605309.22481245
STATE,19,17,17,32,32,1,ZERO,period,0.00175176129286316,0.0746477932370276,0,9819.16373455527,9819.16373455527,1,5605309.22481245
STATE,19,19,19,32,32,1,ZERO,period,0.00175176129286316,0.0746477932370276,0,9819.16373455527,9819.16373455527,1,5605309.22481245
STATE,19,6,6,16,16,1,ZERO,period,0.00271592435198703,0.0746477932370276,0,16365.2728909255,16365.2728909255,1,6025673.31411579
STATE,19,7,7,16,16,1,ZERO,period,0.00271592435198703,0.0746477932370276,0,16365.2728909255,16365.2728909255,1,6025673.31411579
STATE,19,9,9,16,16,1,ZERO,period,0.00271592435198703,0.0746477932370276,0,16365.2728909255,16365.2728909255,1,6025673.31411579
STATE,19,12,12,16,16,1,ZERO,period,0.00271592435198703,0.0746477932370276,0,16365.2728909255,16365.2728909255,1,6025673.31411579
STATE,19,13,13,16,16,1,ZERO,period,0.00271592435198703,0.0746477932370276,0,16365.2728909255,16365.2728909255,1,6025673.31411579
STATE,19,14,14,16,16,1,ZERO,period,0.00271592435198703,0.0746477932370276,0,16365.2728909255,16365.2728909255,1,6025673.31411579
STATE,19,16,16,17,17,1,ZERO,period,0.00271592435198703,0.0746477932370276,16365.2728909255,0,16365.2728909255,1,6025673.31411579
STATE,19,16,16,19,19,1,ZERO,period,0.00271592435198703,0.0746477932370276,16365.2728909255,0,16365.2728909255,1,6025673.31411579
