unique_path_id,a0,loc0,lfw0,a1,loc1,lfw1,a2,loc2,lfw2,a3,loc3,lfw3,path_probability,recomputed_path_probability,path_probability_abs_error,all_transitions_positive,minimum_component_transition_probability,is_observed_candidate,is_unobserved_candidate,nominal_record_count,in_nominal_path_support,formal_stream_identity_available,formal_three_period_DAC_status,sampling_coverage_R15000,highest_listed_level,listed_level_count,hit_grid_max,hit_grid_excess,hit_road_max,hit_road_excess
47,2,2,0,3,5,2,5,3,1,6,0,3,1.44e-15,1.4400000000000005e-15,5.9164567891575885e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.1599999999766734e-11,q995,3,0,1,0,1
48,2,2,0,4,1,1,5,2,2,5,4,1,4.9063014e-08,4.9063014000000025e-08,2.6469779601696886e-23,True,0.005,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,0.000735674486785486,q995,3,0,1,0,1
49,2,2,0,4,1,2,5,4,2,6,1,2,5.9136e-13,5.913600000000001e-13,1.0097419586828951e-28,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,8.870399960660623e-09,q995,3,0,1,0,1
50,2,2,0,4,1,2,6,1,2,6,1,2,5.41728e-11,5.417280000000001e-11,1.2924697071141057e-26,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,8.125916698692204e-07,q995,3,0,1,0,1
51,2,2,0,4,1,2,6,3,1,6,0,3,2.1736e-13,2.1736000000000007e-13,7.573064690121713e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,3.2603999946852504e-09,q995,3,0,1,0,1
52,2,2,0,4,1,2,6,4,2,6,1,2,3.344e-12,3.3440000000000007e-12,8.077935669463161e-28,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,5.0159998742071086e-08,q995,3,0,1,0,1
53,2,2,0,4,4,0,4,5,1,5,4,2,2.116688574e-07,2.116688574000002e-07,1.852884572118782e-22,True,0.005,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,0.003169998109393162,q995,3,0,0,0,1
54,2,2,0,4,4,1,5,1,1,5,-2,0,3.0584736e-10,3.058473600000001e-10,1.0339757656912846e-25,True,0.005,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,4.587699877174303e-06,q995,3,1,1,1,1
55,2,2,0,4,4,1,5,3,2,5,4,1,4.9063014e-08,4.9063014000000025e-08,2.6469779601696886e-23,True,0.005,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,0.000735674486785486,q995,3,1,0,1,0
56,2,2,0,4,4,2,5,1,2,6,4,2,3.4944e-13,3.494400000000001e-13,1.0097419586828951e-28,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,5.241599986263731e-09,q995,3,0,1,0,1
57,2,2,0,4,4,2,6,1,2,6,1,2,7.1136e-12,7.113600000000003e-12,3.2311742677852644e-27,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.0670399430750792e-07,q995,3,0,1,0,1
58,2,2,0,4,4,2,6,1,2,6,4,2,1.976e-12,1.9760000000000013e-12,1.2116903504194741e-27,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.963999956076449e-08,q995,3,0,1,0,1
59,2,2,0,4,4,2,6,2,1,6,5,3,1.235e-13,1.2350000000000005e-13,5.048709793414476e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.852499998284236e-09,q995,3,0,1,0,0
60,2,2,0,4,5,2,3,6,2,2,3,3,4.50613333333332e-10,4.506133333333321e-10,1.0339757656912846e-25,True,0.005,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,6.7591771581820095e-06,q995,3,1,1,1,1
61,2,2,0,4,5,2,5,2,1,6,-1,3,2.688e-15,2.688000000000001e-15,1.1832913578315177e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,4.03199999991872e-11,q995,3,0,1,0,0
62,2,2,0,4,5,2,5,2,1,6,5,3,3.36e-15,3.3600000000000013e-15,1.1832913578315177e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,5.039999999873001e-11,q995,3,0,1,0,1
63,2,2,0,4,5,2,5,3,1,6,0,3,6.72e-15,6.720000000000003e-15,2.3665827156630354e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.0079999999492003e-10,q995,3,0,1,0,1
