unique_path_id,a0,loc0,lfw0,is_observed_candidate,is_unobserved_candidate,nominal_record_count,in_nominal_path_support,path_id,scenario_id_in_state,joint_stream_position,wind_seed,resistance_seed,formal_stream_identity_available,formal_three_period_DAC_status
436,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
437,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
438,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
439,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
440,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
441,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
442,3,7,0,True,False,1,True,11376.0,11376.0,7493.0,351660989.0,21660765.0,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD
443,3,7,0,True,False,1,True,13869.0,13869.0,6660.0,351660989.0,21660765.0,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD
444,3,7,0,True,False,1,True,5137.0,5137.0,7437.0,351660989.0,21660765.0,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD
445,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
446,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
447,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
448,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
449,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
450,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
451,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
452,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
453,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
454,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
455,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
456,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
457,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
458,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
459,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
460,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
461,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
462,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
463,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
464,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
465,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
466,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
467,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
468,3,7,0,True,False,1,True,14512.0,14512.0,2991.0,351660989.0,21660765.0,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD
469,3,7,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
470,4,1,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
471,4,1,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
472,4,1,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
473,4,1,0,True,False,1,True,9677.0,9677.0,3248.0,351761008.0,21760768.0,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD
474,4,1,0,True,False,1,True,8946.0,8946.0,4559.0,351761008.0,21760768.0,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD
475,4,1,0,True,False,1,True,13217.0,13217.0,5388.0,351761008.0,21760768.0,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD
476,4,1,0,True,False,1,True,4642.0,4642.0,13164.0,351761008.0,21760768.0,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD
477,4,1,0,True,False,1,True,1833.0,1833.0,9099.0,351761008.0,21760768.0,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD
