dataset_role,initial_state_id,a0,loc0,lfw0,record_count,weight_sum,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_rate,A0_share,reachable_C_mean_km,W3_failed_line_count_mean,W3_closed_road_count_mean,observed_candidate_records,unobserved_candidate_records,path_order_internal_ok,D_domain_ok,wind_range_ok,D_mean_delta_vs_nominal,D_q95_delta_vs_nominal,D_q99_delta_vs_nominal,full_loss_rate_delta_vs_nominal,A0_share_delta_vs_nominal,reachable_C_mean_delta_vs_nominal,failed_line_mean_delta_vs_nominal,closed_road_mean_delta_vs_nominal
validation-1,35,6,7,0,15000,0.999999999999968,265.458691323677,607.969887897881,607.969887897881,0,0.177183838383836,20.5067529906348,7.8886,4.1942,10,0,1,1,1,-0.458464028220931,0,0,0,0.00010555555555547,0.0102066120166597,0.00793333333333379,0.0378666666666669
validation-2,1,2,1,0,15000,0.999999999999968,3.04214057769413,0,117.322641355045,0,0.00119090909090909,19.0302251745637,0.0869333333333333,0.0305333333333333,6,0,1,1,1,-0.0559328660138743,0,-7.88260644246219,0,0.00027070707070707,-0.00207701134653959,0.000733333333333336,0.00126666666666667
validation-2,2,2,2,0,15000,0.999999999999968,3.13564083681095,0,117.832692360145,0,0.000936363636363636,19.0324552102972,0.0833333333333333,0.0277333333333333,9,0,1,1,1,-0.0180199838165636,0,-4.08859067725012,0,8.98989898989901e-05,-3.21978694515224e-05,0.000466666666666657,0.00253333333333333
validation-2,3,2,3,0,15000,0.999999999999968,2.87648764876488,0,95.4913673185506,0,0.000835353535353535,19.0264192197302,0.0714666666666667,0.0238,2,0,1,1,1,0.104719562865378,0,1.6638027439113,0,0.000166161616161616,-0.00362009646662287,0.00126666666666667,0.00233333333333334
validation-2,4,2,4,0,15000,0.999999999999968,2.82975570284301,0,109.382756457464,0,0.000711111111111111,19.0341255230463,0.0809333333333333,0.0268,8,0,1,1,1,0.0359672330869447,0,14.9987726045326,0,-0.000151515151515152,-0.00200212288672574,-0.00293333333333334,-0.0006
validation-2,5,2,5,0,15000,0.999999999999968,1.78950622334961,0,40.0976461282493,0,0.000496969696969697,19.0261360242841,0.056,0.0161333333333333,2,0,1,1,1,0.035967233086946,0,-5.72511796634202,0,-0.000174747474747475,0.000493327204836191,-0.00106666666666667,-0.0018
validation-2,6,2,6,0,15000,0.999999999999968,1.47572939112093,0,21.2912200310944,0,0.000623737373737374,19.0286834596474,0.0489333333333333,0.0177333333333333,6,0,1,1,1,-0.069152369782433,0,-1.6365272890925,0,0.000124242424242424,0.00290328423958286,0.0012,0.003
validation-2,7,2,7,0,15000,0.999999999999968,1.10049186736856,0,0,0,0.000383333333333333,19.0239154028751,0.0403333333333333,0.012,7,0,1,1,1,0.0629153824473359,0,0,0,-0.000122727272727273,0.00320084763794881,-0.000466666666666671,-0.002
validation-2,8,3,1,0,15000,0.999999999999968,40.7905154151778,298.952622534981,405.313258598587,0,0.00956464646464648,19.1743446812725,0.946866666666667,0.285266666666667,6,0,1,1,1,-0.0666430279392074,7.59621416687224,-2.20931184027575,0,0.00046767676767677,-0.0281620280682517,0.00593333333333335,0.00180000000000002
validation-2,9,3,2,0,15000,0.999999999999968,43.0749802252952,319.163734555273,405.313258598587,0,0.0108085858585859,19.2063210011812,1.02046666666667,0.3128,8,0,1,1,1,0.438243824382489,11.4966042058738,0,0,0.00021363636363636,-0.0221373155632563,0.002,-0.00719999999999998
validation-2,10,3,3,0,15000,0.999999999999968,38.178181454509,260.235114420533,405.351444235333,0,0.0101666666666667,19.1941564414799,0.9362,0.291266666666667,7,0,1,1,1,-1.48898526216262,-13.0649428579222,0.0381856367463342,0,-0.000184343434343433,-0.000399498556397759,-0.0144666666666666,-0.00586666666666669
