tau,stage,hour_in_stage,bus,load_multiplier,p_base_kw,p_load_kw,q_load_kvar
3,1,3,16,0.723015,60,43.3809,14.4603
3,1,3,17,0.723015,60,43.3809,14.4603
3,1,3,18,0.723015,90,65.07135,28.9206
3,1,3,19,0.723015,90,65.07135,28.9206
3,1,3,20,0.723015,90,65.07135,28.9206
3,1,3,21,0.723015,90,65.07135,28.9206
3,1,3,22,0.723015,90,65.07135,28.9206
3,1,3,23,0.723015,90,65.07135,36.15075
3,1,3,24,0.723015,420,303.6663,144.603
3,1,3,25,0.723015,420,303.6663,144.603
3,1,3,26,0.723015,60,43.3809,18.075375
3,1,3,27,0.723015,60,43.3809,18.075375
3,1,3,28,0.723015,60,43.3809,14.4603
3,1,3,29,0.723015,120,86.7618,50.61105
3,1,3,30,0.723015,200,144.603,433.809
3,1,3,31,0.723015,150,108.45225,50.61105
3,1,3,32,0.723015,210,151.83315,72.3015
3,1,3,33,0.723015,60,43.3809,28.9206
4,1,4,1,0.707941,0,0,0
4,1,4,2,0.707941,100,70.7941,42.47646
4,1,4,3,0.707941,90,63.71469,28.31764
4,1,4,4,0.707941,120,84.95292,56.63528
4,1,4,5,0.707941,60,42.47646,21.23823
4,1,4,6,0.707941,60,42.47646,14.15882
4,1,4,7,0.707941,200,141.5882,70.7941
4,1,4,8,0.707941,200,141.5882,70.7941
4,1,4,9,0.707941,60,42.47646,14.15882
4,1,4,10,0.707941,60,42.47646,14.15882
4,1,4,11,0.707941,45,31.857345,21.23823
4,1,4,12,0.707941,60,42.47646,24.777935
4,1,4,13,0.707941,60,42.47646,24.777935
4,1,4,14,0.707941,120,84.95292,56.63528
4,1,4,15,0.707941,60,42.47646,7.07941
4,1,4,16,0.707941,60,42.47646,14.15882
4,1,4,17,0.707941,60,42.47646,14.15882
4,1,4,18,0.707941,90,63.71469,28.31764
4,1,4,19,0.707941,90,63.71469,28.31764
4,1,4,20,0.707941,90,63.71469,28.31764
4,1,4,21,0.707941,90,63.71469,28.31764
4,1,4,22,0.707941,90,63.71469,28.31764
4,1,4,23,0.707941,90,63.71469,35.39705
4,1,4,24,0.707941,420,297.33522,141.5882
4,1,4,25,0.707941,420,297.33522,141.5882
4,1,4,26,0.707941,60,42.47646,17.698525
4,1,4,27,0.707941,60,42.47646,17.698525
4,1,4,28,0.707941,60,42.47646,14.15882
4,1,4,29,0.707941,120,84.95292,49.55587
4,1,4,30,0.707941,200,141.5882,424.7646
4,1,4,31,0.707941,150,106.19115,49.55587
4,1,4,32,0.707941,210,148.66761,70.7941
4,1,4,33,0.707941,60,42.47646,28.31764
5,1,5,1,0.698789,0,0,0
5,1,5,2,0.698789,100,69.8789,41.92734
5,1,5,3,0.698789,90,62.89101,27.95156
5,1,5,4,0.698789,120,83.85468,55.90312
5,1,5,5,0.698789,60,41.92734,20.96367
5,1,5,6,0.698789,60,41.92734,13.97578
5,1,5,7,0.698789,200,139.7578,69.8789
5,1,5,8,0.698789,200,139.7578,69.8789
5,1,5,9,0.698789,60,41.92734,13.97578
5,1,5,10,0.698789,60,41.92734,13.97578
5,1,5,11,0.698789,45,31.445505,20.96367
5,1,5,12,0.698789,60,41.92734,24.457615
5,1,5,13,0.698789,60,41.92734,24.457615
5,1,5,14,0.698789,120,83.85468,55.90312
5,1,5,15,0.698789,60,41.92734,6.98789
5,1,5,16,0.698789,60,41.92734,13.97578
5,1,5,17,0.698789,60,41.92734,13.97578
5,1,5,18,0.698789,90,62.89101,27.95156
5,1,5,19,0.698789,90,62.89101,27.95156
5,1,5,20,0.698789,90,62.89101,27.95156
5,1,5,21,0.698789,90,62.89101,27.95156
