N,matrix,from_state,to_state,config_probability,transition_count,from_count,sample_probability,abs_error
30000,loc,-2,0,0.203125,22318,109687,0.203469873366944,0.00034487336694411
30000,loc,-2,1,0.078125,8459,109687,0.0771194398606945,0.00100556013930547
30000,loc,-2,2,0,0,109687,0,0
30000,loc,-2,3,0,0,109687,0,0
30000,loc,-2,4,0,0,109687,0,0
30000,loc,-2,5,0,0,109687,0,0
30000,loc,-2,6,0,0,109687,0,0
30000,loc,-2,7,0,0,109687,0,0
30000,loc,-2,8,0,0,109687,0,0
30000,loc,-2,9,0,0,109687,0,0
30000,loc,-2,10,0,0,109687,0,0
30000,loc,-1,-2,0.255813953488372,68300,267045,0.255762137467468,5.18160209039831e-05
30000,loc,-1,-1,0.209302325581395,55715,267045,0.208635248740849,0.000667076840546066
30000,loc,-1,0,0.325581395348837,87175,267045,0.326443108839334,0.000861713490497185
30000,loc,-1,1,0.151162790697674,40505,267045,0.151678556048606,0.000515765350932035
30000,loc,-1,2,0.0581395348837209,15350,267045,0.0574809489037428,0.000658585979978088
30000,loc,-1,3,0,0,267045,0,0
30000,loc,-1,4,0,0,267045,0,0
30000,loc,-1,5,0,0,267045,0,0
30000,loc,-1,6,0,0,267045,0,0
30000,loc,-1,7,0,0,267045,0,0
30000,loc,-1,8,0,0,267045,0,0
30000,loc,-1,9,0,0,267045,0,0
30000,loc,-1,10,0,0,267045,0,0
30000,loc,0,-2,0.104166666666667,56057,539526,0.103900460774828,0.000266205891838733
30000,loc,0,-1,0.229166666666667,123279,539526,0.228495012288564,0.000671654378102571
30000,loc,0,0,0.1875,100808,539526,0.186845490300745,0.000654509699254541
30000,loc,0,1,0.291666666666667,157717,539526,0.292325115008359,0.000658448341692153
30000,loc,0,2,0.135416666666667,73492,539526,0.136215863554305,0.000799196887638076
30000,loc,0,3,0.0520833333333333,28173,539526,0.0522180580731976,0.000134724739864284
30000,loc,0,4,0,0,539526,0,0
30000,loc,0,5,0,0,539526,0,0
30000,loc,0,6,0,0,539526,0,0
30000,loc,0,7,0,0,539526,0,0
30000,loc,0,8,0,0,539526,0,0
30000,loc,0,9,0,0,539526,0,0
30000,loc,0,10,0,0,539526,0,0
30000,loc,1,-2,0.04,62349,1559769,0.0399732268047384,2.67731952616063e-05
30000,loc,1,-1,0.1,156394,1559769,0.100267411392328,0.000267411392327957
30000,loc,1,0,0.22,343153,1559769,0.220002449080601,2.44908060104132e-06
30000,loc,1,1,0.18,280803,1559769,0.180028581155286,2.85811552864501e-05
30000,loc,1,2,0.28,436931,1559769,0.280125454474348,0.000125454474348419
30000,loc,1,3,0.13,201881,1559769,0.129430063041386,0.000569936958613737
30000,loc,1,4,0.05,78258,1559769,0.0501728140513114,0.000172814051311442
30000,loc,1,5,0,0,1559769,0,0
30000,loc,1,6,0,0,1559769,0,0
30000,loc,1,7,0,0,1559769,0,0
30000,loc,1,8,0,0,1559769,0,0
30000,loc,1,9,0,0,1559769,0,0
30000,loc,1,10,0,0,1559769,0,0
30000,loc,2,-2,0,0,1892416,0,0
30000,loc,2,-1,0.04,75404,1892416,0.0398453616963712,0.000154638303628801
30000,loc,2,0,0.1,189185,1892416,0.0999700911427508,2.99088572491557e-05
30000,loc,2,1,0.22,415531,1892416,0.219576985187189,0.000423014812810707
30000,loc,2,2,0.18,340904,1892416,0.180142209746694,0.000142209746694183
30000,loc,2,3,0.28,530408,1892416,0.280280868477121,0.000280868477121277
30000,loc,2,4,0.13,246185,1892416,0.130090318407792,9.0318407791945e-05
30000,loc,2,5,0.05,94799,1892416,0.0500941653420812,9.41653420812316e-05
30000,loc,2,6,0,0,1892416,0,0
30000,loc,2,7,0,0,1892416,0,0
30000,loc,2,8,0,0,1892416,0,0
30000,loc,2,9,0,0,1892416,0,0
30000,loc,2,10,0,0,1892416,0,0
30000,loc,3,-2,0,0,2093304,0,0
30000,loc,3,-1,0,0,2093304,0,0
30000,loc,3,0,0.04,83281,2093304,0.0397844746869064,0.000215525313093559
30000,loc,3,1,0.1,209050,2093304,0.0998660490783947,0.000133950921605272
30000,loc,3,2,0.22,459602,2093304,0.219558172152731,0.000441827847269205
30000,loc,3,3,0.18,377538,2093304,0.180355075039268,0.000355075039268071
30000,loc,3,4,0.28,586384,2093304,0.280123670522772,0.000123670522771624
30000,loc,3,5,0.13,272862,2093304,0.130349915731303,0.000349915731303246
30000,loc,3,6,0.05,104587,2093304,0.0499626427886251,3.73572113749401e-05
30000,loc,3,7,0,0,2093304,0,0
30000,loc,3,8,0,0,2093304,0,0
30000,loc,3,9,0,0,2093304,0,0
30000,loc,3,10,0,0,2093304,0,0
30000,loc,4,-2,0,0,2177237,0,0
30000,loc,4,-1,0,0,2177237,0,0
30000,loc,4,0,0,0,2177237,0,0
30000,loc,4,1,0.04,86738,2177237,0.03983856603576,0.000161433964239996
30000,loc,4,2,0.1,218954,2177237,0.100565073990567,0.000565073990566933
30000,loc,4,3,0.22,478032,2177237,0.219559009882709,0.000440990117290874
30000,loc,4,4,0.18,391543,2177237,0.179834808980373,0.00016519101962717
30000,loc,4,5,0.28,610395,2177237,0.280353034603031,0.000353034603031266
30000,loc,4,6,0.13,282176,2177237,0.129602794734795,0.000397205265205397
30000,loc,4,7,0.05,109399,2177237,0.0502467117727652,0.000246711772765203
30000,loc,4,8,0,0,2177237,0,0
30000,loc,4,9,0,0,2177237,0,0
30000,loc,4,10,0,0,2177237,0,0
30000,loc,5,-2,0,0,2138844,0,0
30000,loc,5,-1,0,0,2138844,0,0
30000,loc,5,0,0,0,2138844,0,0
30000,loc,5,1,0,0,2138844,0,0
30000,loc,5,2,0.04,85475,2138844,0.0399631763700391,3.68236299608596e-05
30000,loc,5,3,0.1,213860,2138844,0.0999885919683717,1.14080316283016e-05
30000,loc,5,4,0.22,470501,2138844,0.219979110210936,2.08897890636162e-05
30000,loc,5,5,0.18,386145,2138844,0.180539113652048,0.000539113652047563
30000,loc,5,6,0.28,597675,2138844,0.279438332108373,0.000561667891627482
30000,loc,5,7,0.13,277834,2138844,0.129899141779391,0.000100858220608901
30000,loc,5,8,0.05,107354,2138844,0.0501925339108416,0.000192533910841557
30000,loc,5,9,0,0,2138844,0,0
30000,loc,5,10,0,0,2138844,0,0
30000,loc,6,-2,0,0,1993422,0,0
30000,loc,6,-1,0,0,1993422,0,0
30000,loc,6,0,0,0,1993422,0,0
30000,loc,6,1,0,0,1993422,0,0
30000,loc,6,2,0,0,1993422,0,0
30000,loc,6,3,0.04,80225,1993422,0.0402448653621762,0.000244865362176196
30000,loc,6,4,0.1,199693,1993422,0.100175978794254,0.000175978794254295
30000,loc,6,5,0.22,437963,1993422,0.219704106807289,0.000295893192710839
30000,loc,6,6,0.18,358950,1993422,0.180067241156163,6.7241156162634e-05
30000,loc,6,7,0.28,557736,1993422,0.279788223466983,0.000211776533017127
30000,loc,6,8,0.13,259070,1993422,0.129962446486494,3.75535135059279e-05
30000,loc,6,9,0.05,99785,1993422,0.0500571379266407,5.71379266407213e-05
30000,loc,6,10,0,0,1993422,0,0
30000,loc,7,-2,0,0,1727698,0,0
30000,loc,7,-1,0,0,1727698,0,0
30000,loc,7,0,0,0,1727698,0,0
30000,loc,7,1,0,0,1727698,0,0
30000,loc,7,2,0,0,1727698,0,0
30000,loc,7,3,0,0,1727698,0,0
30000,loc,7,4,0.04,69020,1727698,0.0399491114766585,5.08885233414663e-05
30000,loc,7,5,0.1,173045,1727698,0.100159287097629,0.000159287097629329
30000,loc,7,6,0.22,380532,1727698,0.220253771203069,0.000253771203069048
30000,loc,7,7,0.18,310568,1727698,0.179758267938031,0.000241732061969147
30000,loc,7,8,0.28,483419,1727698,0.279805266892709,0.00019473310729079
30000,loc,7,9,0.13,224493,1727698,0.129937639564322,6.2360435678005e-05
30000,loc,7,10,0.05,86621,1727698,0.050136655827581,0.000136655827580975
30000,loc,8,-2,0,0,708365,0,0
30000,loc,8,-1,0,0,708365,0,0
30000,loc,8,0,0,0,708365,0,0
30000,loc,8,1,0,0,708365,0,0
30000,loc,8,2,0,0,708365,0,0
30000,loc,8,3,0,0,708365,0,0
30000,loc,8,4,0,0,708365,0,0
30000,loc,8,5,0.0421052631578947,29830,708365,0.0421110585644406,5.79540654594562e-06
30000,loc,8,6,0.105263157894737,74835,708365,0.105644688825676,0.000381530930939025
30000,loc,8,7,0.231578947368421,163689,708365,0.231080022304885,0.000498925063535799
30000,loc,8,8,0.189473684210526,134430,708365,0.189775045350914,0.000301361140387729
30000,loc,8,9,0.294736842105263,208118,708365,0.293800512447679,0.000936329657584223
30000,loc,8,10,0.136842105263158,97463,708365,0.137588672506406,0.00074656724324762
30000,loc,9,-2,0,0,374964,0,0
30000,loc,9,-1,0,0,374964,0,0
30000,loc,9,0,0,0,374964,0,0
30000,loc,9,1,0,0,374964,0,0
30000,loc,9,2,0,0,374964,0,0
30000,loc,9,3,0,0,374964,0,0
30000,loc,9,4,0,0,374964,0,0
30000,loc,9,5,0,0,374964,0,0
30000,loc,9,6,0.048780487804878,18417,374964,0.0491167152046596,0.000336227399781647
30000,loc,9,7,0.121951219512195,45447,374964,0.121203635549013,0.000747583963182294
30000,loc,9,8,0.268292682926829,100733,374964,0.268647123457185,0.000354440530356215
30000,loc,9,9,0.219512195121951,82087,374964,0.21891968295623,0.000592512165720538
30000,loc,9,10,0.341463414634146,128280,374964,0.342112842832912,0.000649428198765956
30000,loc,10,-2,0,0,167723,0,0
30000,loc,10,-1,0,0,167723,0,0
30000,loc,10,0,0,0,167723,0,0
30000,loc,10,1,0,0,167723,0,0
30000,loc,10,2,0,0,167723,0,0
30000,loc,10,3,0,0,167723,0,0
30000,loc,10,4,0,0,167723,0,0
30000,loc,10,5,0,0,167723,0,0
30000,loc,10,6,0,0,167723,0,0
30000,loc,10,7,0.0740740740740741,12371,167723,0.0737585185096856,0.000315555564388489
30000,loc,10,8,0.185185185185185,31192,167723,0.185973301216887,0.000788116031702368
30000,loc,10,9,0.407407407407407,68261,167723,0.406986519439791,0.000420887967616412
30000,loc,10,10,0.333333333333333,55899,167723,0.333281660833636,5.16724996965645e-05
15000,lfw,0,0,0.23,796702,3465894,0.229869118905541,0.000130881094459329
15000,lfw,0,1,0.75,2599783,3465894,0.750104590619332,0.000104590619332323
15000,lfw,0,2,0.02,69409,3465894,0.0200262904751271,2.62904751270505e-05
15000,lfw,0,3,0,0,3465894,0,0
15000,lfw,1,0,0.05,138738,2779311,0.0499181271905159,8.18728094840807e-05
15000,lfw,1,1,0.18,500450,2779311,0.180062612640327,6.26126403270588e-05
15000,lfw,1,2,0.75,2084752,2779311,0.75009669662733,9.66966273295844e-05
15000,lfw,1,3,0.02,55371,2779311,0.0199225635418275,7.74364581725487e-05
15000,lfw,2,0,0,0,1551209,0,0
15000,lfw,2,1,0.05,77689,1551209,0.0500828708446122,8.28708446121706e-05
15000,lfw,2,2,0.2,309465,1551209,0.199499229310815,0.000500770689185026
15000,lfw,2,3,0.75,1164055,1551209,0.750417899844573,0.000417899844572855
15000,lfw,3,0,0,0,78586,0,0
15000,lfw,3,1,0,0,78586,0,0
15000,lfw,3,2,0.05,3944,78586,0.0501870562186649,0.000187056218664897
15000,lfw,3,3,0.95,74642,78586,0.949812943781335,0.000187056218664883
20000,lfw,0,0,0.23,1062595,4621346,0.229931928922872,6.80710771277515e-05
20000,lfw,0,1,0.75,3466276,4621346,0.750057667181812,5.76671818124375e-05
20000,lfw,0,2,0.02,92475,4621346,0.0200104038953153,1.04038953153487e-05
20000,lfw,0,3,0,0,4621346,0,0
20000,lfw,1,0,0.05,185014,3705228,0.0499332294800752,6.67705199248192e-05
20000,lfw,1,1,0.18,666979,3705228,0.180010244983575,1.02449835745755e-05
20000,lfw,1,2,0.75,2779147,3705228,0.75006099489694,6.09948969402252e-05
20000,lfw,1,3,0.02,74088,3705228,0.01999553063941,4.4693605899572e-06
20000,lfw,2,0,0,0,2068409,0,0
20000,lfw,2,1,0.05,103592,2068409,0.0500829381423113,8.29381423113132e-05
20000,lfw,2,2,0.2,413481,2068409,0.199902920553914,9.70794460863622e-05
20000,lfw,2,3,0.75,1551336,2068409,0.750014141303775,1.41413037749727e-05
20000,lfw,3,0,0,0,105017,0,0
20000,lfw,3,1,0,0,105017,0,0
20000,lfw,3,2,0.05,5303,105017,0.0504965862669853,0.000496586266985344
20000,lfw,3,3,0.95,99714,105017,0.949503413733015,0.000496586266985344
30000,lfw,0,0,0.23,1594728,6932954,0.230021430980214,2.14309802142043e-05
30000,lfw,0,1,0.75,5199514,6932954,0.749970935909859,2.90640901411399e-05
30000,lfw,0,2,0.02,138712,6932954,0.0200076331099269,7.63310992688004e-06
30000,lfw,0,3,0,0,6932954,0,0
30000,lfw,1,0,0.05,277894,5558071,0.0499982817779766,1.71822202343214e-06
30000,lfw,1,1,0.18,1001468,5558071,0.18018265689661,0.000182656896610373
30000,lfw,1,2,0.75,4167342,5558071,0.749782073672682,0.000217926327317541
30000,lfw,1,3,0.02,111367,5558071,0.0200369876527306,3.69876527305975e-05
30000,lfw,2,0,0,0,3101073,0,0
30000,lfw,2,1,0.05,155458,3101073,0.0501303903519846,0.000130390351984616
30000,lfw,2,2,0.2,620937,3101073,0.200232951626743,0.000232951626743388
30000,lfw,2,3,0.75,2324678,3101073,0.749636658021272,0.000363341978728005
30000,lfw,3,0,0,0,157902,0,0
30000,lfw,3,1,0,0,157902,0,0
30000,lfw,3,2,0.05,8003,157902,0.0506833352332459,0.000683335233245937
30000,lfw,3,3,0.95,149899,157902,0.949316664766754,0.00068333523324593
