N,a0,loc0,lfw0,stage,stage_index,distribution_type,seed_pair_count,mean_pairwise_tv,max_pairwise_tv,mean_max_abs_error,std_max_abs_error,mean_tv_to_exact,std_tv_to_exact,seed_count
15000,2,2,0,W2,2,intensity,10,0.00475999999999999,0.00839999999999999,0.00281726666666669,0.00122133786844132,0.00316799999999998,0.00122893058749829,5
15000,2,2,0,W2,2,loc,10,0.0140266666666667,0.0203333333333333,0.00467821705426356,0.000978373661943339,0.00976201550387595,0.00205400065964282,5
15000,2,2,0,W2,2,lfw,10,0.00576,0.00980000000000003,0.00542666666666669,0.0035484268814974,0.00595333333333335,0.00353534533909584,5
15000,2,2,0,W2,2,joint,10,0.0388666666666667,0.0427333333333333,0.00303568402432649,0.000350449362543107,0.0278842964909969,0.00158224895867975,5
15000,2,2,0,W3,3,intensity,10,0.00487999999999999,0.00806666666666666,0.00310136655555552,0.00122034937004937,0.00324176511111112,0.00135860580261626,5
15000,2,2,0,W3,3,loc,10,0.01422,0.0171333333333333,0.00513592831147468,0.000921514969819244,0.0094552940926461,0.00220338832323117,5
15000,2,2,0,W3,3,lfw,10,0.00892666666666666,0.014,0.00563073333333335,0.00339940303909703,0.00670126666666667,0.00406703885182108,5
15000,2,2,0,W3,3,joint,10,0.0457533333333333,0.0486,0.00268668171276262,0.000403108005926026,0.0322027608921236,0.00187339984196232,5
15000,2,3,0,W1,1,intensity,10,0.00281333333333335,0.00433333333333337,0.00242666666666666,0.00182549840987179,0.00264,0.00177551244558986,5
15000,2,3,0,W1,1,loc,10,0.01186,0.0151333333333333,0.00462666666666668,0.000984998589959507,0.00811999999999999,0.00174317717592523,5
15000,2,3,0,W1,1,lfw,10,0.00429333333333332,0.00839999999999999,0.00296000000000001,0.00124953324618969,0.00295999999999999,0.00124953324618968,5
15000,2,3,0,W1,1,joint,10,0.0259666666666667,0.0302666666666667,0.00419933333333333,0.00128569458097775,0.0177777066666667,0.00202692653588848,5
15000,2,3,0,W2,2,intensity,10,0.00616,0.0113333333333333,0.00387433333333332,0.00149817939513264,0.00425146666666668,0.0014564410313424,5
15000,2,3,0,W2,2,loc,10,0.0129533333333333,0.0196666666666667,0.00477,0.00241630457057419,0.00873333333333334,0.00313359927949387,5
15000,2,3,0,W2,2,lfw,10,0.00774666666666668,0.0133333333333334,0.00538666666666671,0.00179808540150657,0.00599333333333337,0.00165636818236633,5
15000,2,3,0,W2,2,joint,10,0.0421733333333333,0.0463333333333333,0.003657572647766,0.00106914903464242,0.0298700076782638,0.00283344124000507,5
15000,2,3,0,W3,3,intensity,10,0.00543333333333334,0.00893333333333336,0.00289361640000003,0.00137755698200914,0.00346305680000002,0.00127469022470962,5
15000,2,3,0,W3,3,loc,10,0.0148133333333333,0.0216666666666667,0.00399746211737869,0.00160493059624072,0.00982337105001942,0.003476446836627,5
15000,2,3,0,W3,3,lfw,10,0.00710666666666666,0.0128666666666667,0.00512953333333331,0.00394534691898078,0.00516486666666667,0.00391386175166051,5
15000,2,3,0,W3,3,joint,10,0.04588,0.0501333333333333,0.00315576315724963,0.000505689858857322,0.0325304689658797,0.00145073498707218,5
15000,2,4,0,W1,1,intensity,10,0.00455333333333334,0.00720000000000001,0.00315999999999998,0.00158787069162869,0.00332,0.00140269581718758,5
15000,2,4,0,W1,1,loc,10,0.00905999999999999,0.0134,0.00441333333333333,0.00212623820135207,0.00699999999999998,0.00201108041719977,5
15000,2,4,0,W1,1,lfw,10,0.00493999999999999,0.0102,0.00281333333333333,0.00242184502669625,0.00281333333333332,0.00242184502669624,5
15000,2,4,0,W1,1,joint,10,0.02388,0.0256666666666667,0.00332992,0.0014076712363964,0.01698612,0.00239262130315964,5
15000,2,4,0,W2,2,intensity,10,0.00682000000000002,0.0134,0.00459620000000001,0.00238997146194028,0.0047422,0.00249044418840404,5
15000,2,4,0,W2,2,loc,10,0.0135333333333333,0.0174666666666667,0.00404666666666667,0.00114833212385035,0.0103333333333333,0.00289511082113736,5
15000,2,4,0,W2,2,lfw,10,0.00879999999999998,0.0130666666666667,0.00491333333333333,0.00260433399462431,0.00568666666666665,0.0028509842355073,5
15000,2,4,0,W2,2,joint,10,0.0417466666666667,0.0512,0.00356436955867734,0.00141331051727033,0.0295043840846933,0.00210813070128349,5
15000,2,4,0,W3,3,intensity,10,0.00792666666666667,0.0145333333333333,0.00508043926666659,0.00366357492144705,0.0053098340444444,0.00371736028685085,5
15000,2,4,0,W3,3,loc,10,0.0137266666666667,0.0202,0.0041984224884705,0.00125018397774049,0.0100836816492135,0.00190432978654532,5
15000,2,4,0,W3,3,lfw,10,0.0116933333333333,0.022,0.0071147333333333,0.00412897085913134,0.00788466666666665,0.00412347282841378,5
15000,2,4,0,W3,3,joint,10,0.0467733333333333,0.0504666666666667,0.00336590363001148,0.00153281439669442,0.0326684432295414,0.00277030053069211,5
15000,2,5,0,W1,1,intensity,10,0.00451333333333335,0.00773333333333337,0.00320000000000001,0.00246441338523661,0.00328000000000001,0.002476287543885,5
15000,2,5,0,W1,1,loc,10,0.00892666666666667,0.0142666666666667,0.00388,0.00111892805845595,0.00645333333333334,0.00136902236001542,5
15000,2,5,0,W1,1,lfw,10,0.00343999999999999,0.00639999999999998,0.00225333333333333,0.00100818869486045,0.00225333333333333,0.00100818869486045,5
15000,2,5,0,W1,1,joint,10,0.0216266666666667,0.0247333333333333,0.00370741333333333,0.00152084161963039,0.01587162,0.00360274490574741,5
15000,2,5,0,W2,2,intensity,10,0.00521333333333333,0.00939999999999999,0.00340593333333336,0.00198722146056585,0.00387020000000004,0.00205059885020071,5
15000,2,5,0,W2,2,loc,10,0.0108666666666667,0.0128666666666667,0.00423719298245613,0.00163270212236509,0.00852526315789472,0.00163578527775356,5
15000,2,5,0,W2,2,lfw,10,0.00863999999999998,0.0146666666666666,0.00481999999999997,0.00304317086094243,0.00559333333333332,0.0028931336336613,5
15000,2,5,0,W2,2,joint,10,0.03938,0.0415333333333333,0.00269473761216498,0.000555494899501184,0.0283505922486756,0.00144232582977837,5
15000,2,5,0,W3,3,intensity,10,0.00457333333333333,0.00800000000000001,0.00415482344444458,0.00251661147842359,0.00447036275555563,0.00243458533551974,5
15000,2,5,0,W3,3,loc,10,0.0147733333333333,0.0197333333333333,0.0044139907673673,0.00158049209138881,0.0103501674239833,0.00277010308013709,5
15000,2,5,0,W3,3,lfw,10,0.00748,0.0117333333333333,0.00362806666666667,0.0022437353082156,0.0046274,0.00346923201876151,5
15000,2,5,0,W3,3,joint,10,0.0454,0.0508,0.00290163598098389,0.000418507419746514,0.0322953138529434,0.00224689377602557,5
15000,2,6,0,W1,1,intensity,10,0.00496666666666666,0.00819999999999999,0.00285333333333333,0.00129305839001957,0.00310666666666665,0.00124953324618969,5
15000,2,6,0,W1,1,loc,10,0.01048,0.0145333333333333,0.00483999999999999,0.00116390148494907,0.00873333333333332,0.00335426759682514,5
15000,2,6,0,W1,1,lfw,10,0.00522,0.00906666666666667,0.00393333333333333,0.00223557101828099,0.00393333333333333,0.00223557101828096,5
