case,interval_start_h,interval_end_h,duration_h,resource_type,resource_id,vehicle_id,bus,eligible,moving,available_Pmax_kW,actual_P_kW,actual_Q_kvar,H2_before_kg,H2_use_kg,H2_after_kg,Q_cap_kvar
CASE-13_EVENT,1.5,3.5,2.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-13_DELAY,0.0,1.0,1.0,MFCV,MFCV-1,1,23,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-13_DELAY,0.0,1.0,1.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-13_DELAY,0.0,1.0,1.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-13_DELAY,0.0,1.0,1.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-13_DELAY,0.0,1.0,1.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-13_DELAY,0.0,1.0,1.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-13_DELAY,1.0,1.5,0.5,MFCV,MFCV-1,1,23,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-13_DELAY,1.0,1.5,0.5,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-13_DELAY,1.0,1.5,0.5,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-13_DELAY,1.0,1.5,0.5,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-13_DELAY,1.0,1.5,0.5,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-13_DELAY,1.0,1.5,0.5,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-13_DELAY,1.5,3.5,2.0,MFCV,MFCV-1,1,23,True,False,220.0,90.0,43.58898943540673,10.0,9.819163734555273,0.18083626544472686,43.58898943540673
CASE-13_DELAY,1.5,3.5,2.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-13_DELAY,1.5,3.5,2.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-13_DELAY,1.5,3.5,2.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-13_DELAY,1.5,3.5,2.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-13_DELAY,1.5,3.5,2.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,0.0,1.0,1.0,MFCV,MFCV-1,1,24,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,0.0,1.0,1.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,0.0,1.0,1.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,0.0,1.0,1.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,0.0,1.0,1.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,0.0,1.0,1.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-1,1,24,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-1,1,24,True,False,220.0,220.0000000000332,106.55086306434363,10.0,3.400340034003512,6.599659965996488,106.55086306434363
FROZEN_REALIZATION_STATE1_PATH117_W2,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.5,2.0,0.5,MFCV,MFCV-1,1,24,True,False,220.0,220.0000000000332,106.55086306434363,6.599659965996488,6.000600060006906,0.5990599059895825,106.55086306434363
FROZEN_REALIZATION_STATE1_PATH117_W2,1.5,2.0,0.5,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.5,2.0,0.5,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.5,2.0,0.5,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.5,2.0,0.5,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,1.5,2.0,0.5,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,2.0,2.5,0.5,MFCV,MFCV-1,1,24,True,False,220.0,21.9633333333054,10.637327829241839,0.5990599059895825,0.599059905989837,-2.545741395465484e-13,10.637327829241839
FROZEN_REALIZATION_STATE1_PATH117_W2,2.0,2.5,0.5,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,2.0,2.5,0.5,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,2.0,2.5,0.5,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,2.0,2.5,0.5,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,2.0,2.5,0.5,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,2.5,3.0,0.5,MFCV,MFCV-1,1,24,False,False,220.0,0.0,0.0,-2.545741395465484e-13,0.0,-2.545741395465484e-13,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,2.5,3.0,0.5,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,2.5,3.0,0.5,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,2.5,3.0,0.5,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,2.5,3.0,0.5,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,2.5,3.0,0.5,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,3.0,3.5,0.5,MFCV,MFCV-1,1,24,False,False,220.0,0.0,0.0,-2.545741395465484e-13,0.0,-2.545741395465484e-13,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,3.0,3.5,0.5,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,3.0,3.5,0.5,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,3.0,3.5,0.5,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,3.0,3.5,0.5,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
FROZEN_REALIZATION_STATE1_PATH117_W2,3.0,3.5,0.5,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
